performer,measure,error_type,error_value,model
AR-R-Oribe,1,raw,-0.1428571430136056,mpecdl
AR-R-Oribe,2,raw,0.0409977323990924,mpecdl
AR-R-Oribe,3,raw,-0.0439002266893435,mpecdl
AR-R-Oribe,4,raw,-0.1516553286961439,mpecdl
AR-R-Oribe,5,raw,0.1236734697188204,mpecdl
AR-R-Oribe,6,raw,-0.0391836731292514,mpecdl
AR-R-Oribe,7,raw,-0.0312925169070261,mpecdl
AR-R-Oribe,8,raw,0.0174149656054396,mpecdl
AR-R-Oribe,9,raw,0.0149659859523794,mpecdl
AR-R-Oribe,10,raw,0.0016326534784596,mpecdl
AR-R-Oribe,11,raw,0.00417233568254,mpecdl
AR-R-Oribe,12,raw,0.0109297050952363,mpecdl
AR-R-Oribe,13,raw,-0.0829931969387729,mpecdl
AR-R-Oribe,14,raw,0.0019954653061233,mpecdl
AR-R-Oribe,15,raw,-0.1244444447029451,mpecdl
AR-R-Oribe,16,raw,0.0565986391519359,mpecdl
AR-R-Oribe,17,raw,-0.0572335604716585,mpecdl
AR-R-Oribe,18,raw,-0.720725623628141,mpecdl
AR-R-Oribe,19,raw,-0.0425396827460247,mpecdl
AR-R-Oribe,20,raw,-0.0351927437641848,mpecdl
AR-R-Oribe,21,raw,-0.0012698412380842,mpecdl
AR-R-Oribe,22,raw,-0.2534240360362929,mpecdl
AR-R-Oribe,23,raw,0.056417233893427,mpecdl
AR-R-Oribe,24,raw,-0.0540589568957017,mpecdl
AR-R-Oribe,25,raw,-0.1359637191677905,mpecdl
AR-R-Oribe,26,raw,-0.140770974893428,mpecdl
AR-R-Oribe,27,raw,0.0064399090521618,mpecdl
AR-R-Oribe,28,raw,-0.0293877551360566,mpecdl
AR-R-Oribe,29,raw,-0.3529251699115576,mpecdl
AR-R-Oribe,30,raw,-0.2813605446666685,mpecdl
AR-R-Oribe,31,raw,-0.0270294780906965,mpecdl
AR-R-Oribe,32,raw,-0.0333786852131652,mpecdl
AR-R-Oribe,33,raw,0.3629931976643945,mpecdl
AR-R-Oribe,34,raw,0.3386848073355963,mpecdl
AR-R-Oribe,35,raw,-0.0117006807324457,mpecdl
AR-R-Oribe,36,raw,0.2383673466848108,mpecdl
AR-R-Oribe,37,raw,-0.0143310652675836,mpecdl
AR-R-Oribe,38,raw,0.050430838668916,mpecdl
AR-R-Oribe,39,raw,-0.003083900369603,mpecdl
AR-R-Oribe,40,raw,-0.0558730154852753,mpecdl
AR-R-Oribe,41,raw,0.0341950117460214,mpecdl
AR-R-Oribe,42,raw,0.037551019954634,mpecdl
OV-R-Fournier1961,1,raw,-0.0649433106099774,mpecdl
OV-R-Fournier1961,2,raw,-0.6775510207755113,mpecdl
OV-R-Fournier1961,3,raw,0.0119727889773226,mpecdl
OV-R-Fournier1961,4,raw,-0.0083900231247184,mpecdl
OV-R-Fournier1961,5,raw,-0.0607709755283458,mpecdl
OV-R-Fournier1961,6,raw,0.0682086170226767,mpecdl
OV-R-Fournier1961,7,raw,-0.0165079370045333,mpecdl
OV-R-Fournier1961,8,raw,-0.0254875283242661,mpecdl
OV-R-Fournier1961,9,raw,0.0357369610022715,mpecdl
OV-R-Fournier1961,10,raw,-0.0006349205464815,mpecdl
OV-R-Fournier1961,11,raw,0.0237641727959143,mpecdl
OV-R-Fournier1961,12,raw,-0.0232199551247163,mpecdl
OV-R-Fournier1961,13,raw,-0.0501133790113286,mpecdl
OV-R-Fournier1961,14,raw,0.0097959180657554,mpecdl
OV-R-Fournier1961,15,raw,-0.0576870751791389,mpecdl
OV-R-Fournier1961,16,raw,-0.2107029477029414,mpecdl
OV-R-Fournier1961,17,raw,0.0018140592040793,mpecdl
OV-R-Fournier1961,18,raw,0.0039909300430736,mpecdl
OV-R-Fournier1961,19,raw,-0.0263492062517087,mpecdl
OV-R-Fournier1961,20,raw,-0.0399092966666785,mpecdl
OV-R-Fournier1961,21,raw,0.010340135809514,mpecdl
OV-R-Fournier1961,22,raw,-0.0103854872539699,mpecdl
OV-R-Fournier1961,23,raw,-0.0103401361972714,mpecdl
OV-R-Fournier1961,24,raw,0.0323809519387623,mpecdl
