time;measure
1.480272109;001.000
5.794829932;002.000
9.51292517;003.000
13.309387755;004.000
17.182902494;005.000
21.16462585;006.000
25.258956916;007.000
29.287619048;008.000
33.365986395;009.000
37.119274376;010.000
41.175510204;011.000
45.147165533;012.000
49.16462585;013.000
53.2861678;014.000
57.290884354;015.000
61.402267574;016.000
65.447619048;017.000
69.39138322;018.000
73.330793651;019.000
77.76;020.000
81.986031746;021.000
86.086530612;022.000
91.733333333;023.000
96.453877551;024.000
100.924081633;025.000
105.711020408;026.000
110.713469388;027.000
115.243537415;028.000
120.119727891;029.000
125.854693878;030.000
130.409795918;031.000
135.132879819;032.000
139.45324263;033.000
144.165079365;034.000
148.162539683;035.000
151.791746032;036.000
155.423492063;037.000
159.146666667;038.000
163.382857143;039.000
167.183673469;040.000
170.99755102;041.000
175.5138322;042.000
