time;measure
1.859047619;001.000
6.550204082;002.000
10.283718821;003.000
14.034693878;004.000
17.870385488;005.000
21.396099773;006.000
25.115646259;007.000
29.133877551;008.000
32.894693878;009.000
36.486802721;010.000
40.157460317;011.000
44.289523810;012.000
47.917959184;013.000
51.372698413;014.000
55.273650794;015.000
59.137142857;016.000
62.936961451;017.000
66.474195011;018.000
70.348526077;019.000
74.173242630;020.000
78.073469388;021.000
81.882131519;022.000
88.502857143;023.000
91.885986395;024.000
95.559183673;025.000
99.289886621;026.000
103.103129252;027.000
106.677551020;028.000
110.681224490;029.000
114.917006803;030.000
118.497233560;031.000
122.862585034;032.000
126.642267574;033.000
130.169614512;034.000
133.590929705;035.000
137.491156463;036.000
141.133061224;037.000
144.757551020;038.000
148.773877551;039.000
152.683174603;040.000
156.564897959;041.000
161.340952381;042.000
