bar,onset
1,1.1393197278911564
2,5.852879818594104
3,9.53859410430839
4,13.294149659863946
5,17.252154195011336
6,21.371609977324262
7,25.274104308390022
8,29.617052154195004
9,33.41804988662132
10,37.15954648526077
11,41.162721088435376
12,45.204535147392285
13,49.100680272108846
14,53.26494331065761
15,57.16662131519275
16,61.92907029478458
17,65.39337868480726
18,69.46394557823129
19,73.3114739229025
20,77.19074829931972
21,82.06358276643991
22,86.22639455782313
23,91.78975056689343
24,96.4368253968254
25,100.55773242630386
26,105.83219954648526
27,110.82403628117915
28,115.02839002267574
29,119.74358276643991
30,125.84979591836735
31,130.31582766439908
32,135.09950113378684
33,139.78857142857143
34,144.20190476190476
35,148.081179138322
36,151.82113378684807
37,155.39854875283447
38,159.33968253968254
39,163.3892970521542
40,167.53922902494332
41,170.97886621315195
42,182.7593650793651
