bar,onset
1,1.3374149659863943
2,5.835827664399092
3,9.469024943310657
4,13.157732426303856
5,17.30657596371882
6,21.12544217687075
7,25.227664399092973
8,29.30503401360544
9,33.38095238095238
10,37.12090702947846
11,41.17968253968254
12,45.158095238095235
13,49.08163265306123
14,53.288163265306125
15,57.166439909297054
16,61.458866213151936
17,65.39038548752835
18,68.67065759637185
19,73.28825396825397
20,77.72480725623582
21,81.98476190476191
22,85.83310657596371
23,91.78975056689343
24,96.3998185941043
25,100.78811791383221
26,105.57024943310657
27,110.71990929705215
28,115.21414965986395
29,119.76680272108844
30,125.57333333333334
31,130.3827664399093
32,135.09950113378684
33,139.8162358276644
34,144.5037641723356
35,148.15083900226756
36,152.0301133786848
37,155.4091609977324
38,159.19709750566892
39,163.3797732426304
40,167.12780045351474
41,171.03174603174602
42,175.55138321995463
