bar,onset
1,136.11691609977325
2,137.11691609977325
3,138.14013605442176
4,139.1865759637188
5,140.23301587301586
6,141.3491156462585
7,142.37233560090704
8,143.51310657596372
9,144.69741496598638
10,145.6974149659864
11,146.69741496598638
12,147.74385487528346
13,148.74385487528343
14,149.81351473922902
15,150.81351473922902
16,151.81351473922902
17,152.81351473922902
18,153.83673469387756
19,154.83673469387756
20,155.69741496598638
21,156.67419501133787
22,157.67419501133787
23,161.97142857142856
24,163.1571882086168
25,164.1571882086168
26,165.20362811791384
27,166.20362811791384
28,167.45904761904762
29,168.48226757369613
30,169.48226757369613
31,170.62158730158728
32,171.92344671201815
33,172.92344671201815
34,174.08598639455784
35,175.2485260770975
36,176.41106575963718
37,177.71292517006802
38,178.7825850340136
39,179.7825850340136
40,181.31664399092972
41,182.73460317460317
42,184.19900226757372
