bar,onset
1,1.4070748299319724
2,6.693514739229025
3,10.337414965986394
4,14.068027210884352
5,17.87156462585034
6,21.812789115646257
7,25.13315192743764
8,29.07283446712018
9,32.96299319727891
10,36.493968253968255
11,40.18748299319728
12,44.252154195011336
13,47.88789115646259
14,51.44072562358278
15,55.23981859410431
16,58.94965986394559
17,63.01070294784581
18,66.33324263038547
19,70.36253968253968
20,74.28027210884355
21,78.27319727891157
22,81.99854875283447
23,88.51573696145125
24,92.06566893424035
25,95.47256235827663
26,99.44471655328798
27,103.25433106575964
28,106.73886621315194
29,111.08253968253969
30,114.86875283446713
31,118.49551020408163
32,122.95256235827667
33,126.72807256235828
34,130.31637188208617
35,133.69106575963718
36,137.44290249433107
37,141.14149659863946
38,146.76226757369614
39,148.83038548752833
40,152.6704761904762
41,156.58893424036282
42,161.32117913832198
