bar,onset
1,1.7941043083900226
2,5.872653061224488
3,10.295691609977323
4,14.026303854875282
5,17.809614512471654
6,21.464308390022676
7,25.099138321995465
8,29.108390022675735
9,32.93043083900227
10,36.486167800453515
11,40.181224489795916
12,44.26630385487528
13,47.86784580498867
14,51.38249433106576
15,55.21596371882086
16,58.92643990929706
17,62.93877551020408
18,66.47818594104308
19,70.3221768707483
20,74.13333333333333
21,78.08380952380952
22,81.87174603174603
23,88.49251700680273
24,91.91836734693877
25,95.5190022675737
26,99.27582766439909
27,103.02213151927438
28,106.69278911564628
29,110.6619501133787
30,114.89106575963719
31,118.47092970521541
32,122.92063492063494
33,126.70040816326531
34,130.50213151927437
35,133.6691156462585
36,137.37832199546486
37,141.1288888888889
38,144.76643990929705
39,148.83455782312924
40,152.64653061224493
41,156.5824943310658
42,161.3639909297052
