bar,onset
1,111.3180045351474
2,112.45732426303854
3,113.45732426303854
4,114.46349206349205
5,115.5037641723356
6,116.45732426303854
7,117.45732426303854
8,118.15546485260771
9,119.10902494331066
10,120.10902494331066
11,121.06258503401361
12,122.06258503401361
13,123.01614512471656
14,123.96970521541951
15,124.94648526077097
16,125.94648526077097
17,126.92326530612245
18,127.92326530612245
19,128.92326530612246
20,129.94648526077097
21,131.29478458049886
22,132.3180045351474
23,133.45732426303854
24,134.45732426303854
25,136.01460317460317
26,137.0146031746032
27,138.0378231292517
28,139.1074829931973
29,140.1307029478458
30,141.33968253968254
31,142.33968253968254
32,143.45578231292518
33,144.4790022675737
34,145.54866213151928
35,146.54866213151928
36,147.54866213151928
37,148.59510204081633
38,149.64154195011338
39,150.61832199546484
40,152.6704761904762
41,156.55673469387756
42,161.30521541950114
