bar,onset
1,0.9138321995464853
2,2.7383219954648523
3,5.554195011337868
4,8.342131519274377
5,11.106848072562359
6,13.91328798185941
7,16.739954648526076
8,19.482993197278912
9,22.300226757369614
10,25.108390022675735
11,27.834467120181408
12,30.61768707482993
13,33.447256235827666
14,36.22149659863946
15,39.00943310657597
16,41.71319727891157
17,44.61151927437642
18,47.29850340136054
19,50.18439909297052
20,52.97233560090703
21,55.83419501133787
22,58.58213151927438
23,61.87020408163266
24,64.65814058956916
25,67.43818594104309
26,70.2508843537415
27,73.13804988662132
28,75.83310657596373
29,78.57115646258504
30,81.31609977324264
31,84.17777777777778
32,87.01678004535148
33,89.80934240362812
34,92.46784580498866
35,95.35619047619048
36,98.25269841269841
37,100.97097505668934
38,103.7124716553288
39,106.4813605442177
40,109.21868480725624
41,112.12272108843538
42,114.88253968253969
