bar,onset
1,0.8906122448979592
2,2.7198185941043085
3,5.530975056689343
4,8.295691609977323
5,11.106848072562359
6,13.894784580498866
7,16.7059410430839
8,19.482993197278912
9,22.25859410430839
10,25.069750566893422
11,27.834467120181408
12,30.640907029478456
13,33.42086167800454
14,36.22149659863946
15,39.008979591836734
16,41.688526077097514
17,44.585306122448976
18,47.373242630385484
19,50.161179138322
20,52.97233560090703
21,55.76943310657596
22,58.548208616780045
23,61.87020408163266
24,64.65814058956916
25,67.44607709750568
26,70.22131519274376
27,72.92907029478458
28,75.8098866213152
29,78.59092970521543
30,81.38521541950114
31,84.1750566893424
32,86.98485260770975
33,89.77278911564626
34,92.63038548752834
35,95.34866213151928
36,98.20625850340136
37,100.94775510204082
38,103.7124716553288
39,106.5004081632653
40,109.2564172335601
41,112.12272108843538
42,114.88743764172335
