bar,onset
1,78.50820861678004
2,79.5112925170068
3,80.7404081632653
4,81.92616780045351
5,82.87972789115646
6,83.78684807256235
7,84.7404081632653
8,85.7404081632653
9,86.74040816326531
10,87.78684807256236
11,88.78684807256236
12,89.74040816326531
13,90.74040816326531
14,91.71718820861679
15,92.71718820861678
16,93.69324263038548
17,94.57786848072563
18,95.5546485260771
19,96.46176870748299
20,97.62430839002268
21,98.85650793650794
22,99.85650793650794
23,100.90294784580499
24,101.87972789115646
25,102.87972789115646
26,104.01904761904763
27,104.94138321995466
28,105.76580498866214
29,106.90294784580499
30,107.85650793650794
31,109.29768707482994
32,110.3934693877551
33,111.76208616780045
34,112.83174603174604
35,114.48190476190476
36,116.08562358276644
37,117.08562358276643
38,118.31782312925169
39,119.31782312925169
40,120.3178231292517
41,121.3178231292517
42,122.5035827664399
