bar,onset
1,0.9117687074829932
2,2.7383219954648523
3,5.535600907029479
4,8.308027210884353
5,11.099047619047619
6,13.899319727891156
7,16.72916099773243
8,19.472108843537413
9,22.286349206349207
10,25.09297052154195
11,27.828208616780046
12,30.63147392290249
13,33.44408163265307
14,36.21823129251701
15,39.00943310657597
16,41.71174603174604
17,44.5912925170068
18,47.33587301587301
19,50.167256235827665
20,52.97233560090703
21,55.82013605442177
22,58.558911564625845
23,61.87020408163266
24,64.65814058956916
25,67.44607709750568
26,70.2572335600907
27,73.11002267573696
28,75.83310657596373
29,78.59437641723356
30,81.33931972789117
31,84.15591836734694
32,87.01387755102041
33,89.80045351473923
34,92.51428571428572
35,95.34866213151928
36,98.11337868480726
37,100.97097505668934
38,103.7124716553288
39,106.46766439909297
40,109.28036281179139
41,112.09950113378684
42,114.88743764172335
