bar,onset
1,0.8906122448979592
2,2.722902494331066
3,5.507755102040816
4,8.295691609977323
5,11.106848072562359
6,13.894784580498866
7,16.7059410430839
8,19.493877551020407
9,22.25859410430839
10,25.069750566893422
11,27.834467120181408
12,30.64562358276644
13,33.417687074829935
14,36.21333333333334
15,39.008979591836734
16,41.688526077097514
17,44.585306122448976
18,47.35455782312925
19,50.161179138322
20,52.97233560090703
21,55.76943310657596
22,58.548208616780045
23,61.846984126984125
24,64.65814058956916
25,67.42285714285714
26,70.23401360544219
27,72.92907029478458
28,75.79356009070295
29,78.58920634920635
30,81.38503401360545
31,84.17369614512472
32,86.98775510204082
33,89.79600907029479
34,92.56072562358277
35,95.34866213151928
36,98.04371882086167
37,100.94775510204082
38,103.7124716553288
39,106.5004081632653
40,109.2564172335601
41,112.09950113378684
42,114.88743764172335
