bar,onset
1,78.78684807256236
2,79.78684807256235
3,80.78684807256235
4,81.94938775510204
5,82.94938775510204
6,83.90294784580499
7,84.78684807256235
8,85.76362811791383
9,86.76362811791384
10,87.78684807256236
11,88.81006802721089
12,89.78684807256236
13,90.83328798185941
14,91.83328798185941
15,92.83328798185941
16,93.78684807256236
17,94.60108843537415
18,95.5546485260771
19,96.46176870748299
20,97.62430839002268
21,98.62430839002268
22,99.62430839002268
23,100.48498866213151
24,101.41532879818593
25,102.53142857142856
26,103.6475283446712
27,104.69396825396827
28,105.69396825396827
29,106.87455782312925
30,107.7637641723356
31,109.29768707482994
32,110.41378684807256
33,111.76208616780045
34,112.94784580498866
35,114.36580498866213
36,115.57478458049886
37,116.85342403628118
38,117.87664399092971
39,119.08562358276643
40,120.10884353741497
41,121.13206349206348
42,122.49868480725624
