bar,onset
1,0.11764172335600906
2,2.7522902494331065
3,5.517006802721088
4,8.308027210884353
5,11.114557823129251
6,13.927256235827665
7,16.73832199546485
8,19.493877551020407
9,22.39764172335601
10,25.13922902494331
11,27.85142857142857
12,30.659410430839
13,33.450430839002266
14,36.175056689342405
15,39.032653061224494
16,41.71609977324264
17,44.620498866213154
18,47.31210884353741
19,50.17333333333333
20,52.90267573696145
21,55.810975056689344
22,58.57142857142857
23,61.87020408163266
24,64.65814058956916
25,67.49251700680273
26,70.28045351473924
27,73.11002267573696
28,75.80009070294786
29,78.660589569161
30,81.38539682539682
31,84.19963718820861
32,87.01678004535148
33,89.80489795918368
34,92.4910657596372
35,95.34866213151928
36,98.11337868480726
37,100.95836734693877
38,103.7124716553288
39,106.5004081632653
40,109.31156462585034
41,112.09950113378684
42,114.88743764172335
