bar,onset
1,78.6475283446712
2,79.6475283446712
3,80.71718820861678
4,81.92616780045351
5,82.90294784580499
6,84.01904761904761
7,85.01904761904761
8,86.15836734693877
9,87.15836734693877
10,88.0887074829932
11,89.32090702947846
12,90.22802721088436
13,91.34412698412699
14,92.25124716553289
15,93.22802721088435
16,94.04226757369615
17,95.04226757369615
18,95.94938775510204
19,96.94938775510204
20,97.99201814058956
21,98.83328798185941
22,99.83328798185941
23,100.87972789115646
24,101.87972789115646
25,102.90294784580499
26,103.87972789115645
27,104.83328798185941
28,105.78684807256236
29,106.87455782312925
30,108.43700680272109
31,109.29768707482994
32,110.37315192743765
33,112.11038548752835
34,114.03918367346938
35,115.20172335600907
36,116.2249433106576
37,117.2249433106576
38,118.2249433106576
39,119.45714285714286
40,120.45714285714286
41,121.5035827664399
42,122.5035827664399
