bar,onset
1,0.8906122448979592
2,2.758458049886621
3,5.512380952380952
4,8.295691609977323
5,11.130068027210884
6,13.918004535147393
7,16.7059410430839
8,19.493877551020407
9,22.25859410430839
10,25.069750566893422
11,27.857687074829933
12,30.64562358276644
13,33.417687074829935
14,36.21333333333334
15,38.9859410430839
16,41.80027210884354
17,44.5912925170068
18,47.37777777777777
19,50.18439909297052
20,52.97233560090703
21,55.79265306122449
22,58.57142857142857
23,61.87020408163266
24,64.65814058956916
25,67.4302947845805
26,70.23401360544219
27,72.92907029478458
28,75.8098866213152
29,78.5677097505669
30,81.38503401360545
31,84.1750566893424
32,86.99646258503402
33,89.77278911564626
34,92.60716553287982
35,95.32544217687075
36,98.04371882086167
37,100.94775510204082
38,103.7124716553288
39,106.52362811791383
40,109.26439909297054
41,112.09950113378684
42,114.88743764172335
