bar,onset
1,0.9138321995464853
2,2.8110657596371875
3,5.535600907029479
4,8.348299319727891
5,11.122267573696146
6,13.973696145124716
7,16.71673469387755
8,19.55410430839002
9,22.346666666666668
10,25.09297052154195
11,27.8746485260771
12,30.68734693877551
13,33.45678004535148
14,36.22149659863946
15,39.009251700680274
16,41.84961451247166
17,44.623492063492066
18,47.34439909297051
19,50.20761904761905
20,53.01079365079365
21,55.825034013605446
22,58.61786848072562
23,61.87020408163266
24,64.68136054421768
25,67.48462585034014
26,70.26775510204081
27,73.15165532879818
28,75.82004535147394
29,78.62104308390023
30,81.4312925170068
31,84.22421768707483
32,87.00807256235828
33,89.79600907029479
34,92.63038548752834
35,95.34866213151928
36,98.12244897959184
37,100.94775510204082
38,103.73569160997732
39,106.52362811791383
40,109.21868480725624
41,112.09950113378684
42,114.90575963718821
