bar,onset
1,0.8839002267573696
2,2.735238095238095
3,5.530975056689343
4,8.31891156462585
5,11.130068027210884
6,13.918004535147393
7,16.7059410430839
8,19.493877551020407
9,22.281814058956915
10,25.069750566893422
11,27.857687074829933
12,30.64562358276644
13,33.43356009070295
14,36.22149659863946
15,38.9859410430839
16,41.803174603174604
17,44.5912925170068
18,47.37777777777777
19,50.18439909297052
20,52.97233560090703
21,55.79265306122449
22,58.594648526077094
23,61.87020408163266
24,64.65814058956916
25,67.43818594104309
26,70.23401360544219
27,73.0219501133787
28,75.79682539682541
29,78.56943310657597
30,81.38503401360545
31,84.1750566893424
32,86.99936507936509
33,89.79056689342404
34,92.79292517006803
35,95.38630385487528
36,98.13659863945578
37,100.94775510204082
38,103.73569160997732
39,106.52362811791383
40,109.2564172335601
41,112.09950113378684
42,114.88743764172335
