bar,onset
1,77.37043083900227
2,78.37043083900227
3,79.48653061224489
4,80.47183673469388
5,81.50975056689342
6,82.69551020408163
7,83.69551020408163
8,84.7651700680272
9,85.74195011337869
10,87.020589569161
11,87.95092970521543
12,88.95092970521543
13,90.020589569161
14,91.020589569161
15,92.1134693877551
16,93.1134693877551
17,94.1134693877551
18,95.18312925170068
19,96.27600907029478
20,97.27600907029478
21,98.27600907029478
22,99.34566893424036
23,100.41532879818593
24,101.41532879818593
25,102.50820861678005
26,103.60108843537415
27,104.60108843537415
28,105.71718820861679
29,106.87972789115646
30,107.83337868480726
31,108.9958276643991
32,110.04226757369615
33,111.04226757369615
34,112.04226757369615
35,113.11192743764173
36,114.1815873015873
37,115.20480725623582
38,116.20480725623582
39,117.20480725623582
40,118.22802721088436
41,119.4370068027211
42,122.5035827664399
