Note,Score_duration,Time-Signature,Voice,Movement,Measure,Repeated
0,0.0,0,.,x,x,.
0,0.5,3/4,.,1,1,0
F♯5,0.5,3/4,x,1,1,0
F♯5,1.5,3/4,x,1,2,0
C♯5,0.5,3/4,x,1,2,0
A4,0.5,3/4,x,1,2,0
C♯5,0.5,3/4,x,1,2,0
F♯4,0.5,3/4,x,1,3,0
A4,0.5,3/4,x,1,3,0
C♯5,0.5,3/4,x,1,3,0
F♯5,0.5,3/4,x,1,3,0
A5,0.5,3/4,x,1,3,0
F♯5,0.5,3/4,x,1,3,0
B4,0.5,3/4,x,1,4,0
D5,0.5,3/4,x,1,4,0
F♯5,0.5,3/4,x,1,4,0
B5,0.5,3/4,x,1,4,0
D6,0.5,3/4,x,1,4,0
B5,0.5,3/4,x,1,4,0
E♯4,0.5,3/4,x,1,5,0
G♯4,0.5,3/4,x,1,5,0
C♯5,0.5,3/4,x,1,5,0
E♯5,0.5,3/4,x,1,5,0
G♯5,0.5,3/4,x,1,5,0
B4,0.5,3/4,x,1,5,0
A4,0.5,3/4,x,1,6,0
F♯5,0.5,3/4,x,1,6,0
G♯4,0.5,3/4,x,1,6,0
F♯5,0.5,3/4,x,1,6,0
C♯5,0.5,3/4,x,1,6,0
E♯5,0.5,3/4,x,1,6,0
F♯4,1.0,3/4,x,1,7,0
0,0.5,3/4,.,1,7,0
A5,0.5,3/4,x,1,7,0
G♯5,0.5,3/4,x,1,7,0
F♯5,0.5,3/4,x,1,7,0
E5,0.5,3/4,x,1,8,0
G♯4,0.5,3/4,x,1,8,0
A4,0.5,3/4,x,1,8,0
E5,0.5,3/4,x,1,8,0
F♯5,0.5,3/4,x,1,8,0
C♯5,0.5,3/4,x,1,8,0
D5,0.5,3/4,x,1,9,0
F♯4,0.5,3/4,x,1,9,0
G♯4,0.5,3/4,x,1,9,0
D5,0.5,3/4,x,1,9,0
E5,0.5,3/4,x,1,9,0
D5,0.5,3/4,x,1,9,0
C♯5,1.0,3/4,x,1,10,0
0,0.5,3/4,.,1,10,0
C♯5,0.5,3/4,x,1,10,0
B4,0.5,3/4,x,1,10,0
A4,0.5,3/4,x,1,10,0
B4,0.5,3/4,x,1,11,0
D♯5,0.5,3/4,x,1,11,0
E5,0.5,3/4,x,1,11,0
G♯5,0.5,3/4,x,1,11,0
C♯5,0.5,3/4,x,1,11,0
B4,0.5,3/4,x,1,11,0
A4,0.5,3/4,x,1,12,0
E5,0.5,3/4,x,1,12,0
D♯5,0.5,3/4,x,1,12,0
F♯5,0.5,3/4,x,1,12,0
B4,0.5,3/4,x,1,12,0
A4,0.5,3/4,x,1,12,0
G♯4,1.0,3/4,x,1,13,0
0,0.5,3/4,.,1,13,0
E5,0.5,3/4,u,1,13,0
C♯5,0.5,3/4,u,1,13,0
E5,0.5,3/4,u,1,13,0
F♯5,0.5,3/4,u,1,14,0
A4,0.5,3/4,t,1,14,0
D4,0.5,3/4,b,1,14,0
C♯5,0.5,3/4,m,1,14,0
B4,0.5,3/4,m,1,14,0
A5,0.5,3/4,u,1,14,0
G♯5,0.5,3/4,u,1,15,0
B4,0.5,3/4,m,1,15,0
E4,0.5,3/4,B,1,15,0
D5,0.5,3/4,m,1,15,0
C♯5,0.5,3/4,m,1,15,0
B5,0.5,3/4,u,1,15,0
A5,0.5,3/4,u,1,16,0
C♯5,0.5,3/4,m,1,16,0
F♯4,0.5,3/4,B,1,16,0
E5,0.5,3/4,m,1,16,0
D5,0.5,3/4,m,1,16,0
C♯6,0.5,3/4,u,1,16,0
B5,0.5,3/4,u,1,17,0
D5,0.5,3/4,m,1,17,0
G♯4,0.5,3/4,B,1,17,0
F♯5,0.5,3/4,m,1,17,0
E5,0.5,3/4,m,1,17,0
D6,0.5,3/4,u,1,17,0
C♯6,0.5,3/4,u,1,18,0
G♯5,0.5,3/4,m,1,18,0
A5,0.5,3/4,m,1,18,0
D4,0.5,3/4,B,1,18,0
E4,0.5,3/4,B,1,18,0
G♯5,0.5,3/4,u,1,18,0
A4,0.5,3/4,B,1,19,0
A5,0.5,3/4,u,1,19,0
B4,0.5,3/4,B,1,19,0
G♯5,0.5,3/4,u,1,19,0
C♯5,0.5,3/4,b,1,19,0
A5,0.5,3/4,u,1,19,0
D5,0.5,3/4,b,1,20,0
F♯5,0.5,3/4,x,1,20,0
E♯5,0.5,3/4,x,1,20,0
F♯5,0.5,3/4,x,1,20,0
B5,0.5,3/4,x,1,20,0
A♯5,0.5,3/4,x,1,20,0
B5,0.5,3/4,x,1,21,0
D6,0.5,3/4,x,1,21,0
B5,0.5,3/4,x,1,21,0
G♯5,0.5,3/4,x,1,21,0
A5,0.5,3/4,x,1,21,0
F♯5,0.5,3/4,x,1,21,0
C♯5,0.5,3/4,x,1,22,0
E♯5,0.5,3/4,x,1,22,0
G♯5,0.5,3/4,x,1,22,0
C♯6,0.5,3/4,x,1,22,0
G♯5,0.5,3/4,x,1,22,0
E♯5,0.5,3/4,x,1,22,0
C♯5,2.0,3/4,x,1,23,0
0,0.5,3/4,.,1,1,1
F♯5,0.5,3/4,x,1,1,1
F♯5,1.5,3/4,x,1,2,1
C♯5,0.5,3/4,x,1,2,1
A4,0.5,3/4,x,1,2,1
C♯5,0.5,3/4,x,1,2,1
F♯4,0.5,3/4,x,1,3,1
A4,0.5,3/4,x,1,3,1
C♯5,0.5,3/4,x,1,3,1
F♯5,0.5,3/4,x,1,3,1
A5,0.5,3/4,x,1,3,1
F♯5,0.5,3/4,x,1,3,1
B4,0.5,3/4,x,1,4,1
D5,0.5,3/4,x,1,4,1
F♯5,0.5,3/4,x,1,4,1
B5,0.5,3/4,x,1,4,1
D6,0.5,3/4,x,1,4,1
B5,0.5,3/4,x,1,4,1
E♯4,0.5,3/4,x,1,5,1
G♯4,0.5,3/4,x,1,5,1
C♯5,0.5,3/4,x,1,5,1
E♯5,0.5,3/4,x,1,5,1
G♯5,0.5,3/4,x,1,5,1
B4,0.5,3/4,x,1,5,1
A4,0.5,3/4,x,1,6,1
F♯5,0.5,3/4,x,1,6,1
G♯4,0.5,3/4,x,1,6,1
F♯5,0.5,3/4,x,1,6,1
C♯5,0.5,3/4,x,1,6,1
E♯5,0.5,3/4,x,1,6,1
F♯4,1.0,3/4,x,1,7,1
0,0.5,3/4,.,1,7,1
A5,0.5,3/4,x,1,7,1
G♯5,0.5,3/4,x,1,7,1
F♯5,0.5,3/4,x,1,7,1
E5,0.5,3/4,x,1,8,1
G♯4,0.5,3/4,x,1,8,1
A4,0.5,3/4,x,1,8,1
E5,0.5,3/4,x,1,8,1
F♯5,0.5,3/4,x,1,8,1
C♯5,0.5,3/4,x,1,8,1
D5,0.5,3/4,x,1,9,1
F♯4,0.5,3/4,x,1,9,1
G♯4,0.5,3/4,x,1,9,1
D5,0.5,3/4,x,1,9,1
E5,0.5,3/4,x,1,9,1
D5,0.5,3/4,x,1,9,1
C♯5,1.0,3/4,x,1,10,1
0,0.5,3/4,.,1,10,1
C♯5,0.5,3/4,x,1,10,1
B4,0.5,3/4,x,1,10,1
A4,0.5,3/4,x,1,10,1
B4,0.5,3/4,x,1,11,1
D♯5,0.5,3/4,x,1,11,1
E5,0.5,3/4,x,1,11,1
G♯5,0.5,3/4,x,1,11,1
C♯5,0.5,3/4,x,1,11,1
B4,0.5,3/4,x,1,11,1
A4,0.5,3/4,x,1,12,1
E5,0.5,3/4,x,1,12,1
D♯5,0.5,3/4,x,1,12,1
F♯5,0.5,3/4,x,1,12,1
B4,0.5,3/4,x,1,12,1
A4,0.5,3/4,x,1,12,1
G♯4,1.0,3/4,x,1,13,1
0,0.5,3/4,.,1,13,1
E5,0.5,3/4,u,1,13,1
C♯5,0.5,3/4,u,1,13,1
E5,0.5,3/4,u,1,13,1
F♯5,0.5,3/4,u,1,14,1
A4,0.5,3/4,t,1,14,1
D4,0.5,3/4,b,1,14,1
C♯5,0.5,3/4,m,1,14,1
B4,0.5,3/4,m,1,14,1
A5,0.5,3/4,u,1,14,1
G♯5,0.5,3/4,u,1,15,1
B4,0.5,3/4,m,1,15,1
E4,0.5,3/4,B,1,15,1
D5,0.5,3/4,m,1,15,1
C♯5,0.5,3/4,m,1,15,1
B5,0.5,3/4,u,1,15,1
A5,0.5,3/4,u,1,16,1
C♯5,0.5,3/4,m,1,16,1
F♯4,0.5,3/4,B,1,16,1
E5,0.5,3/4,m,1,16,1
D5,0.5,3/4,m,1,16,1
C♯6,0.5,3/4,u,1,16,1
B5,0.5,3/4,u,1,17,1
D5,0.5,3/4,m,1,17,1
G♯4,0.5,3/4,B,1,17,1
F♯5,0.5,3/4,m,1,17,1
E5,0.5,3/4,m,1,17,1
D6,0.5,3/4,u,1,17,1
C♯6,0.5,3/4,u,1,18,1
G♯5,0.5,3/4,m,1,18,1
A5,0.5,3/4,m,1,18,1
D4,0.5,3/4,B,1,18,1
E4,0.5,3/4,B,1,18,1
G♯5,0.5,3/4,u,1,18,1
A4,0.5,3/4,B,1,19,1
A5,0.5,3/4,u,1,19,1
B4,0.5,3/4,B,1,19,1
G♯5,0.5,3/4,u,1,19,1
C♯5,0.5,3/4,b,1,19,1
A5,0.5,3/4,u,1,19,1
D5,0.5,3/4,b,1,20,1
F♯5,0.5,3/4,x,1,20,1
E♯5,0.5,3/4,x,1,20,1
F♯5,0.5,3/4,x,1,20,1
B5,0.5,3/4,x,1,20,1
A♯5,0.5,3/4,x,1,20,1
B5,0.5,3/4,x,1,21,1
D6,0.5,3/4,x,1,21,1
B5,0.5,3/4,x,1,21,1
G♯5,0.5,3/4,x,1,21,1
A5,0.5,3/4,x,1,21,1
F♯5,0.5,3/4,x,1,21,1
C♯5,0.5,3/4,x,1,22,1
E♯5,0.5,3/4,x,1,22,1
G♯5,0.5,3/4,x,1,22,1
C♯6,0.5,3/4,x,1,22,1
G♯5,0.5,3/4,x,1,22,1
E♯5,0.5,3/4,x,1,22,1
C♯5,2.0,3/4,x,1,23,1
0,0.5,3/4,.,1,24,0
G♯5,0.5,3/4,x,1,24,0
G♯5,1.5,3/4,x,1,25,0
E♯5,0.5,3/4,x,1,25,0
F♯5,0.5,3/4,x,1,25,0
G♯5,0.5,3/4,x,1,25,0
