bar,repeat,movement,onset
1,0,1,15.998548752834466
2,0,1,19.500045351473922
3,0,1,22.40399092970522
4,0,1,24.820317460317458
5,0,1,28.096650037792894
6,0,1,31.651519274376422
7,0,1,34.9827664399093
8,0,1,38.165351473922904
9,0,1,41.0692970521542
10,0,1,43.75936259435281
11,0,2,47.07845804988662
12,0,2,49.59238095238094
13,0,2,51.97315192743765
14,0,2,54.43897566137566
15,0,2,56.82757369614513
16,0,2,59.09532879818593
17,0,2,61.41260770975056
18,0,2,63.95804553784984
19,0,2,66.69273316803357
20,0,2,68.7824036281179
21,0,2,71.10585034013604
22,0,2,73.4463492063492
23,0,2,75.55464852607707
24,0,2,77.75274376417231
25,0,2,79.97714285714288
26,0,2,82.22013605442179
27,0,3,85.92136054421769
28,0,3,90.19065759637186
29,0,3,94.06521541950116
30,0,3,100.0744671201814
31,0,3,104.32054421768706
32,0,3,108.14866213151925
33,0,3,113.32199546485263
34,0,3,119.10829931972789
35,0,3,124.22122448979593
36,0,3,130.1639002267574
37,0,4,136.37904761904764
38,0,4,137.61895691609976
39,0,4,138.5554648526077
40,0,4,139.887662585034
41,0,4,140.6126984126984
42,0,4,141.62040816326532
43,0,4,142.58167800453518
44,0,4,143.6791836734694
45,0,4,144.60430579850987
46,0,4,145.64848775190828
47,0,4,146.72553287981862
48,0,4,147.70693877551022
37,1,4,149.15120181405894
38,1,4,150.06603174603174
39,1,4,150.97931972789112
40,1,4,152.3345032865467
41,1,4,153.08299319727885
42,1,4,154.09070294784584
43,1,4,155.05197278911564
44,1,4,156.10303854875286
45,1,4,157.28025721731478
46,1,4,158.16388007054675
47,1,4,159.21904761904764
48,1,4,160.2933333333333
49,0,4,161.52861678004535
50,0,4,162.6059863945578
51,0,4,163.58585034013606
52,0,4,164.68643990929704
53,0,4,165.73596371882087
54,0,4,166.8133333333333
55,0,4,167.82104308390026
56,0,4,168.89378684807252
57,0,4,169.91369225785553
58,0,4,170.91295726495727
59,0,4,172.0097959183673
60,0,4,172.99428571428575
61,0,4,173.88589569160996
62,0,4,174.98185941043087
49,1,4,176.33478458049882
50,1,4,177.4353741496599
51,1,4,178.55455782312922
52,1,4,179.51582766439913
53,1,4,180.61179138321992
54,1,4,181.68916099773247
55,1,4,182.58077097505668
56,1,4,183.74639455782318
57,1,4,185.05082125603866
58,1,4,187.57297052154192
59,1,4,192.38875283446717
60,1,4,197.5760544217687
61,1,4,203.5760544217687
63,0,4,206.5760544217687
