bar,repeat,movement,onset
1,0,1,0.44117913832199546
2,0,1,2.7584580498866207
3,0,1,4.362086167800451
4,0,1,5.758504507494054
5,0,1,8.049251700680271
6,0,1,10.707120181405894
7,0,1,13.388208616780044
8,0,1,15.549115646258503
9,0,1,17.31528344671202
10,0,1,18.91303589834202
11,0,2,21.09532879818594
12,0,2,23.70213151927437
13,0,2,26.013242630385495
14,0,2,28.567970155804257
15,0,2,30.38004535147393
16,0,2,32.531700680272095
17,0,2,34.57034013605442
18,0,2,37.043328654213006
19,0,2,39.433664747950466
20,0,2,41.0809977324263
21,0,2,42.73106575963719
22,0,2,44.88580498866213
23,0,2,46.761904761904766
24,0,2,48.727800453514725
25,0,2,50.627120181405914
26,0,2,52.61469387755104
27,0,3,57.175056689342384
28,0,3,61.28616780045348
29,0,3,65.71365079365081
30,0,3,70.81732426303856
31,0,3,74.45968253968253
32,0,3,77.96272108843534
33,0,3,82.34657596371885
34,0,3,86.67002267573697
35,0,3,89.9253514739229
36,0,3,93.52281179138323
37,0,4,99.94693877551023
38,0,4,101.44226757369613
39,0,4,102.68063492063492
40,0,4,104.36046966731898
41,0,4,105.24870748299318
42,0,4,106.58149659863946
43,0,4,107.7285260770975
44,0,4,109.05823129251702
45,0,4,110.5354785954786
46,0,4,111.69758717013374
47,0,4,112.73151927437642
48,0,4,113.89868480725625
37,1,4,115.64480725623582
38,1,4,117.19097368240226
39,1,4,117.75156462585035
40,1,4,118.85619954648526
41,1,4,120.41251700680273
42,1,4,121.76852607709753
43,1,4,122.91555555555566
44,1,4,124.19882086167804
45,1,4,125.42435907696412
46,1,4,126.83634164777023
47,1,4,127.663305883757
48,1,4,128.89995464852618
49,0,4,130.49646670789528
50,0,4,131.76988662131527
51,0,4,132.9819501133787
52,0,4,134.43083900226765
53,0,4,135.75900226757378
54,0,4,137.02213151927447
55,0,4,138.29770423484712
56,0,4,139.61342403628126
57,0,4,141.1398034769463
58,0,4,142.02741244646006
59,0,4,143.5885714285715
60,0,4,144.66594104308393
61,0,4,145.9522902494332
62,0,4,147.18757369614517
49,1,4,148.67981859410438
50,1,4,149.89650793650796
51,1,4,151.03891156462592
52,1,4,152.4181405895692
53,1,4,153.6963718820862
54,1,4,154.77723356009074
55,1,4,156.06358276644002
56,1,4,157.27564625850343
57,1,4,158.42002980239715
58,1,4,159.58034769463342
59,1,4,160.67029478458053
60,1,4,161.74766439909308
61,1,4,170.16253968253974
63,0,4,173.1625396825398
