bar,repeat,movement,onset
1,0,1,0.13931972789115646
2,0,1,0.5123809523809524
3,0,1,1.4535147392290253
4,0,1,2.3714285714285714
5,0,1,3.3357823129251707
6,0,2,6.1546485260771
7,0,2,9.273832199546483
8,0,2,12.5091156462585
9,0,2,15.855056689342362
10,0,3,18.235102040816322
11,0,3,20.99609977324263
12,0,3,21.919274376417235
13,0,3,22.906848072562358
14,0,3,24.01052154195011
15,0,4,26.62040816326531
16,0,4,29.600272108843537
17,0,4,32.580136054421764
18,0,4,35.917913832199524
19,0,4,40.21170068027211
20,0,4,43.377324263038545
21,0,4,46.566167800453506
22,0,4,49.94231292517007
23,0,4,53.41133786848072
24,0,4,56.71628117913832
25,0,4,60.508843537414954
26,0,4,64.88344671201816
27,0,5,69.33786848072583
28,0,5,73.20235827664399
29,0,5,74.80916099773243
30,0,5,76.18376417233559
31,0,5,77.72553287981859
32,0,5,79.15120181405895
33,0,5,80.53043083900225
34,0,5,81.86784580498866
35,0,5,83.22848072562357
36,0,5,84.6831427345713
37,0,5,86.38784580498866
38,0,5,88.11691609977325
39,0,5,89.68344671201814
40,0,5,91.17877551020408
41,0,5,92.60444444444444
42,0,5,93.91401360544218
43,0,5,95.32108843537416
44,0,5,96.72816326530612
45,0,5,98.18167800453516
46,0,5,99.74820861678002
47,0,5,101.57015873015874
48,0,5,102.97723356009071
49,0,5,104.32692445399212
50,0,5,105.74031746031748
51,0,5,107.14276643990928
52,0,5,108.52199546485261
53,0,5,109.7665306122449
54,0,5,111.05750566893424
55,0,5,112.41814058956916
56,0,5,113.96145124716556
57,0,5,115.5047619047619
58,0,5,116.9350566893424
59,0,5,118.20126984126982
60,0,5,119.5139229024943
61,0,5,121.01233560090704
62,0,5,122.18412698412698
63,0,5,123.4720181405896
64,0,5,124.94875283446713
65,0,5,126.12054421768705
66,0,5,127.43473922902493
67,0,5,128.81551020408165
68,0,5,130.106485260771
69,0,5,131.48571428571427
70,0,5,132.7720634920635
71,0,5,134.15129251700682
72,0,5,135.34938775510204
73,0,5,136.64921714717633
74,0,5,137.9081179138322
75,0,5,139.63718820861675
76,0,5,141.41269841269843
77,0,5,142.84299319727893
78,0,5,144.15718820861684
79,0,5,145.37062885247997
80,0,5,146.9697959183674
81,0,6,152.20199546485267
82,0,6,152.9545107919711
83,0,6,154.46522011103292
84,0,6,155.65551020408165
85,0,6,157.1477551020409
86,0,6,158.7328798185941
87,0,6,160.22666666666674
88,0,6,161.76689342403628
89,0,6,163.3984580498867
90,0,6,165.07337868480735
91,0,6,166.59192743764177
92,0,6,168.29006802721096
93,0,6,169.87827664399097
94,0,6,171.23274376417243
95,0,6,172.81786848072565
81,1,6,173.81786848072568
82,1,6,174.81786848072568
83,1,6,176.57058409570726
84,1,6,177.50358276644
85,1,6,179.3673469387755
86,1,6,180.976310250596
87,1,6,182.4462585034014
88,1,6,184.10258503401366
89,1,6,185.80380952380952
90,1,6,187.54839002267576
91,1,6,189.04371882086178
92,1,6,190.67219954648527
93,1,6,192.33006802721098
94,1,6,193.70775510204086
95,1,6,195.36253968253976
96,0,6,196.62131519274436
97,0,6,197.6643990929706
98,0,6,199.32635443921157
99,0,6,200.58231292517007
100,0,6,202.21387755102046
101,0,6,203.93832199546495
102,0,6,205.50331065759644
103,0,6,207.09151927437645
104,0,6,208.58684807256247
105,0,6,210.52027210884359
106,0,6,212.09823129251706
107,0,6,213.8092760356175
108,0,6,215.34530612244905
109,0,6,217.139410430839
110,0,6,218.72607709750574
111,0,6,220.38240362811794
112,0,6,222.01396825396833
113,0,6,223.71210884353752
114,0,6,225.30031746031753
115,0,6,226.83591836734703
116,0,6,230.07274376417237
117,0,6,234.86376417233566
118,0,6,238.8637641723356
