bar,repeat,movement,onset
1,0,1,0.4876190476190476
2,0,1,0.6517006802721086
3,0,1,1.5928344671201817
4,0,1,2.4643083900226754
5,0,1,3.3822222222222207
6,0,2,6.502947845804988
7,0,2,10.202630385487526
8,0,2,14.13451247165533
9,0,2,18.019954648526074
10,0,3,21.230476190476192
11,0,3,22.812517006802718
12,0,3,23.730784103114928
13,0,3,24.648344671201816
14,0,3,25.5198185941043
15,0,4,28.61732426303855
16,0,4,32.734965986394556
17,0,4,37.27056689342403
18,0,4,41.481088435374154
19,0,4,46.27210884353742
20,0,4,50.8945124716553
21,0,4,55.645170068027205
22,0,4,60.623492063492066
23,0,4,66.06621315192743
24,0,4,70.83401360544218
25,0,4,74.97487528344674
26,0,4,79.51201814058957
27,0,5,85.66548752834791
28,0,5,90.08326530612247
29,0,5,91.48108843537416
30,0,5,92.90213151927439
31,0,5,94.60643990929707
32,0,5,95.86956916099776
33,0,5,97.2952380952381
34,0,5,98.75430385487527
35,0,5,100.08616780045352
36,0,5,101.54026657817599
37,0,5,102.82757369614514
38,0,5,104.20834467120183
39,0,5,105.42657596371883
40,0,5,107.01478458049887
41,0,5,108.44045351473925
42,0,5,109.93578231292517
43,0,5,111.34285714285716
44,0,5,112.70349206349206
45,0,5,114.064126984127
46,0,5,115.53777777777779
47,0,5,117.05786848072563
48,0,5,118.34884353741496
49,0,5,119.7094784580499
50,0,5,121.20480725623585
51,0,5,122.65369614512471
52,0,5,124.14902494331065
53,0,5,125.46321995464852
54,0,5,126.80407672979102
55,0,5,128.0451700680272
56,0,5,129.63492063492066
57,0,5,131.03891156462586
58,0,5,132.3769451712309
59,0,5,133.84566893424036
60,0,5,135.3034920634921
61,0,5,136.72566893424036
62,0,5,138.18267573696144
63,0,5,139.65632653061226
64,0,5,140.9473015873016
65,0,5,142.62993197278914
66,0,5,143.85124716553287
67,0,5,145.30167800453515
68,0,5,146.75519274376418
69,0,5,148.2969614512472
70,0,5,149.72263038548752
71,0,5,151.26439909297054
72,0,5,152.64825396825398
73,0,5,154.03210884353743
74,0,5,155.32308390022678
75,0,5,156.8199546485261
76,0,5,158.34004535147395
77,0,5,159.84
78,0,5,161.27029478458044
79,0,5,162.60770975056684
80,0,5,164.082902494331
81,0,6,168.66494331065758
82,0,6,169.46318506889935
83,0,6,171.06739723768297
84,0,6,172.16489795918363
85,0,6,174.0286621315192
86,0,6,175.93886621315193
87,0,6,177.5719727891156
88,0,6,179.1586394557823
89,0,6,180.85986394557818
90,0,6,182.5812244897959
91,0,6,184.12299319727884
92,0,6,185.8907936507936
93,0,6,187.43256235827656
94,0,6,189.08888888888887
95,0,6,190.81333333333325
81,1,6,191.68582592011163
82,1,6,192.2328344671201
83,1,6,194.65808683967413
84,1,6,195.80090702947842
85,1,6,197.47891156462583
86,1,6,199.31945578231287
87,1,6,201.02222222222224
88,1,6,202.56666666666663
89,1,6,204.24045351473924
90,1,6,205.8457142857142
91,1,6,207.34104308390022
92,1,6,208.96952380952376
93,1,6,210.48807256235824
94,1,6,212.0979591836734
95,1,6,213.93850340136052
96,0,6,215.1575510204079
97,0,6,216.20290450995213
98,0,6,217.85619817738416
99,0,6,219.22793650793653
100,0,6,221.06848072562352
101,0,6,222.9554648526077
102,0,6,224.65977324263034
103,0,6,226.31764172335596
104,0,6,227.97551020408162
105,0,6,229.90893424036275
106,0,6,231.7030385487528
107,0,6,233.49714285714276
108,0,6,235.2448072562358
109,0,6,237.20145124716547
110,0,6,238.83455782312924
111,0,6,240.51410430838993
112,0,6,242.2153287981859
113,0,6,244.0295691609977
114,0,6,245.64099773242626
115,0,6,247.37387755102037
116,0,6,248.95056689342397
117,0,6,250.58367346938775
118,0,6,252.2848979591836
96,1,6,253.70285714285708
97,1,6,254.4491421725923
98,1,6,255.59292517006799
99,1,6,257.4117913832199
100,1,6,259.32199546485253
101,1,6,261.3947392290249
102,1,6,263.075827664399
103,1,6,264.68725623582765
104,1,6,266.3683446712017
105,1,6,268.2321088435374
106,1,6,269.9797732426303
107,1,6,271.6113378684807
108,1,6,273.3125623582766
109,1,6,275.3388662131519
110,1,6,277.04163265306113
111,1,6,278.767619047619
112,1,6,280.53850340136046
113,1,6,282.0973242630385
114,1,6,283.68553287981854
115,1,6,285.1282539682539
116,1,6,290.4316553287982
117,1,6,297.13052154194736
118,1,6,302.1019501133787
