bar,repeat,movement,onset
1,0,1,0.37151927437641724
2,0,1,0.6749206349206351
3,0,1,1.7321541950113377
4,0,1,2.626848072562358
5,0,1,3.428662131519276
6,0,2,5.6438095238095265
7,0,2,8.554013605442174
8,0,2,11.162358276643987
9,0,2,13.492063492063489
10,0,3,15.889886621315192
11,0,3,17.35582766439909
12,0,3,18.529160997732426
13,0,3,19.377414965986397
14,0,3,20.22566893424037
15,0,4,21.651337868480727
16,0,4,24.724081632653064
17,0,4,27.378866213151937
18,0,4,29.987210884353747
19,0,4,33.965532879818596
20,0,4,36.75963718820863
21,0,4,39.437641723356016
22,0,4,42.16362811791383
23,0,4,45.16825396825398
24,0,4,48.03201814058957
25,0,4,50.87256235827665
26,0,4,54.61260770975064
27,0,5,58.14875283446718
28,0,5,61.49950113378685
29,0,5,63.08308390022676
30,0,5,64.66666666666669
31,0,5,66.2316553287982
32,0,5,67.88952380952381
33,0,5,69.38485260770976
34,0,5,70.83836734693878
35,0,5,72.33832199546487
36,0,5,73.76861678004536
37,0,5,75.31192743764174
38,0,5,76.83201814058958
39,0,5,78.53786848072565
40,0,5,80.17251700680272
41,0,5,81.71428571428571
42,0,5,83.25605442176871
43,0,5,84.70956916099775
44,0,5,86.18630385487529
45,0,5,87.66303854875284
46,0,5,89.15990929705217
47,0,5,90.61034013605443
48,0,5,92.06385487528345
49,0,5,93.3548299319728
50,0,5,94.82693877551023
51,0,5,96.27582766439909
52,0,5,97.72471655328798
53,0,5,99.15501133786849
54,0,5,100.51908541194256
55,0,5,101.89950113378686
56,0,5,103.37315192743766
57,0,5,104.77714285714286
58,0,5,106.1609977324263
59,0,5,107.63619047619045
60,0,5,108.99528344671205
61,0,5,110.42403628117914
62,0,5,111.85124716553287
63,0,5,113.13913832199549
64,0,5,114.47655328798187
65,0,5,115.78766439909295
66,0,5,117.00897959183672
67,0,5,118.2736507936508
68,0,5,119.5181859410431
69,0,5,121.03673469387756
70,0,5,122.46240362811791
71,0,5,123.86485260770976
72,0,5,125.20226757369615
73,0,5,126.56290249433107
74,0,5,127.87709750566896
75,0,5,129.3043083900227
76,0,5,130.6386394557823
77,0,5,131.9760544217687
78,0,5,133.29024943310657
79,0,5,134.60444444444448
80,0,5,136.1260770975057
81,0,6,139.66321995464853
82,0,6,140.62102659245517
83,0,6,142.1134277536151
84,0,6,143.34893424036284
85,0,6,144.65541950113374
86,0,6,146.05478458049888
87,0,6,147.57179138321996
88,0,6,149.08879818594104
89,0,6,150.48816326530607
90,0,6,152.09342403628116
91,0,6,153.5190929705216
92,0,6,155.0082539682539
93,0,6,156.48036281179142
94,0,6,157.9509297052154
95,0,6,159.53605442176874
81,1,6,160.53605442176874
82,1,6,161.24567761856517
83,1,6,162.66723855643954
84,1,6,164.12888888888884
85,1,6,165.0174149659864
86,1,6,166.834739229025
87,1,6,168.25886621315195
88,1,6,169.729433106576
89,1,6,171.12879818594104
90,1,6,172.5250793650794
91,1,6,174.0204081632653
92,1,6,175.23092970521543
93,1,6,176.72625850340134
94,1,6,178.0807256235828
95,1,6,179.59619047619043
96,0,6,180.69505668934235
97,0,6,181.37726984126985
98,0,6,182.88861239119302
99,0,6,184.16580498866213
100,0,6,185.5419501133787
101,0,6,186.9877551020408
102,0,6,188.4598639455782
103,0,6,189.81587301587305
104,0,6,191.21832199546483
105,0,6,192.68734693877556
106,0,6,194.08671201814056
107,0,6,195.3931972789116
108,0,6,196.6996825396825
109,0,6,198.1454875283447
110,0,6,199.70893424036277
111,0,6,201.2027210884354
112,0,6,202.48598639455778
113,0,6,203.9287074829932
114,0,6,205.3543764172336
115,0,6,206.77387755102038
116,0,6,208.1995464852608
117,0,6,209.64689342403628
118,0,6,210.99981859410434
96,1,6,212.11918367346956
97,1,6,212.51877618709176
98,1,6,214.008100711549
99,1,6,215.49977324263034
100,1,6,216.80625850340138
101,1,6,218.25206349206348
102,1,6,219.7009523809524
103,1,6,221.0105215419501
104,1,6,222.459410430839
105,1,6,223.9748752834467
106,1,6,225.11882086167805
107,1,6,226.49496598639453
108,1,6,227.61569160997735
109,1,6,229.08471655328793
110,1,6,230.55528344671205
111,1,6,231.97941043083898
112,1,6,233.26267573696148
113,1,6,234.6357369614513
114,1,6,235.94530612244898
115,1,6,237.08616780045355
116,1,6,240.2301133786848
117,1,6,245.09079365079361
118,1,6,249.09079365079364
