bar,repeat,movement,onset
1,0,1,1.6021768707482993
2,0,1,3.113015873015873
3,0,1,6.721360544217688
4,0,1,10.422585034013606
5,0,1,13.732154195011336
6,0,1,17.84979591836735
7,0,1,21.620680272108846
8,0,1,24.857505668934245
9,0,1,27.840453514739234
10,0,1,31.448798185941044
11,0,1,34.82648526077098
12,0,1,38.57414965986395
13,0,1,42.071020408163264
14,0,1,45.1004081632653
15,0,1,48.74231292517007
1,1,1,50.0075283446712
2,1,1,52.841904761904765
3,1,1,56.403809523809535
4,1,1,59.80317460317461
5,1,1,63.22884353741496
6,1,1,67.11428571428571
7,1,1,70.4207709750567
8,1,1,73.79691609977324
9,1,1,77.03528344671201
10,1,1,80.20244897959185
11,1,1,82.97641723356008
12,1,1,86.70086167800454
13,1,1,90.08163265306123
14,1,1,93.15746031746032
15,1,1,96.76272108843537
16,0,1,99.14775510204107
17,0,1,100.99183673469388
18,0,1,104.46086167800455
19,0,1,108.06920634920635
20,0,1,111.40199546485262
21,0,1,114.89269841269841
22,0,1,118.31124716553288
23,0,1,121.67252803824233
24,0,1,124.83845804988661
25,0,1,128.51646258503402
26,0,1,131.75328798185942
27,0,1,135.33215419501133
28,0,1,138.62306615399783
29,0,1,142.5798639455782
30,0,1,146.42503401360545
31,0,1,149.54190476190476
32,0,1,153.31510204081633
16,1,1,155.84253968253955
17,1,1,157.40489795918367
18,1,1,161.03646258503403
19,1,1,165.01632653061225
20,1,1,168.44199546485262
21,1,1,171.93269841269841
22,1,1,175.28742857142856
23,1,1,178.57197278911568
24,1,1,181.83201814058955
25,1,1,185.60290249433106
26,1,1,189.09514739229027
27,1,1,192.86603174603172
28,1,1,196.3350566893424
29,1,1,200.33968253968257
30,1,1,204.24308390022676
31,1,1,207.37739780596922
32,1,1,211.98049886621314
33,0,2,212.98049886621317
34,0,2,220.02231292517007
35,0,2,222.0006349206349
36,0,2,224.10430839002268
37,0,2,226.27918367346936
38,0,2,228.2946031746032
39,0,2,230.30385487528346
40,0,2,232.38430839002268
41,0,2,234.4647619047619
42,0,2,236.4538775510204
43,0,2,239.11791383219952
44,0,2,241.63183673469385
45,0,2,243.5760544217687
46,0,2,245.47537414965987
47,0,2,247.65333333333334
48,0,2,249.85297052154195
49,0,2,251.76471655328797
50,0,2,253.70739229024937
51,0,2,256.20888888888885
52,0,2,258.125260770975
53,0,2,260.04163265306113
54,0,2,262.50131519274373
55,0,2,264.46412698412695
56,0,2,266.42693877551017
57,0,2,268.44544217687064
58,0,2,270.5878458049886
59,0,2,272.47945578231287
60,0,2,274.5180952380952
61,0,2,276.4003628117913
62,0,2,278.34920634920627
63,0,2,280.33832199546475
64,0,2,282.4419954648525
65,0,3,286.9296145124716
66,0,3,288.3320634920634
67,0,3,289.5472108843537
68,0,3,290.7174603174602
69,0,3,291.8412698412698
70,0,3,293.0796371882085
71,0,3,294.480544217687
72,0,3,295.8133333333333
73,0,3,297.0284807256235
74,0,3,298.3148299319727
75,0,3,299.67238095238093
76,0,3,301.0516099773242
77,0,3,303.2419954648526
78,0,3,304.69088435374147
79,0,3,305.9292517006802
80,0,3,307.1227210884354
81,0,3,308.3161904761904
82,0,3,309.60099773242626
83,0,3,311.21088435374145
84,0,3,312.70621315192733
85,0,3,313.9445804988662
86,0,3,315.13959183673467
87,0,3,316.565260770975
88,0,3,317.9212698412698
89,0,3,319.8330158730158
90,0,3,320.9336054421768
91,0,3,322.1719727891156
92,0,3,323.3422222222221
93,0,3,324.48925170068026
94,0,3,325.7508390022675
95,0,3,327.5697052154194
96,0,3,328.9181859410431
97,0,3,330.2120634920634
98,0,3,331.77473015873016
99,0,3,332.8812189591284
100,0,3,334.25841269841266
65,1,3,338.4240362811791
66,1,3,339.82648526077094
67,1,3,340.90231292517
68,1,3,341.8635827664399
69,1,3,342.8016326530612
70,1,3,343.83102040816317
