bar,repeat,movement,onset
1,0,1,1.7647165532879818
2,0,1,2.764716553287982
3,0,1,6.744580498866214
4,0,1,10.376145124716553
5,0,1,13.755374149659863
6,0,1,17.571156462585034
7,0,1,21.434920634920637
8,0,1,24.88072562358277
9,0,1,27.86367346938776
10,0,1,31.448798185941044
11,0,1,34.78004535147392
12,0,1,38.59736961451247
13,0,1,42.25678004535147
14,0,1,45.1004081632653
15,0,1,48.72888888888889
1,1,1,49.868208616780045
2,1,1,51.93814058956913
3,1,1,56.42702947845806
4,1,1,59.756734693877554
5,1,1,63.22884353741496
6,1,1,66.92852607709752
7,1,1,70.39755102040816
8,1,1,73.79691609977324
9,1,1,76.9424036281179
10,1,1,80.1560090702948
11,1,1,82.99963718820861
12,1,1,86.70086167800454
13,1,1,90.2209523809524
14,1,1,93.1342403628118
15,1,1,96.7859410430839
16,0,1,99.12145124716582
17,0,1,100.55065759637188
18,0,1,104.48408163265307
19,0,1,108.06920634920635
20,0,1,111.40199546485262
21,0,1,114.91591836734693
22,0,1,118.3168253968254
23,0,1,121.83383219954648
24,0,1,124.86167800453514
25,0,1,128.53968253968253
26,0,1,131.75328798185942
27,0,1,135.3384126984127
28,0,1,138.62167800453514
29,0,1,142.5798639455782
30,0,1,146.44825396825397
31,0,1,149.54730158730158
32,0,1,153.31510204081633
16,1,1,155.74784580498797
17,1,1,156.93732426303853
18,1,1,161.05968253968254
19,1,1,164.784126984127
20,1,1,168.46521541950113
21,1,1,171.95591836734695
22,1,1,175.31038548752832
23,1,1,178.61841269841273
24,1,1,181.9713378684807
25,1,1,185.57968253968255
26,1,1,189.09514739229027
27,1,1,192.86603174603172
28,1,1,196.3350566893424
29,1,1,200.33968253968257
30,1,1,204.27773242630386
31,1,1,207.4
32,1,1,212.00371882086168
33,0,2,215.16462585034034
34,0,2,219.97587301587302
35,0,2,222.02385487528343
36,0,2,224.10430839002268
37,0,2,226.3024036281179
38,0,2,228.2946031746032
39,0,2,230.30385487528346
40,0,2,232.38430839002268
41,0,2,234.4647619047619
42,0,2,236.4538775510204
43,0,2,239.11791383219952
44,0,2,241.63183673469385
45,0,2,243.5760544217687
46,0,2,245.47537414965987
47,0,2,247.65333333333334
48,0,2,249.85297052154195
49,0,2,251.76471655328797
50,0,2,253.72752834467119
51,0,2,255.97668934240357
52,0,2,258.125260770975
53,0,2,260.06485260770967
54,0,2,262.4548752834467
55,0,2,264.46412698412695
56,0,2,266.33405895691607
57,0,2,268.4686621315192
58,0,2,270.5878458049886
59,0,2,272.80453514739224
60,0,2,274.54131519274375
61,0,2,276.3771428571428
62,0,2,278.4188662131519
63,0,2,280.38476190476183
64,0,2,282.3723356009069
65,0,3,287.11537414965983
66,0,3,288.35528344671195
67,0,3,289.59365079365074
68,0,3,290.6710204081632
69,0,3,291.88770975056684
70,0,3,293.0796371882085
71,0,3,294.480544217687
72,0,3,295.8133333333333
73,0,3,297.0284807256235
74,0,3,298.33804988662126
75,0,3,299.67238095238093
76,0,3,301.0516099773242
77,0,3,303.2419954648526
78,0,3,304.69088435374147
79,0,3,305.9292517006802
80,0,3,307.0995011337868
81,0,3,308.3161904761904
82,0,3,309.60099773242626
83,0,3,311.23410430839
84,0,3,312.7526530612244
85,0,3,313.9678004535147
86,0,3,315.16281179138315
87,0,3,316.565260770975
88,0,3,317.9212698412698
89,0,3,319.62544751233827
90,0,3,320.95682539682537
91,0,3,322.1951927437641
92,0,3,323.3422222222221
93,0,3,324.53569160997733
94,0,3,325.7508390022675
95,0,3,326.9427664399092
96,0,3,328.92571428571426
97,0,3,330.23528344671195
98,0,3,331.63929493575205
99,0,3,332.9024036281179
100,0,3,334.3048526077097
65,1,3,337.9392290249432
66,1,3,339.8497052154195
67,1,3,340.9255328798185
68,1,3,341.8635827664399
69,1,3,346.12208616780043
70,1,3,351.0292063492062
