bar,repeat,movement,onset
1,0,1,1.8343764172335602
2,0,1,6.789478458049888
3,0,1,10.165623582766441
4,0,1,14.425668934240363
5,0,1,18.78630385487528
6,0,1,23.543219954648524
7,0,1,27.3156462585034
8,0,1,31.002902494331057
9,0,1,34.69015873015872
10,0,1,38.39292517006803
11,0,1,42.536870748299314
12,0,1,46.72879818594103
13,0,1,50.7566439909297
14,0,1,54.90464244234279
1,1,1,58.71791383219955
2,1,1,62.83709750566893
3,1,1,66.6544217687075
4,1,1,70.98412698412697
5,1,1,75.18222222222221
6,1,1,80.10167800453516
7,1,1,84.15274376417233
8,1,1,87.97931972789115
9,1,1,92.01487528344671
10,1,1,95.94984126984127
11,1,1,100.09378684807255
12,1,1,104.2160544217687
13,1,1,108.15102040816325
15,0,2,113.3166439909297
16,0,2,114.20208616780045
17,0,2,115.06585034013605
18,0,2,116.02403628117912
19,0,2,116.88780045351474
20,0,2,117.73297052154194
21,0,2,118.55492063492063
22,0,2,119.42331065759635
23,0,2,120.33814058956914
24,0,2,121.48517006802722
25,0,2,122.37678004535145
26,0,2,123.33804988662129
27,0,2,124.27609977324263
28,0,2,125.44634920634921
29,0,2,126.57015873015871
30,0,2,127.94476190476192
31,0,2,128.9756916099773
32,0,2,129.93696145124716
33,0,2,130.82857142857145
34,0,2,131.87963718820862
35,0,2,132.7020282186949
36,0,2,133.57368042328042
37,0,2,134.50802721088436
38,0,2,135.72009070294783
39,0,2,136.79591836734693
40,0,2,137.82222222222222
41,0,2,138.96616780045352
42,0,2,140.15809523809526
43,0,2,141.278820861678
44,0,2,142.23854875283448
45,0,2,143.47607636603027
46,0,2,144.4815419501134
47,0,2,145.53260770975058
48,0,2,146.9521088435374
49,0,2,147.95827664399093
50,0,2,148.96444444444444
51,0,2,149.94893424036283
52,0,2,151.23374149659867
53,0,2,152.28634920634923
54,0,2,153.38539682539684
55,0,2,154.3931065759637
56,0,2,155.7940136054422
57,0,2,156.7506575963719
58,0,2,157.68562358276645
59,0,2,158.61904761904762
60,0,2,159.64689342403628
61,0,2,160.63138321995467
62,0,2,161.61587301587298
63,0,2,162.64680272108842
64,0,2,163.72108843537416
65,0,2,164.75201814058957
66,0,2,165.73650793650793
67,0,2,166.74244574020085
68,0,2,168.11573696145123
69,0,2,169.1698866213152
70,0,2,170.06149659863942
71,0,2,170.97632653061223
72,0,2,172.02739229024945
73,0,2,172.94222222222223
74,0,2,173.85705215419497
75,0,2,174.91120181405898
76,0,2,176.14648526077093
77,0,2,177.15419501133792
78,0,2,178.1572789115646
79,0,2,179.25786848072565
80,0,2,180.26095238095235
81,0,2,181.2686621315193
82,0,2,182.3212698412698
83,0,2,183.34911564625853
84,0,2,184.2871655328798
85,0,2,185.27165532879815
86,0,3,186.95274376417237
87,0,3,191.2592290249433
88,0,3,195.1462131519274
89,0,3,198.8257596371882
90,0,3,202.36444444444444
91,0,3,206.06721088435373
92,0,3,210.1182766439909
93,0,3,214.12444444444444
94,0,3,218.50058956916104
95,0,3,222.807074829932
16,1,2,224.08725623582768
17,1,2,224.9510204081632
18,1,2,225.8627664399093
19,1,2,226.772970521542
20,1,2,227.61814058956915
21,1,2,228.4168707482993
22,1,2,229.33170068027215
23,1,2,230.22331065759636
24,1,2,231.41678004535143
25,1,2,232.30839002267575
26,1,2,233.31609977324263
27,1,2,234.39346938775506
28,1,2,235.54049886621317
29,1,2,236.5946485260771
30,1,2,237.94603174603176
31,1,2,238.9537414965986
32,1,2,239.86535147392289
33,1,2,240.73696145124717
