bar,repeat,movement,onset
1,0,1,1.4164172335600906
2,0,1,8.936507936507937
3,0,1,16.623764172335598
4,0,1,23.660861678004533
5,0,1,30.975056689342402
6,0,1,38.9641723356009
7,0,1,46.97496598639455
8,0,1,54.40371882086168
9,0,1,62.021315192743764
10,0,1,69.96399092970522
11,0,1,78.34784580498867
12,0,1,85.73324263038549
13,0,1,93.60317460317461
14,0,1,102.63718820861679
15,0,1,110.48698412698414
16,0,1,118.54421768707485
17,0,1,127.02730158730165
18,0,2,133.68662131519275
19,0,2,136.137052154195
20,0,2,138.10603174603176
21,0,2,140.04870748299322
22,0,2,142.19573696145125
23,0,2,144.0950566893424
24,0,2,146.06249433106578
25,0,2,148.14603174603178
26,0,2,150.1738083303497
27,0,2,151.94467120181403
28,0,2,154.4152380952381
29,0,2,156.36099773242628
30,0,2,158.2819954648526
31,0,2,160.20145124716555
32,0,2,162.2122448979592
33,0,2,164.66575963718824
34,0,2,166.81433106575966
35,0,2,168.69043083900226
36,0,2,170.54022675736962
37,0,2,172.69188208616782
38,0,2,174.60293107197217
39,0,2,176.92861678004536
40,0,2,179.03074829931973
41,0,2,180.99972789115648
42,0,2,182.96408163265306
43,0,2,184.883537414966
44,0,2,186.99183673469378
45,0,2,189.02893424036273
46,0,2,191.08925170068022
47,0,2,193.1511111111111
48,0,2,195.12009070294775
49,0,3,201.95909297052154
50,0,3,203.26557823129247
51,0,3,204.50240362811792
52,0,3,205.74231292517
53,0,3,207.07664399092963
54,0,3,208.31346938775508
55,0,3,209.59673469387747
56,0,3,210.88308390022675
49,1,3,212.46820861677998
50,1,3,213.82113378684804
51,1,3,215.15083900226747
52,1,3,216.43718820861676
53,1,3,217.72507936507932
54,1,3,219.12444444444444
55,1,3,220.47736961451238
56,1,3,221.78693877551018
57,0,3,223.2559637188208
58,0,3,224.6614965986394
59,0,3,225.94938775510195
60,0,3,227.6273922902494
61,0,3,228.70630385487522
62,0,3,230.06077097505667
63,0,3,231.41523809523804
64,0,3,232.74956916099765
65,0,3,234.68453514739227
66,0,3,236.15972789115642
67,0,3,237.49405895691604
68,0,3,238.80036281179136
69,0,3,240.16426303854877
70,0,3,241.5636281179138
71,0,3,242.8701133786848
72,0,3,244.20290249433103
57,1,3,245.69514739229027
58,1,3,247.04566893424035
59,1,3,248.34213151927435
60,1,3,249.9969160997732
61,1,3,251.0061678004535
62,1,3,252.45351473922895
63,1,3,253.85442176870748
64,1,3,255.2119727891156
65,1,3,257.2630385487528
66,1,3,258.8775510204081
67,1,3,260.23510204081634
68,1,3,261.5709750566893
69,1,3,263.02140589569154
70,1,3,264.56009070294783
71,1,3,266.0058956916099
72,1,3,268.1049433106575
