bar,repeat,movement,onset
1,0,1,0.603718820861678
2,0,1,4.046439909297052
3,0,1,6.815782312925171
4,0,1,9.633106575963719
5,0,1,13.034013605442174
6,0,1,16.569614512471652
7,0,1,19.52471655328798
8,0,1,22.43337868480726
9,0,1,25.32036281179138
10,0,1,28.368344671201815
11,0,1,31.396190476190473
12,0,1,34.14539682539682
13,0,1,39.30793650793651
1,1,1,41.42403628117914
2,1,1,45.238276643990936
3,1,1,48.49523809523809
4,1,1,51.56798185941043
5,1,1,55.22430839002268
6,1,1,59.2475283446712
7,1,1,62.41160997732426
8,1,1,65.83365079365078
9,1,1,68.99673469387756
10,1,1,72.43945578231293
11,1,1,75.76916099773243
12,1,1,78.7273469387755
13,1,1,84.0756462585034
14,0,1,86.40072562358277
15,0,1,89.93632653061223
16,0,1,93.21650793650795
17,0,1,96.4997732426304
18,0,1,99.75673469387756
19,0,1,102.9239002267574
20,0,1,105.67310657596374
21,0,1,109.14058956916102
22,0,1,112.65605442176872
23,0,1,115.72879818594106
24,0,1,118.59256235827664
25,0,1,121.71328798185942
26,0,1,124.7163718820862
27,0,1,127.62811791383221
28,0,1,130.81850340136057
29,0,1,135.4237641723356
30,0,2,137.4237641723356
31,0,2,142.14512471655328
32,0,2,143.26893424036282
33,0,2,144.1605442176871
34,0,2,145.0985941043084
35,0,2,146.0366439909297
36,0,2,147.02113378684808
37,0,2,147.98086167800454
38,0,2,148.9421315192744
39,0,2,150.43746031746034
40,0,2,151.0488888888889
41,0,2,152.28879818594106
42,0,2,153.27328798185943
43,0,2,154.28099773242633
44,0,2,155.2654875283447
45,0,2,156.3892970521542
46,0,2,157.24526940935104
47,0,2,158.24217687074832
48,0,2,159.20344671201815
49,0,2,160.18639455782312
50,0,2,161.12444444444446
51,0,2,162.38757369614513
52,0,2,163.18476190476196
53,0,2,164.23891156462585
54,0,2,165.2682993197279
55,0,2,166.22956916099776
56,0,2,167.33015873015873
57,0,2,168.24498866213153
58,0,2,169.2279365079365
59,0,2,170.25886621315198
60,0,2,171.35945578231292
61,0,2,172.22784580498868
62,0,2,173.38319340744428
63,0,2,174.33614512471655
64,0,2,175.5760544217687
65,0,2,176.53578231292516
66,0,2,177.49705215419505
67,0,2,178.9227210884354
68,0,2,179.69823129251702
69,0,2,180.79882086167802
70,0,2,181.82975056689347
71,0,2,183.07546096533852
72,0,2,184.0773696145125
73,0,2,185.26284715721152
74,0,2,186.3946485260771
75,0,2,187.5648979591837
76,0,2,188.43328798185945
77,0,2,189.48743764172335
78,0,2,190.58802721088438
79,0,2,194.8233106575964
80,0,3,195.14993197278912
81,0,3,199.93426097711813
82,0,3,204.50285714285718
83,0,3,209.1777777777778
84,0,4,210.1777777777778
85,0,4,212.17777777777778
86,0,4,214.6850664075154
87,0,4,215.74045351473922
88,0,4,216.86349206349203
89,0,4,217.86657596371873
90,0,4,218.7798639455782
91,0,4,219.9021315192743
92,0,4,220.9315192743764
93,0,4,222.1451247165532
94,0,4,223.0279917184265
95,0,4,224.01814058956907
96,0,4,225.11347654851414
97,0,4,226.04920634920632
98,0,4,227.05678004535145
99,0,4,228.0629478458049
100,0,4,229.43600907029474
84,1,4,230.1341496598639
85,1,4,230.36943310657594
86,1,4,231.31199240925685
87,1,4,232.35700680272106
88,1,4,233.4761904761904
89,1,4,234.57215419501128
90,1,4,235.62476190476187
91,1,4,236.70058956916094
92,1,4,237.77641723356004
93,1,4,239.01324263038546
94,1,4,239.99619047619038
95,1,4,240.97913832199544
96,1,4,241.81065275888133
97,1,4,243.0131519274376
98,1,4,244.08743764172326
99,1,4,245.1400453514739
100,1,4,246.30412698412698
101,0,4,247.16480725623583
102,0,4,247.40009070294775
103,0,4,248.6930482669258
104,0,4,249.50068027210884
105,0,4,250.8304624994652
106,0,4,251.6260317460317
107,0,4,252.945812303416
108,0,4,253.78615463389656
109,0,4,255.31328798185936
110,0,4,255.92317460317454
111,0,4,256.8994888960875
112,0,4,258.0268480725623
113,0,4,258.87047619047615
114,0,4,260.06086167800447
115,0,4,261.113469387755
116,0,4,262.18929705215413
117,0,4,263.2186848072561
118,0,4,264.3626303854875
119,0,4,265.53133786848065
120,0,4,266.56072562358275
121,0,4,267.0777324263038
122,0,4,268.5715192743764
123,0,4,269.57614512471645
124,0,4,274.3209070294784
125,0,4,276.7063945578223
