bar,repeat,movement,onset
1,0,1,0.0
2,0,1,0.5092151982744317
3,0,1,2.191927437641723
4,0,1,3.6175963718820854
5,0,1,4.973605442176873
6,0,1,6.213514739229026
7,0,1,7.639183673469388
8,0,1,9.341950113378683
9,0,1,10.797064247921389
10,0,1,12.262947845804986
11,0,1,13.687074829931971
12,0,1,15.019863945578226
13,0,1,16.329433106575966
14,0,1,18.217959183673468
15,0,1,19.71328798185942
16,0,1,21.138956916099776
17,0,1,22.56462585034014
18,0,1,23.897414965986403
19,0,1,25.787482993197283
20,0,1,26.957732426303867
21,0,1,28.313741496598645
22,0,1,29.6465306122449
23,0,1,31.095419501133794
1,1,1,32.0954195011338
2,1,1,33.2671164021164
3,1,1,34.66708778749596
4,1,1,36.13097505668936
5,1,1,37.51020408163266
6,1,1,38.77333333333335
7,1,1,40.268662131519285
8,1,1,41.971428571428575
9,1,1,43.37387755102041
10,1,1,44.845986394557826
11,1,1,46.107573696145124
12,1,1,47.37070294784582
13,1,1,48.93569160997733
14,1,1,50.40625850340137
15,1,1,51.8087074829932
16,1,1,53.211156462585045
17,1,1,54.56716553287983
18,1,1,55.8999546485261
19,1,1,57.39528344671203
20,1,1,58.890612244897966
21,1,1,60.47882086167802
22,1,1,61.64907029478459
23,1,1,63.02829931972789
24,0,1,64.02829931972788
25,0,1,65.27946666666666
26,0,1,66.08090702947845
27,0,1,67.27437641723355
28,0,1,68.67682539682541
29,0,1,69.96317460317464
30,0,1,71.76036281179138
31,0,1,73.09160997732425
32,0,1,74.49405895691612
33,0,1,75.82684807256237
34,0,1,77.08997732426303
35,0,1,78.585306122449
36,0,1,79.82521541950115
37,0,1,81.32054421768707
38,0,1,82.69977324263039
39,0,1,84.07900226757371
40,0,1,85.48145124716554
41,0,1,87.34984126984128
42,0,1,88.79873015873015
43,0,1,90.36371882086166
44,0,1,91.78938775510206
45,0,1,93.35437641723355
46,0,1,94.80326530612244
47,0,1,97.64165952800873
48,0,1,98.92399092970524
49,0,1,100.37287981859413
50,0,1,101.70566893424036
51,0,1,102.9920181405896
52,0,1,104.6266666666667
53,0,1,106.51673469387755
54,0,1,107.91918367346939
55,0,1,109.50739229024947
56,0,1,113.53315192743761
57,0,2,114.55691609977325
58,0,2,115.58167800453516
59,0,2,116.53986394557825
60,0,2,117.42684807256236
61,0,2,118.31537414965986
62,0,2,119.2518820861678
63,0,2,120.2332879818594
64,0,2,121.21469387755101
65,0,2,122.12643990929706
66,0,2,123.12952380952382
67,0,2,124.06448979591838
68,0,2,124.95147392290248
69,0,2,125.85768707482993
70,0,2,126.82140589569163
71,0,2,127.70993197278914
72,0,2,128.64335600907032
73,0,2,129.48544217687075
74,0,2,130.3956462585034
75,0,2,131.30739229024945
76,0,2,132.33369614512475
77,0,2,133.33832199546484
78,0,2,134.2485260770975
79,0,2,135.16027210884357
80,0,2,136.12000000000003
81,0,2,136.98839002267573
82,0,2,137.9001360544218
83,0,2,138.8351020408163
84,0,2,139.74839002267578
85,0,2,140.75301587301584
86,0,2,141.8257596371882
87,0,2,142.8071655328798
88,0,2,143.76843537414967
89,0,2,144.72662131519272
90,0,2,145.66004535147394
91,0,2,146.59501133786853
92,0,2,147.4603174603174
93,0,2,148.6956009070295
94,0,2,149.630566893424
95,0,2,150.61351473922906
96,0,2,151.57170068027207
97,0,2,152.55464852607713
98,0,2,153.53605442176868
99,0,2,154.49269841269842
100,0,2,155.45088435374154
101,0,2,156.4555102040816
102,0,2,157.43691609977327
103,0,2,158.41678004535143
104,0,2,159.3981859410431
105,0,2,160.37804988662137
106,0,2,161.3594557823129
107,0,2,162.40897959183675
108,0,2,163.29750566893426
109,0,2,164.2309297052154
110,0,2,165.11945578231297
111,0,2,166.07764172335598
112,0,2,167.22158730158733
113,0,2,167.9042176870748
114,0,2,168.83918367346942
115,0,2,169.77414965986392
116,0,2,170.73233560090705
117,0,2,171.69360544217685
118,0,2,172.63011337868485
119,0,2,173.58829931972787
120,0,2,174.61768707482997
121,0,2,176.0402721088435
122,0,3,178.88961451247098
123,0,3,181.80653061224493
124,0,3,182.85451247165528
125,0,3,183.9752380952381
126,0,3,185.06965986394562
127,0,3,186.12072562358273
128,0,3,187.45043083900228
129,0,3,189.40861678004532
122,1,3,190.40861678004532
123,1,3,191.90086167800456
124,1,3,193.0185034013606
125,1,3,194.16244897959183
126,1,3,195.3265306122449
127,1,3,196.4936961451247
128,1,3,197.66086167800452
129,1,3,199.47972789115653
130,0,3,200.47972789115641
131,0,3,202.15619047619046
132,0,3,203.5307936507937
133,0,3,204.74285714285716
134,0,3,206.16390022675736
135,0,3,207.47346938775507
136,0,3,209.4564172335601
137,0,3,210.01986394557818
138,0,3,211.18702947845807
139,0,3,212.84181405895688
140,0,3,213.88979591836733
141,0,3,215.3340589569161
142,0,3,216.501224489796
143,0,3,217.80925170068028
144,0,3,219.1404988662131
145,0,3,220.63120181405895
130,1,3,222.11882086167802
131,1,3,223.30766439909303
132,1,3,224.82158730158727
133,1,3,226.05687074829933
134,1,3,227.17605442176875
135,1,3,228.8803628117914
136,1,3,230.2339074166252
137,1,3,231.42675736961453
138,1,3,232.64036281179133
139,1,3,234.27192743764172
140,1,3,235.38956916099775
141,1,3,236.9267120181406
142,1,3,238.04743764172335
143,1,3,241.3291609977324
144,1,3,246.32916099773243
145,1,3,249.32916099773246
