bar,repeat,movement,onset
1,0,1,0.0
2,0,1,0.873250013183568
3,0,1,2.145487528344671
4,0,1,3.3621768707482986
5,0,1,4.462766439909299
6,0,1,5.540136054421771
7,0,1,6.710385487528344
8,0,1,8.157732426303854
9,0,1,9.211882086167797
10,0,1,10.683990929705212
11,0,1,11.457959183673468
12,0,1,12.51210884353741
13,0,1,14.030657596371885
14,0,1,15.176145124716554
15,0,1,16.39283446712019
16,0,1,17.539863945578233
17,0,1,18.617233560090707
18,0,1,19.64816326530613
19,0,1,20.980952380952385
20,0,1,22.058321995464865
21,0,1,23.135691609977332
22,0,1,24.166621315192746
23,0,1,25.19755102040817
1,1,1,25.98857142857144
2,1,1,26.71597433299561
3,1,1,27.80897959183673
4,1,1,29.00244897959185
5,1,1,30.126258503401363
6,1,1,31.2500680272109
7,1,1,32.48997732426305
8,1,1,34.00698412698413
9,1,1,35.062108316194696
10,1,1,36.579682539682544
11,1,1,37.423310657596375
12,1,1,38.57034013605444
13,1,1,40.135328798185945
14,1,1,41.257596371882094
15,1,1,42.72970521541951
16,1,1,43.78385487528345
17,1,1,44.86122448979593
18,1,1,45.98503401360545
19,1,1,47.41070294784582
20,1,1,48.836371882086176
21,1,1,49.82086167800455
22,1,1,50.92145124716554
23,1,1,52.02204081632653
24,0,1,52.85950113378685
25,0,1,54.03515725130632
26,0,1,54.70312925170068
27,0,1,55.896598639455775
28,0,1,56.95074829931974
29,0,1,58.05133786848076
30,0,1,59.193015873015874
31,0,1,60.55283446712017
32,0,1,61.699863945578244
33,0,1,62.939773242630395
34,0,1,64.01714285714284
35,0,1,65.1409523809524
36,0,1,66.31120181405896
37,0,1,67.38857142857142
38,0,1,68.51238095238095
39,0,1,69.56653061224492
40,0,1,70.69034013605443
41,0,1,72.30331065759638
42,0,1,73.54321995464852
43,0,1,74.7134693877551
44,0,1,75.93015873015874
45,0,1,77.1932879818594
46,0,1,78.3867573696145
47,0,1,79.9344540186445
48,0,1,81.09106575963722
49,0,1,82.33097505668937
50,0,1,83.47800453514739
51,0,1,84.62503401360546
52,0,1,85.95782312925174
53,0,1,87.24417233560091
54,0,1,88.32154195011339
55,0,1,89.4221315192744
56,0,1,90.52272108843538
24,1,1,91.29052154195011
25,1,1,92.42105957534528
26,1,1,93.2502494331066
27,1,1,94.42049886621315
28,1,1,95.42820861678004
29,1,1,96.52879818594106
30,1,1,97.6926984126984
31,1,1,99.03029478458048
32,1,1,100.13088435374151
33,1,1,101.30113378684808
34,1,1,102.51782312925168
35,1,1,103.57197278911565
36,1,1,104.71900226757371
37,1,1,105.79637188208616
38,1,1,107.01306122448979
39,1,1,108.09043083900228
40,1,1,109.21424036281176
41,1,1,110.80399092970528
42,1,1,112.02068027210886
43,1,1,113.14448979591835
44,1,1,114.26829931972794
45,1,1,115.41532879818595
46,1,1,116.6784580498866
47,1,1,118.56527891156462
48,1,1,119.40598639455783
49,1,1,120.69233560090706
50,1,1,121.86258503401359
51,1,1,122.9399546485261
52,1,1,124.27274376417236
53,1,1,125.7912925170068
54,1,1,126.89188208616783
55,1,1,128.17823129251704
56,1,1,129.9986394557823
57,0,2,132.14294784580497
58,0,2,134.15963718820862
59,0,2,137.99709750566888
60,0,2,138.95374149659864
61,0,2,139.84226757369618
62,0,2,140.84843537414966
63,0,2,141.7369614512472
64,0,2,142.71836734693875
65,0,2,143.58367346938778
66,0,2,144.70285714285717
67,0,2,145.59138321995465
68,0,2,146.50158730158734
69,0,2,147.3436734693877
70,0,2,148.20897959183677
71,0,2,149.14394557823124
72,0,2,150.0077097505669
73,0,2,150.87301587301593
74,0,2,151.7832199546485
75,0,2,152.7181859410431
76,0,2,153.7444897959184
77,0,2,154.58657596371881
78,0,2,155.4967800453515
79,0,2,156.3620861678004
80,0,2,157.368253968254
81,0,2,158.25986394557822
82,0,2,159.19482993197283
83,0,2,159.99047619047616
84,0,2,160.81088435374153
85,0,2,161.79229024943308
86,0,2,162.93469387755104
87,0,2,163.89287981859408
88,0,2,164.73804988662133
89,0,2,165.62657596371878
90,0,2,166.60643990929705
91,0,2,167.42530612244903
92,0,2,168.3602721088435
93,0,2,169.5026757369615
94,0,2,170.41442176870746
95,0,2,171.2116099773243
96,0,2,172.07691609977329
97,0,2,172.94376417233562
98,0,2,173.87873015873015
99,0,2,174.76571428571427
100,0,2,175.65424036281183
101,0,2,176.54276643990926
102,0,2,177.47773242630387
103,0,2,178.4575963718821
104,0,2,179.3693424036281
105,0,2,180.32598639455784
106,0,2,181.23773242630384
107,0,2,182.28725623582767
108,0,2,183.19900226757372
109,0,2,184.06276643990927
110,0,2,184.90485260770978
111,0,2,185.81659863945575
112,0,2,187.0766439909297
113,0,2,188.014693877551
114,0,2,189.08897959183676
115,0,2,190.00072562358272
116,0,2,191.19111111111113
117,0,2,192.10594104308387
118,0,2,192.9727891156463
119,0,2,193.76843537414962
120,0,2,194.6585034013606
121,0,2,197.0563265306122
122,0,3,198.64208616779985
123,0,3,202.93868480725627
124,0,3,204.82258503401366
125,0,3,207.47582766439908
126,0,3,208.43092970521545
127,0,3,209.6213151927438
128,0,3,210.83492063492062
129,0,3,213.0426798598227
122,1,3,213.18938775510202
123,1,3,214.63519274376418
124,1,3,215.54385487528347
125,1,3,217.0128798185941
126,1,3,217.9447619047619
127,1,3,219.11192743764178
128,1,3,220.32553287981858
129,1,3,221.74965986394562
130,0,3,222.21560090702954
131,0,3,223.72952380952378
132,0,3,225.0112471655329
133,0,3,226.0607709750567
134,0,3,227.20317460317457
135,0,3,228.28054421768712
136,0,3,229.39880333951763
137,0,3,230.54829931972785
138,0,3,231.8083446712018
139,0,3,233.3238095238096
140,0,3,234.23247165532877
141,0,3,235.8160544217687
142,0,3,236.6349206349207
143,0,3,237.89650793650793
144,0,3,239.04199546485262
145,0,3,240.27727891156462
130,1,3,241.13795918367347
131,1,3,242.67510204081637
132,1,3,243.88716553287978
133,1,3,245.0295691609977
134,1,3,246.17197278911567
135,1,3,247.2493424036281
136,1,3,248.36958636328094
137,1,3,249.563537414966
138,1,3,250.96290249433113
139,1,3,252.35306534735105
140,1,3,253.2477097505669
141,1,3,254.80807256235832
142,1,3,255.67337868480723
143,1,3,259.55882086167804
144,1,3,269.3792290249433
145,1,3,272.38857142857137
