bar,repeat,movement,onset
1,0,1,0.0
2,0,1,1.7910204081632652
3,0,1,3.283265306122449
4,0,1,4.941133786848072
5,0,1,6.390022675736963
6,0,1,7.862131519274378
7,0,1,9.961179138321995
8,0,1,12.337324263038548
9,0,1,13.855873015873017
10,0,1,15.745941043083903
11,0,1,17.30938775510204
12,0,1,18.94403628117914
13,0,1,20.926984126984117
14,0,1,22.65297052154195
15,0,1,24.47337868480725
16,0,1,26.084807256235816
17,0,1,27.6962358276644
18,0,1,29.493424036281173
19,0,1,31.290612244897947
20,0,1,33.08780045351474
21,0,1,34.93142857142856
22,0,1,36.566077097505655
23,0,1,38.432925170068025
1,1,1,39.758004535147386
2,1,1,41.758004535147386
3,1,1,43.38956916099773
4,1,1,45.1867573696145
5,1,1,46.70530612244897
6,1,1,48.20063492063491
7,1,1,50.06748299319727
8,1,1,52.30430839002266
9,1,1,53.8692970521542
10,1,1,55.7825850340136
11,1,1,57.32281179138321
12,1,1,58.95746031746031
13,1,1,60.89396825396825
14,1,1,62.71283446712016
15,1,1,64.57968253968255
16,1,1,66.16789115646257
17,1,1,67.68643990929704
18,1,1,69.29786848072563
19,1,1,71.30403628117912
20,1,1,73.05478458049888
21,1,1,74.75909297052154
22,1,1,76.20798185941041
23,1,1,78.09804988662133
24,0,1,79.28380952380952
25,0,1,81.28380952380952
26,0,1,82.63673469387756
27,0,1,84.10884353741497
28,0,1,85.69705215419502
29,0,1,87.37814058956918
30,0,1,89.0360090702948
31,0,1,91.38893424036284
32,0,1,93.04680272108845
33,0,1,94.77433106575967
34,0,1,96.50185941043088
35,0,1,98.2758276643991
36,0,1,99.95691609977327
37,0,1,101.73088435374154
38,0,1,103.38875283446713
39,0,1,105.30204081632655
40,0,1,107.26176870748304
41,0,1,109.52489795918369
42,0,1,111.11310657596376
43,0,1,112.7941950113379
44,0,1,114.4520634920635
45,0,1,116.29569160997735
46,0,1,118.2321995464853
47,0,1,121.20897959183677
48,0,1,123.02630385487531
49,0,1,124.63773242630388
50,0,1,126.08662131519273
51,0,1,127.53551020408166
52,0,1,129.49523809523814
53,0,1,131.38530612244898
54,0,1,133.0199546485261
55,0,1,134.77070294784585
56,0,1,136.63755102040818
24,1,1,137.89297052154194
25,1,1,139.98585034013607
26,1,1,141.36199546485264
27,1,1,142.78766439909302
28,1,1,144.3526530612245
29,1,1,146.01052154195014
30,1,1,147.76126984126986
31,1,1,149.97487528344675
32,1,1,151.60952380952384
33,1,1,153.3138321995465
34,1,1,154.9252607709751
35,1,1,156.65278911564627
36,1,1,158.33387755102044
37,1,1,160.24716553287985
38,1,1,161.95147392290252
39,1,1,163.7718820861678
40,1,1,165.66195011337865
41,1,1,168.4591383219955
42,1,1,170.07056689342406
43,1,1,171.79809523809521
44,1,1,173.47918367346944
45,1,1,175.2995918367347
46,1,1,177.30575963718817
47,1,1,180.0271201814059
48,1,1,181.44970521541958
49,1,1,183.13079365079366
50,1,1,184.60290249433106
51,1,1,186.1214512471656
52,1,1,188.01151927437644
53,1,1,189.85514739229023
54,1,1,191.53623582766446
55,1,1,193.5191836734694
56,1,1,195.73433106575962
57,0,2,199.76743764172306
58,0,2,202.84426303854877
59,0,2,203.8721088435375
60,0,2,204.87519274376416
61,0,2,205.85659863945583
62,0,2,206.88598639455782
63,0,2,207.82095238095243
64,0,2,208.8255782312925
65,0,2,209.87664399092972
66,0,2,210.92616780045358
67,0,2,211.8843537414966
68,0,2,213.02675736961456
69,0,2,213.96172335600912
70,0,2,215.15210884353743
71,0,2,216.11029478458056
72,0,2,217.2294784580499
73,0,2,218.21088435374153
74,0,2,219.23718820861683
75,0,2,220.14893424036282
76,0,2,221.19845804988668
77,0,2,222.1566439909297
78,0,2,223.15972789115648
79,0,2,224.11791383219963
80,0,2,225.2169614512472
81,0,2,226.10857142857142
82,0,2,227.15963718820865
83,0,2,228.14104308390023
84,0,2,229.19365079365082
85,0,2,230.22149659863942
86,0,2,231.66575963718822
87,0,2,232.69360544217693
88,0,2,233.67809523809527
89,0,2,234.6595011337869
90,0,2,235.7554648526077
91,0,2,236.69043083900232
92,0,2,237.67183673469384
93,0,2,239.02321995464854
94,0,2,239.98140589569167
95,0,2,240.9411337868481
96,0,2,241.89931972789122
97,0,2,242.95192743764173
98,0,2,243.91011337868488
99,0,2,245.09895691609975
100,0,2,246.08036281179142
101,0,2,247.3636281179138
102,0,2,248.36825396825398
103,0,2,249.60353741496604
104,0,2,250.5849433106576
105,0,2,251.61124716553292
106,0,2,252.5926530612245
107,0,2,253.68861678004535
108,0,2,254.69324263038553
109,0,2,255.71954648526074
110,0,2,256.67773242630386
111,0,2,257.7520181405896
112,0,2,258.988843537415
113,0,2,259.9268934240363
114,0,2,261.0476190476191
115,0,2,262.00580498866213
116,0,2,263.0349458301839
117,0,2,264.2271201814059
118,0,2,265.16362811791385
119,0,2,266.1218140589569
120,0,2,267.1047619047619
121,0,2,268.5970068027211
122,0,3,271.5701587301569
123,0,3,274.5258049886622
124,0,3,275.57378684807264
125,0,3,276.69451247165534
126,0,3,277.8353741496599
127,0,3,279.09541950113385
128,0,3,280.2625850340136
129,0,3,281.77959183673477
122,1,3,282.7795918367347
123,1,3,284.1092970521542
124,1,3,285.1108390022676
125,1,3,286.2315646258503
126,1,3,287.37242630385487
127,1,3,288.5628117913833
128,1,3,289.75319727891156
129,1,3,291.0380045351474
130,0,3,291.9451247165533
131,0,3,293.41260770975055
132,0,3,294.6014512471656
133,0,3,295.79029478458057
134,0,3,296.8630385487528
135,0,3,297.98684807256234
136,0,3,299.6561954056985
137,0,3,300.1849433106577
138,0,3,301.49142857142857
139,0,3,302.9604535147393
140,0,3,303.8923356009071
141,0,3,305.24371882086166
142,0,3,306.2947845804989
143,0,3,307.5795918367347
144,0,3,308.74829931972795
145,0,3,310.09968253968253
130,1,3,311.09968253968253
131,1,3,312.89224489795924
132,1,3,314.1275283446713
133,1,3,315.4324716553288
134,1,3,316.6213151927438
135,1,3,317.79156462585036
136,1,3,319.3700371057514
137,1,3,320.1754195011338
138,1,3,321.34258503401367
139,1,3,322.8580498866213
140,1,3,323.8363718820862
141,1,3,325.28063492063495
142,1,3,326.238820861678
143,1,3,327.52362811791386
144,1,3,328.80843537414967
145,1,3,330.71709750566885
