bar,repeat,movement,onset
1,0,1,0.4179591836734694
2,0,1,2.625306122448977
3,0,1,4.507573696145126
4,0,1,6.34340136054422
5,0,1,8.521360544217687
6,0,1,10.496507936507944
7,0,1,12.378775510204088
8,0,1,14.121723356009078
9,0,1,16.234648526077095
10,0,1,18.372335600907032
11,0,1,20.41714285714286
12,0,1,22.50839002267574
13,0,1,24.68943310657596
14,0,1,26.641360544217687
15,0,1,28.755827664399092
16,0,1,30.893514739229023
17,0,1,33.283537414965984
18,0,1,35.72308390022673
19,0,1,37.90721088435372
20,0,1,40.068117913832175
21,0,1,43.00635383405063
22,0,1,44.87755102040814
23,0,1,47.128253968253944
24,0,1,49.52136054421767
25,0,1,51.82158730158728
26,0,1,53.98249433106571
27,0,2,58.95537414965984
28,0,2,66.26421768707478
29,0,3,73.37466364323507
30,0,3,75.48090702947842
31,0,3,77.51800453514737
32,0,3,79.46376417233556
33,0,3,81.49931972789112
34,0,3,83.5596371882086
35,0,3,85.55029478458046
36,0,3,87.47283446712018
37,0,3,89.83598813884528
38,0,3,91.5485714285714
39,0,3,93.86122448979597
40,0,3,95.85804988662133
41,0,3,97.94158730158733
42,0,3,100.00190476190481
43,0,3,102.13342403628123
44,0,3,104.11721033128698
45,0,3,106.38721088435379
46,0,3,108.86240362811792
47,0,3,110.99238095238094
48,0,3,113.12235827664401
49,0,3,115.16099773242635
50,0,3,117.19963718820864
51,0,3,119.33424036281181
52,0,3,121.57798011512297
53,0,3,123.52453514739234
54,0,3,125.75356009070299
55,0,3,127.99963718820868
56,0,3,130.03673469387755
57,0,3,132.07537414965986
58,0,4,137.5443990929705
59,0,4,138.63882086167803
60,0,4,140.06448979591835
61,0,4,141.5768707482993
62,0,4,142.95918367346937
63,0,4,144.47773242630393
64,0,4,145.9482993197279
65,0,4,147.5117460317461
66,0,4,148.89405895691615
67,0,4,150.5054875283447
68,0,4,152.0008163265306
69,0,4,153.54258503401365
70,0,4,154.97133786848076
58,1,4,156.39083900226765
59,1,4,156.62612244897963
60,1,4,158.1446712018141
61,1,4,159.6802721088436
62,1,4,161.20190476190484
63,1,4,162.74367346938777
64,1,4,164.28390022675734
65,1,4,165.8937868480726
66,1,4,167.3225396825397
67,1,4,168.88752834467118
68,1,4,170.35963718820867
69,1,4,171.85496598639457
70,1,4,173.28371882086168
71,0,4,174.5639002267574
72,0,4,174.91590208733066
73,0,4,176.43383219954652
74,0,4,178.01587301587304
75,0,4,179.44462585034017
76,0,4,181.05297052154202
77,0,4,182.41206349206354
78,0,4,183.97396825396825
79,0,4,185.46929705215427
80,0,4,187.0134382086168
81,0,4,188.62249433106575
82,0,4,190.23392290249438
83,0,4,191.75247165532883
84,0,4,193.315918367347
85,0,4,194.81433106575972
71,1,4,196.18739229024942
72,1,4,196.44589569161
73,1,4,197.987664399093
74,1,4,199.5697052154195
75,1,4,200.9752380952381
76,1,4,202.60680272108846
77,1,4,204.0355555555556
78,1,4,205.71356009070303
79,1,4,207.23210884353745
80,1,4,208.75065759637187
81,1,4,210.45496598639463
82,1,4,212.11283446712022
83,1,4,213.5849433106576
84,1,4,215.17160997732432
85,1,4,227.69460317460272
