bar,repeat,movement,onset
1,0,1,2.1130158730158732
2,0,1,4.73832199546485
3,0,1,6.876009070294785
4,0,1,8.874376417233556
5,0,1,12.213333333333333
6,0,1,14.72253968253969
7,0,1,16.837006802721096
8,0,1,18.8585941043084
9,0,1,21.737777777777787
10,0,1,24.223764172335596
11,0,1,26.52399092970521
12,0,1,28.870657596371878
13,0,1,31.841179138321994
14,0,1,34.35038548752834
15,0,1,36.92925170068027
16,0,1,39.20625850340136
17,0,1,41.9445804988662
18,0,1,44.546666666666695
19,0,1,46.91655328798186
20,0,1,49.51863945578234
21,0,1,52.687519374049984
22,0,1,54.699591836734726
23,0,1,57.69333333333337
24,0,1,60.10965986394559
25,0,1,62.572426303854904
26,0,1,64.8726530612245
27,0,2,69.68299319727893
28,0,2,76.27201814058958
29,0,3,82.89484504913078
30,0,3,86.25496598639457
31,0,3,88.45460317460322
32,0,3,90.58612244897961
33,0,3,92.71455782312927
34,0,3,95.30893424036285
35,0,3,97.55102040816327
36,0,3,99.75619047619047
37,0,3,102.48988662131521
38,0,3,104.50530612244901
39,0,3,106.95727891156457
40,0,3,109.30240362811793
41,0,3,111.71102040816318
42,0,3,114.23573696145118
43,0,3,116.39047619047616
44,0,3,119.0049886621315
45,0,3,121.52662131519271
46,0,3,123.90893424036278
47,0,3,126.38721088435373
48,0,3,128.58684807256233
49,0,3,130.88090702947838
50,0,3,132.98920634920634
51,0,3,135.47210884353734
52,0,3,137.99836734693872
53,0,3,140.1268027210884
54,0,3,142.52394225983076
55,0,3,145.18240362811787
56,0,3,147.35882086167797
57,0,3,149.4671201814059
58,0,4,153.70548752834466
59,0,4,153.9639909297052
60,0,4,155.11102040816326
61,0,4,156.46086167800453
62,0,4,157.6574149659864
63,0,4,159.19918367346935
64,0,4,160.55365079365075
65,0,4,161.88489795918363
66,0,4,163.05823129251695
67,0,4,164.3445804988662
68,0,4,165.5380498866213
69,0,4,166.80117913832194
70,0,4,168.06739229024936
58,1,4,169.57977324263035
59,1,4,169.81505668934238
60,1,4,171.10140589569156
61,1,4,172.42802721088432
62,1,4,173.69424036281174
63,1,4,175.1431292517006
64,1,4,176.49759637188205
65,1,4,177.85206349206342
66,1,4,179.0718367346938
67,1,4,180.38140589569159
68,1,4,181.66775510204076
69,1,4,182.93088435374142
70,1,4,184.2667573696145
71,0,4,185.59337868480716
72,0,4,186.01442176870742
73,0,4,187.20789115646252
74,0,4,188.62739229024936
75,0,4,189.87038548752827
76,0,4,191.50195011337865
77,0,4,192.74494331065753
78,0,4,194.28362811791382
79,0,4,195.54675736961445
80,0,4,196.94920634920626
81,0,4,198.30521541950114
82,0,4,199.66122448979587
83,0,4,200.9243537414965
84,0,4,202.23238095238094
85,0,4,203.5450340136054
71,1,4,204.9877551020408
72,1,4,205.47845804988663
73,1,4,206.6951473922902
74,1,4,208.2075283446712
75,1,4,209.38086167800452
76,1,4,211.08208616780038
77,1,4,212.32507936507926
78,1,4,213.9798639455782
79,1,4,215.28943310657587
80,1,4,216.66866213151926
81,1,4,218.04789115646253
82,1,4,219.45034013605434
83,1,4,220.73668934240362
84,1,4,222.09115646258496
85,1,4,226.93324263038565
