bar,repeat,movement,onset
1,0,1,6.431927437641724
2,0,1,8.732154195011338
3,0,1,10.684081632653063
4,0,1,12.72888888888889
5,0,1,15.139047619047625
6,0,1,17.43927437641724
7,0,1,19.460861678004544
8,0,1,21.45922902494332
9,0,1,23.82757369614512
10,0,1,26.034920634920628
11,0,1,28.288707482993193
12,0,1,30.491927437641724
13,0,1,32.909297052154194
14,0,1,35.20952380952381
15,0,1,37.46331065759637
16,0,1,39.740317460317456
17,0,1,42.24643990929704
18,0,1,44.73242630385491
19,0,1,47.12553287981859
20,0,1,49.49541950113382
21,0,1,52.24856913809295
22,0,1,54.35129251700683
23,0,1,56.97351473922906
24,0,1,59.4130612244898
25,0,1,61.98365961199295
26,0,1,64.17605442176871
27,0,2,67.51192743764175
28,0,2,72.53360544217688
29,0,3,74.88396069538928
30,0,3,77.05986394557824
31,0,3,79.12018140589574
32,0,3,81.06594104308391
33,0,3,83.10149659863949
34,0,3,85.3011337868481
35,0,3,87.38467120181407
36,0,3,89.70195011337869
37,0,3,91.76226757369616
38,0,3,93.77768707482987
39,0,3,95.9510204081632
40,0,3,97.99428571428572
41,0,3,100.17070294784573
42,0,3,102.27746031746025
43,0,3,104.3160997732426
44,0,3,106.36961863533291
45,0,3,108.80208616780043
46,0,3,110.7432199546485
47,0,3,112.87319727891156
48,0,3,114.95673469387754
49,0,3,116.9024943310657
50,0,3,118.9875736961451
51,0,3,121.07573696145117
52,0,3,123.181319844177
53,0,3,125.40535147392288
54,0,3,127.63437641723348
55,0,3,129.77601145721445
56,0,3,131.93827664399092
57,0,3,134.0490702947846
58,0,4,137.91591836734693
59,0,4,138.2905215419501
60,0,4,139.71619047619046
61,0,4,141.11247165532882
62,0,4,142.5412244897959
63,0,4,144.0133333333333
64,0,4,145.36780045351475
65,0,4,146.79192743764168
66,0,4,148.17424036281173
67,0,4,149.53024943310658
68,0,4,150.95591836734692
69,0,4,152.2654875283446
70,0,4,153.71746031746025
58,1,4,155.02086167800448
59,1,4,155.3954648526077
60,1,4,156.7979138321995
61,1,4,158.28707482993192
62,1,4,159.62294784580496
63,1,4,161.04861678004525
64,1,4,162.3798639455782
65,1,4,163.8504308390022
66,1,4,165.25596371882077
67,1,4,166.5887528344671
68,1,4,168.084081632653
69,1,4,169.4633106575963
70,1,4,170.86884353741496
71,0,4,172.13095731046042
72,0,4,172.26820861678
73,0,4,173.64743764172337
74,0,4,175.18303854875276
75,0,4,176.54213151927428
76,0,4,178.08081632653057
77,0,4,179.37024943310652
78,0,4,180.86249433106576
79,0,4,182.21850340136052
80,0,4,183.66739229024935
81,0,4,184.97696145124718
82,0,4,186.5187301587301
83,0,4,187.8747392290249
84,0,4,189.41496598639455
85,0,4,190.77405895691606
71,1,4,192.05424036281178
72,1,4,192.3591836734694
73,1,4,193.71519274376413
74,1,4,195.22757369614513
75,1,4,196.58666666666664
76,1,4,198.05569160997723
77,1,4,199.46122448979582
78,1,4,200.9726984126984
79,1,4,202.33269841269833
80,1,4,203.85124716553287
81,1,4,205.32335600907024
82,1,4,206.7025850340135
83,1,4,208.12825396825397
84,1,4,209.6452607709751
85,1,4,217.97859410430397
