bar,repeat,movement,onset
1,0,1,6.431927437641724
2,0,1,8.685714285714287
3,0,1,10.63764172335601
4,0,1,12.659229024943311
5,0,1,15.278367346938783
6,0,1,17.416054421768717
7,0,1,19.41442176870749
8,0,1,21.41278911564627
9,0,1,23.82757369614512
10,0,1,26.034920634920628
11,0,1,28.288707482993193
12,0,1,30.472834467120176
13,0,1,32.909297052154194
14,0,1,35.18630385487528
15,0,1,37.46331065759637
16,0,1,39.78675736961451
17,0,1,42.24643990929704
18,0,1,44.68598639455785
19,0,1,47.05587301587302
20,0,1,49.42575963718825
21,0,1,52.271554547745026
22,0,1,54.35129251700683
23,0,1,56.92707482993201
24,0,1,59.4130612244898
25,0,1,61.8668934240363
26,0,1,64.19927437641724
27,0,2,67.9298866213152
28,0,2,72.44072562358278
29,0,3,74.98458049886622
30,0,3,77.05986394557824
31,0,3,79.09696145124721
32,0,3,81.08916099773245
33,0,3,83.72843537414968
34,0,3,85.3011337868481
35,0,3,87.36145124716555
36,0,3,89.67873015873016
37,0,3,91.95846243873893
38,0,3,93.75446712018135
39,0,3,95.8581405895691
40,0,3,97.92462585034015
41,0,3,100.1012198383627
42,0,3,102.25424036281173
43,0,3,104.29287981859407
44,0,3,106.3733333333333
45,0,3,108.80208616780043
46,0,3,110.81287981859408
47,0,3,112.91963718820861
48,0,3,114.93351473922901
49,0,3,116.97215419501127
50,0,3,118.9875736961451
51,0,3,121.0989569160997
52,0,3,123.22584026203074
53,0,3,125.42857142857139
54,0,3,127.63437641723348
55,0,3,129.76435374149656
56,0,3,131.94077097505667
57,0,3,134.02585034013606
58,0,4,137.17287981859408
59,0,4,138.26730158730157
60,0,4,139.73941043083897
61,0,4,141.22857142857143
62,0,4,142.56444444444443
63,0,4,144.0133333333333
64,0,4,145.39102040816329
65,0,4,146.79192743764168
66,0,4,148.19746031746027
67,0,4,149.59990929705214
68,0,4,150.97913832199546
69,0,4,152.3583673469387
70,0,4,153.74068027210876
58,1,4,155.13696145124712
59,1,4,155.3954648526077
60,1,4,156.821133786848
61,1,4,158.31029478458046
62,1,4,159.62294784580496
63,1,4,161.04861678004525
64,1,4,162.42630385487527
65,1,4,163.8504308390022
66,1,4,165.2791836734693
67,1,4,166.70485260770974
68,1,4,168.10730158730152
69,1,4,169.5329705215419
70,1,4,170.8920634920635
71,0,4,171.31321108153406
72,0,4,172.26820861678
73,0,4,173.71709750566896
74,0,4,175.18303854875276
75,0,4,176.56535147392282
76,0,4,178.05759637188206
77,0,4,179.39346938775506
78,0,4,180.88571428571427
79,0,4,182.21850340136052
80,0,4,183.6441723356008
81,0,4,184.7447619047619
82,0,4,186.56517006802716
83,0,4,187.96761904761897
84,0,4,189.391746031746
85,0,4,190.77405895691606
71,1,4,192.05424036281178
72,1,4,192.3359637188209
73,1,4,193.80807256235823
74,1,4,195.25079365079364
75,1,4,196.60988662131518
76,1,4,198.03247165532872
77,1,4,199.43800453514731
78,1,4,200.9766893424036
79,1,4,202.3094784580498
80,1,4,203.85124716553287
81,1,4,204.97505668934235
82,1,4,206.7722448979591
83,1,4,208.17469387755102
84,1,4,209.66848072562362
85,1,4,219.03845804988654
