bar,repeat,movement,onset
1,0,1,0.5572789115646258
2,0,1,3.6996825396825397
3,0,1,6.2352834467120175
4,0,1,9.586666666666666
5,0,2,13.095963718820862
6,0,2,14.571156462585034
7,0,2,15.883809523809523
8,0,2,17.194920634920635
9,0,2,18.574149659863945
10,0,2,19.838820861678006
11,0,2,21.287709750566897
12,0,2,22.597278911564622
13,0,2,23.88517006802721
14,0,2,25.287619047619042
15,0,2,26.62040816326531
16,0,2,27.977959183673466
17,0,2,29.24571428571429
18,0,2,30.513469387755098
19,0,2,32.146575963718824
20,0,2,33.50566893424036
21,0,2,34.88798185941043
22,0,2,36.09070294784581
23,0,2,37.177324263038535
24,0,2,38.60299319727891
25,0,3,41.65097505668933
26,0,3,44.70049886621315
27,0,3,46.72526077097505
28,0,3,49.983764172335604
29,0,4,53.44662131519275
30,0,4,54.89859410430839
31,0,4,56.234467120181414
32,0,4,57.61523809523809
33,0,4,58.99446712018141
34,0,4,60.26222222222222
35,0,4,61.66467120181405
36,0,4,62.978866213151925
37,0,4,64.45097505668934
38,0,4,65.87664399092971
39,0,4,67.18621315192743
40,0,4,68.6118820861678
41,0,4,69.89977324263039
42,0,4,71.11800453514736
43,0,4,72.42911564625851
44,0,4,73.8532426303855
45,0,4,75.18603174603172
46,0,4,76.49560090702947
47,0,4,77.82839002267575
48,0,4,79.11473922902493
49,0,4,80.49396825396823
50,0,4,81.80353741496599
51,0,4,83.06820861678003
52,0,4,84.63165532879817
53,0,4,86.17342403628119
54,0,4,87.60371882086167
55,0,4,89.01079365079366
56,0,5,92.01387755102041
57,0,5,96.72435374149659
58,0,5,100.89922902494331
59,0,5,105.28462585034016
60,0,5,109.07092970521542
61,0,5,113.50739229024946
62,0,6,118.75192743764174
63,0,6,120.1342403628118
64,0,6,121.51655328798185
65,0,6,122.69605442176874
66,0,6,123.85233560090703
67,0,6,125.32444444444447
68,0,6,126.7748752834467
69,0,6,128.43274376417236
70,0,7,132.9203628117914
71,0,7,133.17732426303857
72,0,7,134.09061224489798
73,0,7,134.9094784580499
74,0,7,135.72834467120188
75,0,7,136.59673469387758
76,0,7,137.44036281179146
77,0,7,138.28244897959186
78,0,7,139.0084353741497
70,1,7,139.9186394557824
71,1,7,140.1756009070295
72,1,7,140.99600907029486
73,1,7,141.86131519274383
74,1,7,142.54086167800457
75,1,7,143.5021315192744
76,1,7,144.36897959183682
77,1,7,145.16462585034014
78,1,7,145.9602721088436
79,0,7,146.84725623582776
80,0,7,147.07482360386015
81,0,7,147.88126984126993
82,0,7,148.77287981859416
83,0,7,149.5468480725624
84,0,7,150.38893424036286
85,0,7,151.2805442176871
86,0,7,152.05605442176878
87,0,7,152.83002267573698
79,1,7,153.78550316678397
80,1,7,153.94784148580067
81,1,7,154.7510204081633
82,1,7,155.54975056689344
83,1,7,156.3701587301588
84,1,7,157.18244897959187
85,1,7,158.1975315840622
86,1,7,158.7632653061225
87,1,7,159.65333333333342
88,0,7,161.12081632653064
89,0,7,161.8204988662132
90,0,7,163.1734240362813
91,0,7,163.68734693877553
92,0,7,164.6062315376601
93,0,7,165.89006802721096
94,0,7,166.9875736961452
95,0,7,168.01233560090705
96,0,7,168.99990929705217
97,0,7,170.4936961451248
98,0,7,171.10648151492654
99,0,7,172.35417450458445
100,0,7,173.36353741496603
101,0,7,174.9300680272109
102,0,7,176.05113365106521
103,0,7,177.1369698355533
104,0,7,177.98566893424044
105,0,7,179.22712018140595
106,0,7,180.19147392290253
107,0,7,181.12501848227876
108,0,7,182.27655328798193
88,1,7,183.27655328798195
89,1,7,183.97623582766454
90,1,7,185.14340136054426
91,1,7,185.86630385487535
92,1,7,186.80743764172342
93,1,7,188.20834467120187
94,1,7,189.654149659864
95,1,7,190.44671201814066
96,1,7,191.48072562358283
97,1,7,192.85841269841268
98,1,7,194.08953543810685
99,1,7,194.94702299967605
100,1,7,195.82113378684815
101,1,7,197.2715646258504
102,1,7,198.2495895557434
103,1,7,199.2650113378685
104,1,7,200.14140589569163
105,1,7,201.15065759637196
106,1,7,201.97569160997742
107,1,7,202.90659637188207
108,1,7,204.0375510204082
109,0,7,205.0375510204082
110,0,7,205.4121541950114
111,0,7,206.64897959183682
112,0,7,207.41986394557824
113,0,7,208.38421768707488
114,0,7,209.7634467120182
115,0,7,210.97705215419504
116,0,7,211.74793650793657
117,0,7,212.73551020408166
118,0,7,214.27727891156465
119,0,7,215.39800453514744
120,0,7,216.43318272164834
121,0,7,217.50630385487537
122,0,7,218.517097505669
123,0,7,219.5449433106576
124,0,7,220.69360544217687
125,0,7,221.5649886621316
126,0,7,222.80335600907034
127,0,7,223.74448979591838
128,0,7,224.57139068285542
129,0,7,225.78312925170073
109,1,7,226.78312925170073
110,1,7,227.41315192743772
111,1,7,228.7660770975057
112,1,7,229.39764172335603
113,1,7,230.24589569161003
114,1,7,231.53224489795932
115,1,7,232.69941043083907
116,1,7,233.48507936507943
117,1,7,234.36498866213148
118,1,7,236.0460770975057
119,1,7,237.3061224489797
120,1,7,238.36335600907026
121,1,7,239.46086167800453
122,1,7,240.67496493170913
123,1,7,241.56916099773258
124,1,7,242.717732426304
125,1,7,243.70530612244897
126,1,7,244.99011337868475
127,1,7,245.86158730158738
128,1,7,246.6316953794505
129,1,7,248.29496598639454
70,2,7,249.29496598639463
71,2,7,250.29496598639457
72,2,7,251.1850340136054
73,2,7,251.84357281123832
74,2,7,252.6834467120182
75,2,7,253.55183673469404
76,2,7,254.39546485260777
77,2,7,255.1446712018142
78,2,7,255.82421768707488
70,3,7,256.6415419501135
71,3,7,256.875283446712
72,3,7,257.6492517006802
73,3,7,258.4216780045351
74,3,7,259.0547845804989
75,3,7,260.01605442176884
76,3,7,260.8364625850341
77,3,7,261.58566893424046
78,3,7,262.26521541950126
79,2,7,263.0360997732427
80,2,7,263.2209481622106
81,2,7,264.0468934240362
82,2,7,264.82240362811797
83,2,7,265.5499319727891
84,2,7,266.34557823129256
85,2,7,267.1675283446713
86,2,7,267.91981859410424
87,2,7,268.71700680272124
79,3,7,269.9522902494332
80,3,7,270.1411337868482
81,3,7,271.0559637188211
82,3,7,271.71537414965985
83,3,7,272.58222222222224
84,3,7,273.40108843537416
85,3,7,274.26947845804995
86,3,7,274.9985487528346
87,3,7,276.4691156462586
