bar,repeat,movement,onset
1,0,1,11.786281179
2,0,1,15.147437642
3,0,1,19.169024943
4,0,1,22.530566893
5,0,1,26.331201814
6,0,1,29.555873016
7,0,1,33.38861678
8,0,1,37.003333333
9,0,1,40.475011338
10,0,1,44.101496599
11,0,1,47.986575964
12,0,2,53.000294785
13,0,2,54.537936508
14,0,2,56.026213152
15,0,2,57.621315193
16,0,2,59.240657596
17,0,2,60.661473923
18,0,2,62.344172336
19,0,2,63.878594104
20,0,2,65.34877551
21,0,2,66.871451247
22,0,2,68.413945578
23,0,2,69.884920635
24,0,2,71.439750567
25,0,2,72.862471655
26,0,2,74.387868481
27,0,2,76.110589569
28,0,2,77.628095238
29,0,2,79.255283447
30,0,2,80.713333333
31,0,2,82.165487528
32,0,2,83.73893424
33,0,2,85.285034014
34,0,2,87.133560091
35,0,2,88.609410431
36,0,2,90.185827664
37,0,2,91.72478458
38,0,2,93.58585034
39,0,2,95.183696145
40,0,2,96.810907029
41,0,2,98.333446712
42,0,2,99.937800454
43,0,2,101.587188209
44,0,2,103.230113379
45,0,2,104.731587302
46,0,2,106.389546485
47,0,2,107.9030839
48,0,2,109.458185941
49,0,2,111.090907029
50,0,2,112.693628118
51,0,2,114.190725624
52,0,2,115.701768707
53,0,2,117.266303855
54,0,2,118.960770975
55,0,2,120.57585034
56,0,2,122.312834467
57,0,2,123.733628118
58,0,2,125.270022676
59,0,2,127.057981859
60,0,3,130.280090703
61,0,3,137.253038549
62,0,3,144.591020408
63,0,3,151.585600907
64,0,3,158.870748299
65,0,3,166.508412698
66,0,3,174.11170068
67,0,3,181.911201814
68,0,3,189.483492063
69,0,4,197.883310658
70,0,4,198.149546485
71,0,4,199.257301587
72,0,4,200.360249433
73,0,4,201.494353741
74,0,4,202.655759637
75,0,4,203.748095238
76,0,4,204.870952381
77,0,4,205.940272109
78,0,4,207.183945578
79,0,4,208.238049887
80,0,4,209.339002268
81,0,4,210.382721088
82,0,4,211.46138322
83,0,4,212.509251701
84,0,4,213.643333333
85,0,4,214.687006803
86,0,4,215.792471655
87,0,4,216.858027211
69,1,4,217.768412698
70,1,4,218.090226757
71,1,4,219.143786848
72,1,4,220.245283447
73,1,4,221.3161678
74,1,4,222.413151927
75,1,4,223.492970522
76,1,4,224.684693878
77,1,4,225.748843537
78,1,4,226.972970522
79,1,4,228.02462585
80,1,4,229.074104308
81,1,4,230.160793651
82,1,4,231.24707483
83,1,4,232.292040816
84,1,4,233.411337868
85,1,4,234.527800454
86,1,4,235.661405896
87,1,4,236.818004535
88,0,4,237.678480726
89,0,4,238.009024943
90,0,4,239.068117914
91,0,4,240.239931973
92,0,4,241.387868481
93,0,4,242.562675737
94,0,4,243.632403628
95,0,4,244.789659864
96,0,4,245.958412698
97,0,4,247.068072562
98,0,4,248.226145125
99,0,4,249.46106576
100,0,4,250.589092971
101,0,4,251.719705215
102,0,4,252.800498866
103,0,4,253.996190476
104,0,4,255.246666667
105,0,4,256.357029478
106,0,4,257.455986395
107,0,4,258.507619048
108,0,4,259.630997732
109,0,4,260.764036281
110,0,4,261.887006803
88,1,4,262.819727891
89,1,4,263.144648526
90,1,4,264.328390023
91,1,4,265.602131519
92,1,4,266.752471655
93,1,4,267.898662132
94,1,4,269.058231293
95,1,4,270.177777778
96,1,4,271.336031746
97,1,4,272.423537415
98,1,4,273.542630385
99,1,4,274.930226757
100,1,4,276.1
101,1,4,277.237528345
102,1,4,278.34707483
103,1,4,279.542721088
104,1,4,280.851360544
105,1,4,281.971836735
106,1,4,283.020566893
107,1,4,284.181723356
108,1,4,285.362267574
109,1,4,286.515782313
110,1,4,287.860249433
