bar,repeat,movement,onset
1,0,1,0.559625
2,0,1,5.586354167
3,0,2,11.400583333
4,0,2,14.595354167
5,0,2,17.661020833
6,0,2,21.0074375
7,0,2,23.942708333
8,0,2,27.024
9,0,2,30.169666667
10,0,2,33.1038125
11,0,2,36.2615625
12,0,2,39.407166667
13,0,2,42.577145833
14,0,2,45.808645833
15,0,2,48.973479167
16,0,2,52.183333333
17,0,2,55.307354167
18,0,3,60.3755625
19,0,3,65.4878125
20,0,3,71.4255
21,0,3,76.235166667
22,0,4,81.558041667
23,0,4,84.5144375
24,0,4,87.449125
25,0,4,90.3948125
26,0,4,93.262875
27,0,4,96.375395833
28,0,4,98.879625
29,0,4,101.763666667
30,0,4,104.790583333
31,0,4,107.731479167
32,0,4,110.555583333
33,0,5,115.390979167
34,0,5,115.654645833
35,0,5,116.7296875
36,0,5,117.69625
37,0,5,118.679354167
38,0,5,119.743208333
39,0,5,120.855604167
40,0,5,121.8108125
41,0,5,122.9448125
42,0,5,123.9500625
43,0,5,124.96175
44,0,5,125.975291667
45,0,5,127.009229167
46,0,5,127.9953125
47,0,5,129.004833333
48,0,5,130.002916667
49,0,5,131.0535
50,0,5,132.061875
51,0,5,133.013291667
52,0,5,133.9338125
53,0,5,134.886458333
54,0,5,135.88875
55,0,5,136.936041667
33,1,5,137.86675
34,1,5,138.184770833
35,1,5,139.082291667
36,1,5,140.157270833
37,1,5,141.142083333
38,1,5,142.170020833
39,1,5,143.210479167
40,1,5,144.132291667
41,1,5,145.204041667
42,1,5,146.170583333
43,1,5,147.220395833
44,1,5,148.2045
45,1,5,149.244875
46,1,5,150.214375
47,1,5,151.1531875
48,1,5,152.146791667
49,1,5,153.156125
50,1,5,154.09425
51,1,5,155.013916667
52,1,5,155.991916667
53,1,5,156.9718125
54,1,5,157.92175
55,1,5,158.8941875
56,0,5,160.120770833
57,0,5,160.3016875
58,0,5,161.279708333
59,0,5,162.2161875
60,0,5,163.157729167
61,0,5,164.239854167
62,0,5,165.281145833
63,0,5,166.291583333
64,0,5,167.318958333
65,0,5,168.3505625
66,0,5,169.2496875
67,0,5,170.337270833
68,0,5,171.341583333
69,0,5,172.340645833
70,0,5,173.316958333
71,0,5,174.338020833
72,0,5,175.176104167
73,0,5,176.312854167
74,0,5,177.3335
75,0,5,178.387208333
56,1,5,179.250395833
57,1,5,179.426145833
58,1,5,180.39275
59,1,5,181.418729167
60,1,5,182.38625
61,1,5,183.400583333
62,1,5,184.4333125
63,1,5,185.443520833
64,1,5,186.4538125
65,1,5,187.489916667
66,1,5,188.418958333
67,1,5,189.448604167
68,1,5,190.487291667
69,1,5,191.435541667
70,1,5,192.2593125
71,1,5,193.192208333
72,1,5,194.114666667
73,1,5,195.133083333
74,1,5,196.105979167
75,1,5,197.206375
