bar,repeat,movement,onset
1,0,1,0.298666667
2,0,1,1.628104167
3,0,1,4.880270833
4,0,1,8.252125
5,0,1,11.681625
6,0,1,15.869291667
7,0,1,18.8705
8,0,1,22.246166667
9,0,1,25.371208333
10,0,1,28.148645833
11,0,1,31.331958333
12,0,1,34.368
13,0,1,38.047458333
14,0,1,40.874729167
15,0,1,45.696
1,1,1,48.106666667
2,1,1,49.621333333
3,1,1,52.819020833
4,1,1,55.798833333
5,1,1,59.190625
6,1,1,63.1846875
7,1,1,66.615520833
8,1,1,69.85575
9,1,1,72.908145833
10,1,1,75.825604167
11,1,1,78.784375
12,1,1,82.1914375
13,1,1,85.874270833
14,1,1,88.9641875
15,1,1,93.668145833
16,0,1,97.066666667
17,0,1,98.4039375
18,0,1,101.6505
19,0,1,104.827833333
20,0,1,108.159583333
21,0,1,111.877291667
22,0,1,115.054333333
23,0,1,118.235145833
24,0,1,121.0225625
25,0,1,124.7040625
26,0,1,128.170979167
27,0,1,131.3179375
28,0,1,134.7299375
29,0,1,138.6624375
30,0,1,142.530791667
31,0,1,146.126645833
32,0,1,150.492395833
33,0,2,156.16
34,0,2,158.000270833
35,0,2,160.140041667
36,0,2,162.1281875
37,0,2,164.157
38,0,2,166.139854167
39,0,2,168.173354167
40,0,2,170.271895833
41,0,2,172.50975
42,0,2,174.511875
43,0,2,176.673708333
44,0,2,179.017958333
45,0,2,181.107520833
46,0,2,183.1605625
47,0,2,185.1943125
48,0,2,187.399645833
49,0,2,189.562520833
50,0,2,191.6495
51,0,2,193.993583333
52,0,2,196.085291667
53,0,2,198.251375
54,0,2,200.7136875
55,0,2,202.46125
56,0,2,204.728145833
57,0,2,206.834916667
58,0,2,208.888625
59,0,2,210.968770833
60,0,2,213.056
61,0,2,215.0171875
62,0,2,217.229270833
63,0,2,219.248333333
64,0,2,221.325645833
65,0,3,226.666666667
66,0,3,227.9440625
67,0,3,229.432208333
68,0,3,230.410020833
69,0,3,231.844166667
70,0,3,233.109520833
71,0,3,234.879291667
72,0,3,236.059916667
73,0,3,237.363708333
74,0,3,238.578916667
75,0,3,239.915125
76,0,3,241.287083333
77,0,3,242.920333333
78,0,3,244.159645833
79,0,3,245.4794375
80,0,3,246.818354167
81,0,3,248.093083333
82,0,3,249.4001875
83,0,3,251.123770833
84,0,3,252.497375
85,0,3,253.93375
86,0,3,255.191041667
87,0,3,256.462
88,0,3,257.840666667
89,0,3,259.278895833
90,0,3,260.659041667
91,0,3,261.9430625
92,0,3,263.290604167
93,0,3,264.560041667
94,0,3,265.949416667
95,0,3,267.627354167
96,0,3,268.8826875
97,0,3,270.253291667
98,0,3,271.4785
99,0,3,273.117416667
100,0,3,274.269333333
65,1,3,276.252229167
66,1,3,277.476729167
67,1,3,278.7583125
68,1,3,280.233458333
69,1,3,281.543208333
70,1,3,282.868729167
