bar,repeat,movement,onset
1,0,1,0.6570625
2,0,1,2.514125
3,0,1,5.665708333
4,0,1,8.838958333
5,0,1,12.0350625
6,0,1,15.986208333
7,0,1,19.476666667
8,0,1,22.704083333
9,0,1,26.111520833
10,0,1,29.457291667
11,0,1,32.660125
12,0,1,36.175541667
13,0,1,39.424
14,0,1,43.13825
15,0,1,46.8636875
1,1,1,48.748666667
2,1,1,50.641270833
3,1,1,54.028708333
4,1,1,57.826479167
5,1,1,61.121520833
6,1,1,65.152
7,1,1,68.525708333
8,1,1,71.960208333
9,1,1,75.268583333
10,1,1,78.716583333
11,1,1,81.985979167
12,1,1,85.493875
13,1,1,88.647791667
14,1,1,92.122708333
15,1,1,95.9578125
16,0,1,99.031791667
17,0,1,100.553208333
18,0,1,104.068625
19,0,1,107.778854167
20,0,1,111.076291667
21,0,1,115.0081875
22,0,1,118.423020833
23,0,1,121.929166667
24,0,1,124.723520833
25,0,1,128.689145833
26,0,1,132.020770833
27,0,1,135.630375
28,0,1,139.114333333
29,0,1,142.677333333
30,0,1,146.046916667
31,0,1,149.635125
32,0,1,153.8555625
16,1,1,155.790208333
17,1,1,157.419604167
18,1,1,161.193958333
19,1,1,164.699708333
20,1,1,167.834666667
21,1,1,171.604354167
22,1,1,175.185041667
23,1,1,178.771645833
24,1,1,181.725479167
25,1,1,185.465104167
26,1,1,188.906666667
27,1,1,192.553770833
28,1,1,196.167854167
29,1,1,199.973145833
30,1,1,203.676708333
31,1,1,207.412916667
32,1,1,212.0366875
33,0,2,221.397333333
34,0,2,223.534416667
35,0,2,225.543020833
36,0,2,227.678541667
37,0,2,229.5899375
38,0,2,231.61325
39,0,2,233.646645833
40,0,2,235.601125
41,0,2,237.808541667
42,0,2,239.659333333
43,0,2,241.665020833
44,0,2,244.104791667
45,0,2,246.099375
46,0,2,248.114583333
47,0,2,250.1016875
48,0,2,252.389791667
49,0,2,254.776
50,0,2,256.675375
51,0,2,258.796541667
52,0,2,261.212916667
53,0,2,263.6124375
54,0,2,265.756083333
55,0,2,268.010125
56,0,2,270.006916667
57,0,2,272.053979167
58,0,2,274.721020833
59,0,2,276.912645833
60,0,2,279.022270833
61,0,2,281.171770833
62,0,2,282.771520833
63,0,2,284.571458333
64,0,2,286.5428125
65,0,3,294.8515625
66,0,3,295.736
67,0,3,296.57875
68,0,3,297.448875
69,0,3,298.259125
70,0,3,299.093395833
71,0,3,300.279416667
72,0,3,301.038791667
73,0,3,301.946458333
74,0,3,302.777354167
75,0,3,303.686666667
76,0,3,304.574479167
77,0,3,305.789416667
78,0,3,306.682270833
79,0,3,307.5494375
80,0,3,308.4948125
81,0,3,309.291333333
82,0,3,310.260458333
83,0,3,311.325375
84,0,3,312.198229167
85,0,3,313.049979167
86,0,3,313.942604167
87,0,3,314.7888125
88,0,3,315.675770833
89,0,3,316.89325
90,0,3,317.802791667
91,0,3,318.739604167
92,0,3,319.634229167
93,0,3,320.466916667
94,0,3,321.354229167
95,0,3,322.604020833
96,0,3,323.379229167
97,0,3,324.301333333
98,0,3,325.178770833
99,0,3,326.100520833
100,0,3,326.998083333
65,1,3,328.932083333
66,1,3,329.751916667
67,1,3,330.639979167
68,1,3,331.44775
69,1,3,332.232041667
70,1,3,333.0935625
