bar,repeat,movement,onset
1,0,1,1.321354167
2,0,1,5.420083333
3,0,1,9.201875
4,0,1,13.545375
5,0,1,17.292479167
6,0,1,21.648729167
7,0,1,25.3844375
8,0,1,29.575125
9,0,1,33.289604167
10,0,1,37.7951875
11,0,1,41.777479167
12,0,1,45.7783125
13,0,1,50.4305
1,1,1,54.840479167
2,1,1,58.9921875
3,1,1,62.919854167
4,1,1,67.60975
5,1,1,71.285854167
6,1,1,75.654
7,1,1,79.8193125
8,1,1,83.600208333
9,1,1,87.48075
10,1,1,91.195770833
11,1,1,94.969541667
12,1,1,99.214479167
13,1,1,103.511104167
14,0,1,108.013520833
15,0,1,112.110625
16,0,1,116.647041667
17,0,1,120.802020833
18,0,1,125.056833333
19,0,1,129.258666667
20,0,1,133.760833333
21,0,1,138.3205625
22,0,1,143.275833333
23,0,1,147.4386875
24,0,1,152.040895833
25,0,1,156.317854167
26,0,1,160.41525
27,0,1,164.8904375
28,0,1,168.937541667
29,0,1,173.688291667
14,1,1,178.176145833
15,1,1,182.242145833
16,1,1,186.961229167
17,1,1,191.058354167
18,1,1,195.207104167
19,1,1,199.585520833
20,1,1,203.731729167
21,1,1,208.307270833
22,1,1,213.196958333
23,1,1,217.201166667
24,1,1,221.7101875
25,1,1,225.6785
26,1,1,229.417791667
27,1,1,233.703875
28,1,1,237.888875
29,1,1,243.549104167
30,0,2,252.551979167
31,0,2,253.774229167
32,0,2,254.780291667
33,0,2,255.913479167
34,0,2,257.160166667
35,0,2,257.976895833
36,0,2,258.988958333
37,0,2,260.35375
38,0,2,261.332666667
39,0,2,262.517145833
40,0,2,264.283291667
41,0,2,265.587541667
42,0,2,266.7925625
43,0,2,268.255708333
44,0,2,269.641604167
45,0,2,270.864375
46,0,2,271.973395833
47,0,2,273.016625
48,0,2,274.001354167
49,0,2,275.230583333
50,0,2,276.176729167
51,0,2,277.3235
52,0,2,278.889166667
53,0,2,279.878979167
54,0,2,281.145375
55,0,2,282.239895833
56,0,2,283.373333333
57,0,2,284.3823125
58,0,2,285.5275625
59,0,2,286.595166667
60,0,2,287.891375
61,0,2,288.9180625
62,0,2,289.987729167
63,0,2,291.094625
64,0,2,292.161333333
65,0,2,293.548708333
66,0,2,294.474458333
67,0,2,295.581958333
68,0,2,296.930666667
69,0,2,297.957083333
70,0,2,299.505041667
71,0,2,300.778395833
72,0,2,301.666083333
73,0,2,302.7531875
74,0,2,303.9256875
75,0,2,305.090541667
76,0,2,306.141854167
77,0,2,307.2670625
78,0,2,308.468229167
79,0,2,310.406666667
80,0,3,316.0808125
81,0,3,320.420395833
82,0,3,324.812708333
83,0,3,330.829020833
84,0,4,336.106916667
85,0,4,336.429916667
86,0,4,337.337708333
87,0,4,338.370583333
88,0,4,339.364104167
89,0,4,340.422104167
90,0,4,341.414145833
91,0,4,342.479479167
92,0,4,343.460791667
93,0,4,344.530375
94,0,4,345.6158125
95,0,4,346.654916667
96,0,4,347.654875
97,0,4,348.752979167
98,0,4,349.719416667
99,0,4,350.677041667
100,0,4,351.760208333
84,1,4,352.742979167
85,1,4,353.010104167
86,1,4,353.985645833
87,1,4,354.954791667
88,1,4,355.980666667
89,1,4,357.026083333
90,1,4,358.0190625
91,1,4,358.996
92,1,4,359.9881875
93,1,4,361.076833333
94,1,4,362.105645833
95,1,4,363.241333333
96,1,4,364.241395833
97,1,4,365.2899375
98,1,4,366.272604167
99,1,4,367.2381875
100,1,4,368.278166667
101,0,4,369.603729167
102,0,4,369.812104167
103,0,4,370.956666667
104,0,4,372.062
105,0,4,373.178229167
106,0,4,374.267270833
107,0,4,375.377020833
108,0,4,376.440645833
109,0,4,377.4796875
110,0,4,378.7855
111,0,4,379.765458333
112,0,4,380.7363125
113,0,4,381.736125
114,0,4,382.8214375
115,0,4,383.829041667
116,0,4,384.838708333
117,0,4,385.822833333
118,0,4,386.972875
119,0,4,388.066416667
120,0,4,389.218979167
121,0,4,390.209895833
122,0,4,391.255708333
123,0,4,392.246333333
124,0,4,393.2153125
125,0,4,394.271416667
101,1,4,395.484145833
102,1,4,395.791625
103,1,4,396.760479167
104,1,4,398.007229167
105,1,4,399.089166667
106,1,4,400.2206875
107,1,4,401.258
108,1,4,402.298666667
109,1,4,403.431604167
110,1,4,404.813083333
111,1,4,405.753833333
112,1,4,406.743145833
113,1,4,407.745541667
114,1,4,408.810958333
115,1,4,409.81225
116,1,4,410.759104167
117,1,4,411.733125
118,1,4,412.910958333
119,1,4,414.004708333
120,1,4,415.0688125
121,1,4,416.04175
122,1,4,417.090041667
123,1,4,418.1028125
124,1,4,419.1065
125,1,4,420.806208333
