bar,repeat,movement,onset
1,0,1,1.578666667
2,0,1,2.115979167
3,0,1,3.946145833
4,0,1,5.4368125
5,0,1,6.874166667
6,0,1,8.463604167
7,0,1,10.114020833
8,0,1,12.706375
9,0,1,14.220104167
10,0,1,15.791708333
11,0,1,18.144083333
12,0,1,19.713708333
13,0,1,21.269291667
14,0,1,24.138229167
15,0,1,25.905604167
16,0,1,27.526208333
17,0,1,29.187041667
18,0,1,30.985895833
19,0,1,32.753041667
20,0,1,34.396875
21,0,1,36.1229375
22,0,1,37.5080625
23,0,1,39.079875
1,1,1,40.728583333
2,1,1,41.371791667
3,1,1,43.263166667
4,1,1,44.809729167
5,1,1,46.322895833
6,1,1,48.083729167
7,1,1,49.873458333
8,1,1,52.332270833
9,1,1,54.000166667
10,1,1,55.575916667
11,1,1,57.812375
12,1,1,59.455916667
13,1,1,61.373916667
14,1,1,64.198583333
15,1,1,66.156708333
16,1,1,67.644104167
17,1,1,69.189416667
18,1,1,70.8985625
19,1,1,72.460291667
20,1,1,73.957041667
21,1,1,75.769541667
22,1,1,77.201145833
23,1,1,78.707104167
24,0,1,80.646833333
25,0,1,81.211541667
26,0,1,82.916291667
27,0,1,84.434416667
28,0,1,85.898
29,0,1,87.545583333
30,0,1,89.350416667
31,0,1,91.586833333
32,0,1,93.259354167
33,0,1,94.8660625
34,0,1,96.66225
35,0,1,98.565
36,0,1,100.330666667
37,0,1,102.012770833
38,0,1,103.585916667
39,0,1,105.726479167
40,0,1,107.445708333
41,0,1,110.073125
42,0,1,111.675895833
43,0,1,113.5165625
44,0,1,115.1618125
45,0,1,117.018270833
46,0,1,118.946208333
47,0,1,122.304020833
48,0,1,123.9735625
49,0,1,125.407645833
50,0,1,126.830270833
51,0,1,128.427145833
52,0,1,130.11975
53,0,1,132.2680625
54,0,1,133.927125
55,0,1,135.3418125
56,0,1,137.072833333
24,1,1,139.369354167
25,1,1,139.8908125
26,1,1,141.689479167
27,1,1,143.819625
28,1,1,145.1560625
29,1,1,146.726875
30,1,1,148.650645833
31,1,1,151.215375
32,1,1,152.751083333
33,1,1,154.254833333
34,1,1,155.9665
35,1,1,157.652895833
36,1,1,159.48875
37,1,1,161.429625
38,1,1,163.165479167
39,1,1,164.910854167
40,1,1,166.68425
41,1,1,169.152104167
42,1,1,170.827291667
43,1,1,172.841833333
44,1,1,174.463583333
45,1,1,176.081854167
46,1,1,178.070604167
47,1,1,183.783833333
48,1,1,185.971666667
49,1,1,187.578541667
50,1,1,189.234020833
51,1,1,190.90925
52,1,1,192.768
53,1,1,194.813770833
54,1,1,196.4404375
55,1,1,197.9711875
56,1,1,200.64
57,0,2,205.659291667
58,0,2,206.043270833
59,0,2,206.8018125
60,0,2,207.569041667
61,0,2,208.347125
62,0,2,209.292958333
63,0,2,209.999166667
64,0,2,210.885479167
65,0,2,211.717895833
66,0,2,213.008270833
67,0,2,213.762625
68,0,2,214.621708333
69,0,2,215.421166667
70,0,2,216.659645833
71,0,2,217.381020833
72,0,2,218.261208333
73,0,2,218.993083333
74,0,2,219.8499375
75,0,2,220.626916667
76,0,2,222.32525
77,0,2,223.104041667
78,0,2,223.9331875
79,0,2,224.704
80,0,2,225.499666667
81,0,2,226.335875
82,0,2,227.256604167
83,0,2,228.0415625
84,0,2,228.843104167
85,0,2,229.642041667
86,0,2,230.892083333
87,0,2,231.701625
88,0,2,232.645020833
89,0,2,233.432395833
90,0,2,234.267416667
91,0,2,235.072354167
92,0,2,235.9535625
93,0,2,237.341604167
94,0,2,238.069604167
95,0,2,238.914875
96,0,2,239.760354167
97,0,2,240.7929375
98,0,2,241.5505625
99,0,2,242.381041667
100,0,2,243.183791667
101,0,2,244.372
102,0,2,245.161791667
103,0,2,246.026520833
104,0,2,246.971166667
105,0,2,247.844291667
106,0,2,248.7728125
107,0,2,250.543541667
108,0,2,251.625479167
109,0,2,252.444395833
110,0,2,253.345895833
111,0,2,254.192145833
112,0,2,255.318270833
113,0,2,256.183604167
114,0,2,257.145541667
115,0,2,258.02375
116,0,2,259.456
117,0,2,260.410229167
118,0,2,261.289875
119,0,2,262.169104167
120,0,2,263.218520833
121,0,2,264.5360625
122,0,3,267.695416667
123,0,3,268.7514375
124,0,3,269.854541667
125,0,3,270.832875
126,0,3,271.835708333
127,0,3,272.860208333
128,0,3,274.008479167
129,0,3,275.020791667
122,1,3,276.508791667
123,1,3,277.563770833
124,1,3,278.563458333
125,1,3,279.547833333
126,1,3,280.521416667
127,1,3,281.572375
128,1,3,282.535729167
129,1,3,283.641083333
130,0,3,284.988520833
131,0,3,285.961625
132,0,3,287.146666667
133,0,3,288.243791667
134,0,3,289.3858125
135,0,3,290.500520833
136,0,3,291.579833333
137,0,3,292.640125
138,0,3,293.702416667
139,0,3,294.628895833
140,0,3,295.625604167
141,0,3,296.563625
142,0,3,297.645145833
143,0,3,298.6931875
144,0,3,299.7993125
145,0,3,300.851145833
130,1,3,301.952
131,1,3,302.981895833
132,1,3,304.209645833
133,1,3,305.156833333
134,1,3,306.600708333
135,1,3,307.69325
136,1,3,308.768583333
137,1,3,309.849895833
138,1,3,311.0598125
139,1,3,312.048354167
140,1,3,313.172958333
141,1,3,314.181645833
142,1,3,315.306291667
143,1,3,316.510083333
144,1,3,317.6823125
145,1,3,319.104
