bar,repeat,movement,onset
1,0,1,0.4309197137188228
2,0,1,2.7946385345805003
3,0,1,4.769785926870749
4,0,1,6.907473001700681
5,0,1,9.246429917800453
6,0,1,11.672098852040817
7,0,1,14.538946924603184
8,0,1,16.90883354591837
9,0,1,19.02330066609977
10,0,1,21.08731491942015
11,0,2,24.1501033871882
12,0,2,26.52470656179138
13,0,2,28.951917446145114
14,0,2,31.299883737139137
15,0,2,33.45803989512471
16,0,2,35.470375496031735
17,0,2,37.34647526927437
18,0,2,39.637402881344855
19,0,2,42.18628650908562
20,0,2,43.90357277494331
21,0,2,45.785840348639454
22,0,2,47.847699759070295
23,0,2,49.88633921485262
24,0,2,52.5023936366213
25,0,2,54.65713286564625
26,0,2,56.667926516439934
27,0,3,60.113731505102024
28,0,3,64.94030746882086
29,0,3,69.69722356859413
30,0,3,77.05323263888889
31,0,3,82.3173596230158
32,0,3,86.91536415816323
33,0,3,95.4091510062358
34,0,3,101.14901495181408
35,0,3,104.845522888322
36,0,3,110.18447980442176
37,0,4,116.95690610827664
38,0,4,118.70765440759637
39,0,4,119.8299219812925
40,0,4,121.16113932667815
41,0,4,121.86393558673467
42,0,4,122.82520542800455
43,0,4,123.80969522392287
44,0,4,124.84324019746788
45,0,4,125.96821912663468
46,0,4,127.01283521676216
47,0,4,127.83745032596372
48,0,4,128.8652961309524
37,1,4,130.1005795776644
38,1,4,131.08506937358274
39,1,4,132.13767708333333
40,1,4,133.35385002362057
41,1,4,134.24135055272106
42,1,4,135.20262039399094
43,1,4,136.16389023526077
44,1,4,137.214955994898
45,1,4,138.25237851946332
46,1,4,139.06746292359537
47,1,4,140.21486529195016
48,1,4,141.26593105158724
49,0,4,142.45477458900228
50,0,4,143.39282447562354
51,0,4,144.512008149093
52,0,4,145.45005803571425
53,0,4,146.54602175453516
54,0,4,147.5305115504535
55,0,4,149.04906030328803
56,0,4,149.63418501984123
57,0,4,150.72080129598135
58,0,4,151.58232560941045
59,0,4,152.63409431689337
60,0,4,153.71146393140594
61,0,4,154.70405997934884
62,0,4,155.76869749149662
49,1,4,156.9590829790249
50,1,4,157.89713286564634
51,1,4,159.08597640306118
52,1,4,160.14012606292522
53,1,4,161.28252969104304
54,1,4,162.35989930555556
55,1,4,163.29794919217687
56,1,4,164.39391291099778
57,1,4,166.465112338137
58,1,4,168.92712833049887
59,1,4,173.47745032596376
60,1,4,178.92017141439908
61,1,4,182.48207617630385
63,0,4,184.4732250803099
