bar,repeat,movement,onset
1,0,1,1.2049013602108203
2,0,1,4.4045385484194375
3,0,1,6.4493458046552625
4,0,1,8.447713151594039
5,0,1,12.156647391956849
6,0,1,15.650434240029412
7,0,1,19.353200679938716
8,0,1,22.210706348872954
9,0,1,24.650252834133724
10,0,1,27.058119717976464
11,0,2,29.986035147058875
12,0,2,32.68571768674142
13,0,2,35.11292857109516
14,0,2,37.598615501952175
15,0,2,39.75837074796591
16,0,2,41.97968594070968
17,0,2,44.13442516973461
18,0,2,46.56121971268843
19,0,2,49.043248362563155
20,0,2,50.97016213118586
21,0,2,53.08462925136727
22,0,2,55.425128117580435
23,0,2,57.5102074826598
24,0,2,59.61542290216096
25,0,2,61.79338208583442
26,0,2,63.850615645925124
27,0,3,68.53460657563039
28,0,3,74.10104648492789
29,0,3,79.01614852574372
30,0,3,84.96481065726297
31,0,3,90.82721428538092
32,0,3,94.95719160964396
33,0,3,101.41288321962136
34,0,3,106.5902074826598
35,0,3,110.79755442143531
36,0,3,115.90431179104984
37,0,4,124.99873355975731
38,0,4,126.61016213118592
39,0,4,127.52345011304531
40,0,4,128.8277504045905
41,0,4,129.55746371848753
42,0,4,130.44907369581173
43,0,4,131.29424376383898
44,0,4,132.2292097502335
45,0,4,133.3371324007752
46,0,4,134.2884946879529
47,0,4,135.04335941009745
48,0,4,135.978325396492
37,1,4,137.3297086164467
38,1,4,138.19809863912238
39,1,4,139.11138662098182
40,1,4,139.82061173631527
41,1,4,141.02930045318135
42,1,4,141.94413038515407
43,1,4,142.7660804985328
44,1,4,143.7010464849273
45,1,4,144.94596871673087
46,1,4,145.87513240758472
47,1,4,146.60807596338535
48,1,4,147.4966020404829
49,0,4,148.84798526043758
50,0,4,149.73959523776182
51,0,4,150.71945918334006
52,0,4,151.6110691606643
53,0,4,152.56771315159403
54,0,4,153.48254308356678
55,0,4,154.30449319694543
56,0,4,155.33079705182075
57,0,4,156.4174477841858
58,0,4,157.32247505635593
59,0,4,158.07881418459982
60,0,4,158.9204569157663
61,0,4,159.76562698379357
62,0,4,160.74549092937173
49,1,4,162.00553628084572
50,1,4,162.85070634887288
51,1,4,163.7841303851541
52,1,4,164.76862018107244
53,1,4,165.7484841266507
54,1,4,166.66331405862343
55,1,4,167.50848412665073
56,1,4,168.34902834433774
57,1,4,169.65253407539734
58,1,4,170.58127828134965
59,1,4,171.37215759603842
60,1,4,172.2173276640657
61,1,4,173.15537755068698
63,0,4,174.73896031712692
