bar,repeat,movement,onset
1,0,1,0.4911532031145745
2,0,1,2.8084321146791997
3,0,1,4.4120602325930305
4,0,1,5.808478572286633
5,0,1,8.09922576547285
6,0,1,10.757094246198475
7,0,1,13.438182681572624
8,0,1,15.599089711051084
9,0,1,17.3652575115046
10,0,1,18.9630099631346
11,0,2,21.145302862978518
12,0,2,23.75210558406695
13,0,2,26.06321669517807
14,0,2,28.617944220596833
15,0,2,30.43001941626651
16,0,2,32.581674745064674
17,0,2,34.620314200847
18,0,2,37.093302719005585
19,0,2,39.483638812743045
20,0,2,41.130971797218876
21,0,2,42.78103982442977
22,0,2,44.93577905345471
23,0,2,46.811878826697345
24,0,2,48.777774518307304
25,0,2,50.67709424619849
26,0,2,52.66466794234362
27,0,3,57.22503075413496
28,0,3,61.336141865246056
29,0,3,65.7636248584434
30,0,3,70.86729832783114
31,0,3,74.50965660447511
32,0,3,78.01269515322792
33,0,3,82.39655002851143
34,0,3,86.71999674052955
35,0,3,89.97532553871548
36,0,3,93.57278585617581
37,0,4,99.99691284030281
38,0,4,101.49224163848871
39,0,4,102.73060898542751
40,0,4,104.41044373211156
41,0,4,105.29868154778576
42,0,4,106.63147066343205
43,0,4,107.77850014189008
44,0,4,109.10820535730961
45,0,4,110.58545266027119
46,0,4,111.74756123492634
47,0,4,112.781493339169
48,0,4,113.94865887204882
37,1,4,115.69478132102842
38,1,4,117.24094774719482
39,1,4,117.80153869064293
40,1,4,118.90617361127782
41,1,4,120.46249107159531
42,1,4,121.8185001418901
43,1,4,122.96552962034822
44,1,4,124.24879492647062
45,1,4,125.4743331417567
46,1,4,126.88631571256282
47,1,4,127.71327994854958
48,1,4,128.94992871331877
49,0,4,130.54644077268784
50,0,4,131.81986068610786
51,0,4,133.03192417817127
52,0,4,134.48081306706018
53,0,4,135.80897633236634
54,0,4,137.07210558406703
55,0,4,138.34767829963968
56,0,4,139.66339810107382
57,0,4,141.18977754173886
58,0,4,142.07738651125263
59,0,4,143.63854549336406
60,0,4,144.7159151078765
61,0,4,146.00226431422576
62,0,4,147.23754776093773
49,1,4,148.72979265889694
50,1,4,149.94648200130052
51,1,4,151.08888562941848
52,1,4,152.46811465436176
53,1,4,153.74634594687876
54,1,4,154.8272076248833
55,1,4,156.1135568312326
56,1,4,157.325620323296
57,1,4,158.47000386718972
58,1,4,159.63032175942598
59,1,4,160.7202688493731
60,1,4,161.79763846388565
61,1,4,170.2125137473323
63,0,4,173.21251374733237
