bar,repeat,movement,onset
1,0,1,3.3350670354807623
2,0,1,8.160101049086204
3,0,1,10.715747307589607
4,0,1,12.737334609176902
5,0,1,16.53914866813382
6,0,1,20.056155470854918
7,0,1,23.805361820061258
8,0,1,27.754205357476227
9,0,1,30.33307157062816
10,0,1,32.41673278286079
11,0,2,35.76173370214743
12,0,2,38.18277678604765
13,0,2,40.401008078564665
14,0,2,42.839766581966025
15,0,2,45.00001034613837
16,0,2,47.383865221421814
17,0,2,49.60826431439232
18,0,2,52.0374633093056
19,0,2,54.70236862278235
20,0,2,56.49044118514062
21,0,2,58.535248441376446
22,0,2,60.80608744364402
23,0,2,62.798286990129306
24,0,2,65.01343438241953
25,0,2,67.08146159330391
26,0,2,69.16191510804313
27,0,3,74.40255002867804
28,0,3,82.30758404228379
29,0,3,89.73769742096832
30,0,3,97.76708517607034
31,0,3,105.32019175203402
32,0,3,113.59674504001595
33,0,3,121.37071329398418
34,0,3,128.5269944731225
35,0,3,134.5288992350273
36,0,3,142.78694912164858
37,0,4,150.88291284046946
38,0,4,152.09960218287304
39,0,4,153.17542984727214
40,0,4,154.52961837982804
41,0,4,155.2791033166599
42,0,4,156.42613279511798
43,0,4,157.6196021828731
44,0,4,158.74032780645584
45,0,4,159.78126818260628
46,0,4,161.21604446127697
47,0,4,162.06531646858735
48,0,4,163.0002824549819
37,1,4,164.328445720288
38,1,4,165.70767474523134
39,1,4,166.78350240963044
40,1,4,168.36859518852603
41,1,4,169.142595380152
42,1,4,170.28962485861007
43,1,4,171.4134343824195
44,1,4,172.53416000600234
45,1,4,174.0796796292362
46,1,4,175.2878355368207
47,1,4,176.30032780645587
48,1,4,177.32817361144447
49,0,4,178.88853642323588
50,0,4,180.17488562958505
51,0,4,181.36372916700006
52,0,4,182.51075864545805
53,0,4,183.74604209217011
54,0,4,184.91629152527665
55,0,4,186.2026407316259
56,0,4,187.41470422368937
57,0,4,188.87139890156055
58,0,4,190.0559582905335
59,0,4,191.0415522962517
60,0,4,192.11892191076427
61,0,4,193.28917134387078
62,0,4,194.4780148812858
49,1,4,195.94703982459643
50,1,4,197.25660898559417
51,1,4,198.3757926590635
52,1,4,199.80146159330394
53,1,4,201.15284481325855
54,1,4,202.48563392890486
55,1,4,203.79520308990254
56,1,4,205.05370649126314
57,1,4,206.51975190486232
58,1,4,207.84431524758614
59,1,4,209.12173370214748
60,1,4,210.50096272709075
61,1,4,217.73162032346258
63,0,4,220.73162032346264
