bar,repeat,movement,onset
1,0,1,0.3617783446711837
2,0,1,4.76876247165531
3,0,1,9.22708446712016
4,0,1,12.970123015872998
5,0,1,17.697651360544203
6,0,1,21.115610544217667
7,0,1,25.6620051020408
8,0,1,29.140281746031732
9,0,1,31.945179705215406
10,0,1,35.163410997732406
11,0,1,40.39561054421766
12,0,2,44.28722052154193
13,0,2,48.03642687074827
14,0,2,49.41565589569159
15,0,2,50.74844501133785
16,0,2,52.20041780045349
17,0,2,53.697288548752816
18,0,2,55.07651757369613
19,0,2,56.59660827664398
20,0,2,57.97583730158728
21,0,2,59.308626417233555
22,0,2,60.830259070294765
23,0,2,62.39678968253968
24,0,2,63.89211848072562
25,0,2,65.34254931972787
26,0,2,66.79143820861678
27,0,2,68.68304818594105
28,0,2,70.27279875283446
29,0,2,71.51425
30,0,2,72.87951077097506
31,0,2,74.31288945578231
32,0,2,75.87787811791384
33,0,2,77.65338832199546
34,0,2,79.49855839002267
35,0,2,81.2468207124955
36,0,2,82.34989625850339
37,0,2,83.9179688208617
38,0,2,86.01855839002266
39,0,2,87.30644954648524
40,0,2,88.7321184807256
41,0,2,90.25066723356011
42,0,2,91.65311621315193
43,0,2,93.21810487528342
44,0,2,94.6453157596372
45,0,2,96.07252664399091
46,0,2,97.52295748299322
47,0,2,99.04304818594102
48,0,2,100.49347902494334
49,0,2,101.9655878684807
50,0,2,103.71787811791386
51,0,2,105.12032709750567
52,0,2,106.49955612244896
53,0,2,107.88186904761905
54,0,2,109.6805992063492
55,0,2,111.29356972789114
56,0,2,112.60468083900228
57,0,2,114.10926133786846
58,0,2,115.56740192743766
59,0,2,117.08595068027206
60,0,3,121.62000963718818
61,0,3,128.25928401360542
62,0,3,134.7127987528344
63,0,3,140.86566871241249
64,0,3,147.22817290249435
65,0,3,153.22037244897956
66,0,3,158.98345634920628
67,0,3,165.7186944444443
68,0,3,172.6861320861678
69,0,4,178.55298015873015
70,0,4,179.32078061224476
71,0,4,180.2805085034013
72,0,4,181.26191439909283
73,0,4,182.2696241496598
74,0,4,183.2974699546484
75,0,4,184.31020918367344
76,0,4,185.3639552154195
77,0,4,186.40000149718006
78,0,4,187.38400056689338
79,0,4,188.41184637188204
80,0,4,189.46445408163257
81,0,4,190.44585997732423
82,0,4,191.47524773242623
83,0,4,192.43960147392275
84,0,4,193.63123812858473
85,0,4,194.47824092970512
86,0,4,195.59896655328788
87,0,4,196.69647222222216
69,1,4,197.6964722222222
70,1,4,197.9766536281179
71,1,4,198.9131615646257
72,1,4,199.8481275510203
73,1,4,200.80939739229018
74,1,4,201.8604631519274
75,1,4,202.82481689342396
76,1,4,203.85728854875273
77,1,4,204.84486224489788
78,1,4,205.87733390022672
79,1,4,206.90517970521532
80,1,4,207.91134750566886
81,1,4,208.93919331065752
82,1,4,209.94536111111108
83,1,4,210.97937471655325
84,1,4,212.09193574096304
85,1,4,213.0180141723355
86,1,4,214.09229988662125
87,1,4,215.2362454648525
88,0,4,215.98082596371867
89,0,4,216.28422732426296
90,0,4,217.31361507936506
91,0,4,218.43434070294774
92,0,4,219.3739325396824
93,0,4,220.57951757369614
94,0,4,221.6014268707483
95,0,4,222.6075833333332
96,0,4,223.5688531746031
97,0,4,224.6446808390022
98,0,4,226.0254518140588
99,0,4,227.40005498866205
100,0,4,228.40622278911565
101,0,4,229.38762868480717
102,0,4,230.41855839002258
103,0,4,231.65538378684795
104,0,4,232.66000963718818
105,0,4,233.66617743764166
106,0,4,234.62898922902485
107,0,4,235.66300283446702
108,0,4,236.66762868480717
109,0,4,238.02055385487523
110,0,4,243.53139285714275
