bar,repeat,movement,onset
1,0,1,0.6058670868075821
2,0,1,4.906184547125044
3,0,1,9.494393163905086
4,0,1,12.842692483632979
5,0,1,17.593440782952705
6,0,1,21.08822536345156
7,0,1,25.67389429769194
8,0,1,29.152170941682872
9,0,1,31.957068900866542
10,0,1,34.80378091900712
11,0,1,40.082420374789436
12,0,2,44.60096912762391
13,0,2,48.00187615710236
14,0,2,49.4043251366942
15,0,2,50.76033420698899
16,0,2,52.21230699610462
17,0,2,53.709177744403945
18,0,2,55.08840676934725
19,0,2,56.58527751764659
20,0,2,57.98772649723841
21,0,2,59.320515612884684
22,0,2,60.88858817524296
23,0,2,62.38545892354229
24,0,2,63.904007676376764
25,0,2,65.35443851537902
26,0,2,66.7801074496194
27,0,2,68.69493738159218
28,0,2,70.12214826594591
29,0,2,71.50291924100262
30,0,2,72.91286083380135
31,0,2,74.41765847002756
32,0,2,75.88976731356497
33,0,2,77.68849747229511
34,0,2,79.48722763102528
35,0,2,80.93611651991418
36,0,2,82.36178545415456
37,0,2,83.95307797116138
38,0,2,85.91434781243117
39,0,2,87.31833874213639
40,0,2,88.76722763102526
41,0,2,90.26255642921124
42,0,2,91.6349373815922
43,0,2,93.20677411628603
44,0,2,94.63398500063983
45,0,2,96.08441583964205
46,0,2,97.53484667864436
47,0,2,99.05493738159215
48,0,2,100.50536822059448
49,0,2,101.9607526109097
50,0,2,103.70654735891648
51,0,2,105.10899633850828
52,0,2,106.48822536345158
53,0,2,107.87053828862167
54,0,2,109.43706890086655
55,0,2,110.9005542456217
56,0,2,112.5933500800049
57,0,2,114.09793057887107
58,0,2,115.5792911230888
59,0,2,117.07461992127467
60,0,3,121.63189883283931
61,0,3,128.27117320925655
62,0,3,134.701467993837
63,0,3,140.87634327728378
64,0,3,146.61312332263526
65,0,3,153.3251414632248
66,0,3,158.9721255902089
67,0,3,165.70736368544695
68,0,3,172.65158137252186
69,0,4,178.95960858340624
70,0,4,179.28622989859886
71,0,4,180.28713692807742
72,0,4,181.2970235493925
73,0,4,182.2582933906624
74,0,4,183.30935915029957
75,0,4,184.3201528010933
76,0,4,185.37584441107057
77,0,4,186.43510775604827
78,0,4,187.41910971719298
79,0,4,188.8881346605037
80,0,4,189.47634327728372
81,0,4,190.45774917297533
82,0,4,191.48713692807735
83,0,4,192.47471062422247
84,0,4,193.68895617005992
85,0,4,194.46918983813032
86,0,4,195.63407570358754
87,0,4,196.91734100971001
69,1,4,197.77000989121618
70,1,4,197.94210291447195
71,1,4,198.87861085097987
72,1,4,199.8600167466715
73,1,4,200.8212865879413
74,1,4,201.84913239293002
75,1,4,202.83670608907514
76,1,4,203.86917774440388
77,1,4,204.87997139519751
78,1,4,205.86600314122933
79,1,4,206.9170689008665
80,1,4,207.92323670132
81,1,4,208.92786255166013
82,1,4,209.98047026141077
83,1,4,210.96804395755586
84,1,4,212.24280910170881
85,1,4,213.00668341333812
86,1,4,214.08096912762386
87,1,4,215.27135461515212
88,0,4,216.01593511401842
89,0,4,216.29611651991408
90,0,4,217.30228432036768
91,0,4,218.42300994395035
92,0,4,219.50192150857617
93,0,4,220.60251107773726
94,0,4,221.6102208283041
95,0,4,222.5962525743358
96,0,4,223.789721962091
97,0,4,224.63335008000485
98,0,4,225.9909011004129
99,0,4,227.38872422966466
100,0,4,228.4181119847668
101,0,4,229.37629792580978
102,0,4,230.4072276310252
103,0,4,231.71371289179618
104,0,4,232.67189883283933
105,0,4,233.65484667864428
106,0,4,234.640878424676
107,0,4,235.67489203011812
108,0,4,236.6795178804583
109,0,4,238.03244305052644
110,0,4,243.51670608907466
