bar,repeat,movement,onset
1,0,1,0.5896371883174437
2,0,1,4.889954648634904
3,0,1,9.478163265414949
4,0,1,12.82646258514284
5,0,1,17.577210884462566
6,0,1,21.071995464961418
7,0,1,25.657664399201803
8,0,1,29.13594104319273
9,0,1,31.940839002376403
10,0,1,34.787551020516986
11,0,1,40.0661904762993
12,0,2,44.584739229133774
13,0,2,47.98564625861222
14,0,2,49.388095238204066
15,0,2,50.744104308498855
16,0,2,52.196077097614484
17,0,2,53.692947845913814
18,0,2,55.07217687085712
19,0,2,56.56904761915645
20,0,2,57.97149659874828
21,0,2,59.30428571439455
22,0,2,60.87235827675282
23,0,2,62.36922902505216
24,0,2,63.887777777886626
25,0,2,65.33820861688888
26,0,2,66.76387755112924
27,0,2,68.67870748310204
28,0,2,70.10591836745577
29,0,2,71.48668934251248
30,0,2,72.89663093531121
31,0,2,74.40142857153741
32,0,2,75.87353741507482
33,0,2,77.67226757380497
34,0,2,79.47099773253514
35,0,2,80.91988662142404
36,0,2,82.3455555556644
37,0,2,83.93684807267122
38,0,2,85.89811791394104
39,0,2,87.30210884364625
40,0,2,88.75099773253513
41,0,2,90.24632653072109
42,0,2,91.61870748310206
43,0,2,93.19054421779589
44,0,2,94.61775510214967
45,0,2,96.06818594115191
46,0,2,97.51861678015422
47,0,2,99.03870748310202
48,0,2,100.48913832210434
49,0,2,101.94452271241956
50,0,2,103.69031746042633
51,0,2,105.09276644001814
52,0,2,106.47199546496144
53,0,2,107.85430839013152
54,0,2,109.42083900237641
55,0,2,110.88432434713157
56,0,2,112.57712018151474
57,0,2,114.08170068038093
58,0,2,115.56306122459866
59,0,2,117.05839002278454
60,0,3,121.61566893434917
61,0,3,128.2549433107664
62,0,3,134.6852380953469
63,0,3,140.86011337879364
64,0,3,146.59689342414512
65,0,3,153.30891156473467
66,0,3,158.95589569171875
67,0,3,165.6911337869568
68,0,3,172.63535147403172
69,0,4,178.9433786849161
70,0,4,179.27000000010872
71,0,4,180.27090702958728
72,0,4,181.28079365090238
73,0,4,182.2420634921723
74,0,4,183.29312925180943
75,0,4,184.30392290260318
76,0,4,185.35961451258044
77,0,4,186.41887785755813
78,0,4,187.40287981870284
79,0,4,188.87190476201357
80,0,4,189.46011337879358
81,0,4,190.44151927448522
82,0,4,191.4709070295872
83,0,4,192.45848072573233
84,0,4,193.6727262715698
85,0,4,194.45295993964018
86,0,4,195.6178458050974
87,0,4,196.90111111121988
69,1,4,197.75377999272604
70,1,4,197.9258730159818
71,1,4,198.86238095248973
72,1,4,199.84378684818137
73,1,4,200.8050566894512
74,1,4,201.83290249443988
75,1,4,202.820476190585
76,1,4,203.85294784591377
77,1,4,204.8637414967074
78,1,4,205.84977324273922
79,1,4,206.90083900237636
80,1,4,207.9070068028299
81,1,4,208.91163265317002
82,1,4,209.96424036292066
83,1,4,210.95181405906575
84,1,4,212.22657920321868
85,1,4,212.99045351484799
86,1,4,214.06473922913372
87,1,4,215.25512471666198
88,0,4,215.99970521552828
89,0,4,216.27988662142394
90,0,4,217.28605442187754
91,0,4,218.4067800454602
92,0,4,219.48569161008604
93,0,4,220.58628117924712
94,0,4,221.59399092981397
95,0,4,222.5800226758457
96,0,4,223.77349206360086
97,0,4,224.6171201815147
98,0,4,225.97467120192277
99,0,4,227.37249433117452
100,0,4,228.40188208627666
101,0,4,229.36006802731964
102,0,4,230.39099773253506
103,0,4,231.69748299330604
104,0,4,232.6556689343492
105,0,4,233.63861678015414
106,0,4,234.62464852618587
107,0,4,235.658662131628
108,0,4,236.66328798196818
109,0,4,238.0162131520363
110,0,4,243.50047619058455
