bar,repeat,movement,onset
1,0,1,0.4325727044150022
2,0,1,6.116745040015909
3,0,1,11.13225524409754
4,0,1,16.15239129851931
5,0,1,21.59973823729482
6,0,1,26.944953656795953
7,0,1,31.74676771575287
8,0,1,36.455701956115675
9,0,1,40.18939810124039
10,0,1,45.195565901693925
11,0,1,48.47728925770299
12,0,2,55.503593112578265
13,0,2,59.76363846405219
14,0,2,61.00354776110434
15,0,2,62.33633687675062
16,0,2,63.71864980192068
17,0,2,64.93688109443768
18,0,2,66.26967021008394
19,0,2,67.48790150260095
20,0,2,68.74835501734017
21,0,2,69.99094005135376
22,0,2,71.2571532032812
23,0,2,72.56826431439232
24,0,2,73.78495365679595
25,0,2,75.00318494931295
26,0,2,76.28953415566215
27,0,2,77.55420535747622
28,0,2,78.47467063000498
29,0,2,80.08354776110434
30,0,2,81.26304889489118
31,0,2,82.53388789715873
32,0,2,83.84345705815647
33,0,2,85.24744798786172
34,0,2,86.86041850940363
35,0,2,88.19320762504991
36,0,2,89.50277678604765
37,0,2,90.83864980192067
38,0,2,92.4284003688141
39,0,2,93.53053188808846
40,0,2,94.9329808676803
41,0,2,96.31220989262363
42,0,2,97.62177905362134
43,0,2,99.0474479878617
44,0,2,100.42821896291836
45,0,2,101.7393300740295
46,0,2,103.00400127584356
47,0,2,104.40799220554877
48,0,2,105.74232327130841
49,0,2,107.2144321148458
50,0,2,109.19892191076417
51,0,2,110.5781509357075
52,0,2,111.91094005135378
53,0,2,113.24681306722675
54,0,2,114.76690377017465
55,0,2,115.84581533480046
56,0,2,117.24980626450574
57,0,2,118.59184708083221
58,0,2,119.79456816926758
59,0,2,121.10660837273637
60,0,3,129.4462688495397
61,0,3,137.91991964319052
62,0,3,146.53289016473246
63,0,3,154.40282213752158
64,0,3,162.22939810124038
65,0,3,170.26495365679597
66,0,3,178.1642733846871
67,0,3,186.24626884953975
68,0,3,194.74622349806577
69,0,4,207.27719855475516
70,0,4,207.6038198699479
71,0,4,208.5635477611043
72,0,4,209.61461352074156
73,0,4,210.5294434527143
74,0,4,211.60372916700007
75,0,4,212.47520308990255
76,0,4,213.36835501734015
77,0,4,214.3094888041882
78,0,4,215.24908064092295
79,0,4,216.20726658196602
80,0,4,217.21343438241948
81,0,4,218.17162032346263
82,0,4,219.17778812391617
83,0,4,220.09570195611573
84,0,4,221.24028763800752
85,0,4,221.97180172935828
86,0,4,222.97642757969848
87,0,4,224.00427338468708
69,1,4,225.00427338468708
70,1,4,225.14513506269165
71,1,4,226.10486295384817
72,1,4,227.15592871348528
73,1,4,228.08749333933565
74,1,4,229.16826431439233
75,1,4,230.05883120781635
76,1,4,231.00255002867803
77,1,4,231.9351344812625
78,1,4,232.86005569761232
79,1,4,233.81824163865534
80,1,4,234.8011894844604
81,1,4,235.78259538015192
82,1,4,236.74232327130846
83,1,4,237.66023710350797
84,1,4,238.74847574168626
85,1,4,239.48595138922232
86,1,4,240.4945228177937
87,1,4,241.5688085320794
88,0,4,242.33660898559418
89,0,4,242.68645025543543
90,0,4,243.71583801053742
91,0,4,244.81334367947176
92,0,4,245.79937542550346
93,0,4,246.8767450400159
94,0,4,247.90767474523136
95,0,4,248.8240466273175
96,0,4,249.80853642323586
97,0,4,250.86114413298645
98,0,4,252.3812348359343
99,0,4,253.1056792803786
100,0,4,254.11184708083226
101,0,4,255.1396928858209
102,0,4,256.16227791983454
103,0,4,257.3145681692676
104,0,4,258.2727541103107
105,0,4,259.34858177470977
106,0,4,260.3578334753902
107,0,4,261.2757473075897
108,0,4,262.2107132939841
109,0,4,263.3082189629184
110,0,4,264.2679468540748
88,1,4,265.08218721688655
89,1,4,265.4021418654127
90,1,4,266.3917563778844
91,1,4,267.46604209217
92,1,4,268.4520738382018
93,1,4,269.5526634073629
94,1,4,270.53715320328115
95,1,4,271.4767450400158
96,1,4,272.5773346091769
97,1,4,273.46740263638776
98,1,4,274.8249536567959
99,1,4,275.5029581919434
100,1,4,276.5091259923968
101,1,4,277.58587442914524
102,1,4,278.54468154795234
103,1,4,279.6421872168866
104,1,4,280.69730259637174
105,1,4,281.7923005955715
106,1,4,282.8712121601973
107,1,4,283.78912599239686
108,1,4,286.4655885774309
109,1,4,293.0430035434173
110,1,4,298.0430035434173
