bar,repeat,movement,onset
1,0,1,11.781655328907013
2,0,1,15.129954648634904
3,0,1,19.41630385498411
4,0,1,22.416303854984104
5,0,1,26.307913832308373
6,0,1,29.3311337869569
7,0,1,33.36668934251245
8,0,1,37.00750566904306
9,0,1,40.39290249443989
10,0,1,43.77367346949658
11,0,1,47.775215419609964
12,0,2,51.7364852608798
13,0,2,54.464013605550996
14,0,2,55.982562358385465
15,0,2,57.59399092981404
16,0,2,59.13884353752378
17,0,2,60.70537414976867
18,0,2,62.24714285725169
19,0,2,63.860113378793635
20,0,2,65.42510204092517
21,0,2,66.827551020517
22,0,2,68.62782312936052
23,0,2,69.84605442187753
24,0,2,71.41104308400904
25,0,2,72.83825396836279
26,0,2,74.47290249443991
27,0,2,76.20197278922446
28,0,2,77.60596371892967
29,0,2,79.17249433117458
30,0,2,80.63063492074374
31,0,2,82.2541037270697
32,0,2,83.67544217697959
33,0,2,85.72959183684353
34,0,2,87.11036281190019
35,0,2,88.58247165543763
36,0,2,90.1242403629206
37,0,2,91.71553287992742
38,0,2,93.7232426304943
39,0,2,95.17367346949658
40,0,2,96.78510204092514
41,0,2,98.3733106577052
42,0,2,99.93829931983669
43,0,2,101.57294784591382
44,0,2,103.13947845815869
45,0,2,104.68278911575509
46,0,2,106.34219954659407
47,0,2,107.79263038559635
48,0,2,109.45204081643533
49,0,2,111.01702947856685
50,0,2,112.60678004546033
51,0,2,114.10210884364622
52,0,2,115.62065759648071
53,0,2,117.18873015883896
54,0,2,119.15000000010885
55,0,2,120.46111111121994
56,0,2,122.23662131530158
57,0,2,123.81086167811337
58,0,2,125.26900226768252
59,0,2,126.95009070305666
60,0,3,130.2767120182494
61,0,3,137.19462585044894
62,0,3,144.66981859421313
63,0,3,151.5180725624671
64,0,3,158.78736961462127
65,0,3,166.52106575974608
66,0,3,173.9559863946667
67,0,3,182.0379818595193
68,0,3,189.49303854886173
69,0,4,197.77476190487073
70,0,4,198.14782312936055
71,0,4,199.2468707484083
72,0,4,200.3443764173424
73,0,4,201.46818594115197
74,0,4,202.5889115647347
75,0,4,203.76224489806802
76,0,4,204.81793650804545
77,0,4,205.92363976232
78,0,4,207.23272108854428
79,0,4,208.19090702958735
80,0,4,209.26673469398642
81,0,4,210.27136054432665
82,0,4,211.39362811802272
83,0,4,212.4508616781134
84,0,4,213.8267951626183
85,0,4,214.65204081643543
86,0,4,215.67988662142403
87,0,4,217.68297052165087
69,1,4,217.86165326747638
70,1,4,217.98791383230846
71,1,4,219.086961451356
72,1,4,220.18446712029032
73,1,4,221.23861678015427
74,1,4,222.38256235838557
75,1,4,223.50945578242187
76,1,4,224.5651473923991
77,1,4,225.71526077108393
78,1,4,227.04959183684352
79,1,4,227.96133786858957
80,1,4,229.0603854876372
81,1,4,230.0882312926259
82,1,4,231.21049886632198
83,1,4,232.29095238106123
84,1,4,233.68036349904375
85,1,4,234.51535147403177
86,1,4,235.61285714296602
87,1,4,236.7800226758458
88,0,4,237.61748299330614
89,0,4,237.94410430849885
90,0,4,239.0663718821951
91,0,4,240.21031746042632
92,0,4,241.47498866224038
93,0,4,242.48269841280734
94,0,4,243.56006802731974
95,0,4,244.7550793651882
96,0,4,245.9717687075919
97,0,4,247.0243764173424
98,0,4,248.31226757380497
99,0,4,249.40823129262589
100,0,4,250.55371882097052
101,0,4,251.69766439920187
102,0,4,252.7750340137143
103,0,4,254.05829931983678
104,0,4,255.20224489806805
105,0,4,256.2780725624671
106,0,4,257.38020408174157
107,0,4,258.48387755112924
108,0,4,259.58138322006357
109,0,4,260.6788888889977
110,0,4,261.7779365080454
88,1,4,262.7547165533969
89,1,4,263.1277777778867
90,1,4,264.31970521552836
91,1,4,265.57975056700235
92,1,4,266.68188208627674
93,1,4,267.7824716554377
94,1,4,268.9759410431928
95,1,4,270.1245124717642
96,1,4,271.2251020409252
97,1,4,272.3938095239185
98,1,4,273.68170068038097
99,1,4,274.916984127093
100,1,4,276.0392517007891
101,1,4,277.1831972790205
102,1,4,278.30700680282996
103,1,4,279.706371882195
104,1,4,280.8038775511293
105,1,4,281.8797052155283
106,1,4,283.0282766440999
107,1,4,284.17839002278464
108,1,4,285.25267573707026
109,1,4,286.41984126995015
110,1,4,292.35807256246824
