bar,repeat,movement,onset
1,0,1,11.817630385760769
2,0,1,15.165929705488661
3,0,1,19.45227891183787
4,0,1,22.452278911837862
5,0,1,26.343888889162127
6,0,1,29.367108843810655
7,0,1,33.40266439936621
8,0,1,37.04348072589682
9,0,1,40.42887755129364
10,0,1,43.80964852635034
11,0,1,47.81119047646372
12,0,2,51.77246031773356
13,0,2,54.49998866240475
14,0,2,56.01853741523922
15,0,2,57.6299659866678
16,0,2,59.17481859437754
17,0,2,60.74134920662243
18,0,2,62.283117914105446
19,0,2,63.89608843564739
20,0,2,65.46107709777893
21,0,2,66.86352607737075
22,0,2,68.66379818621428
23,0,2,69.88202947873128
24,0,2,71.4470181408628
25,0,2,72.87422902521655
26,0,2,74.50887755129366
27,0,2,76.23794784607821
28,0,2,77.64193877578343
29,0,2,79.20846938802833
30,0,2,80.6666099775975
31,0,2,82.29007878392345
32,0,2,83.71141723383334
33,0,2,85.76556689369728
34,0,2,87.14633786875395
35,0,2,88.61844671229139
36,0,2,90.16021541977436
37,0,2,91.75150793678118
38,0,2,93.75921768734806
39,0,2,95.20964852635032
40,0,2,96.8210770977789
41,0,2,98.40928571455896
42,0,2,99.97427437669045
43,0,2,101.60892290276757
44,0,2,103.17545351501245
45,0,2,104.71876417260884
46,0,2,106.37817460344783
47,0,2,107.82860544245011
48,0,2,109.48801587328909
49,0,2,111.05300453542061
50,0,2,112.64275510231408
51,0,2,114.13808390049998
52,0,2,115.65663265333447
53,0,2,117.22470521569272
54,0,2,119.1859750569626
55,0,2,120.49708616807368
56,0,2,122.27259637215533
57,0,2,123.84683673496713
58,0,2,125.30497732453627
59,0,2,126.98606575991042
60,0,3,130.31268707510316
61,0,3,137.2306009073027
62,0,3,144.7057936510669
63,0,3,151.55404761932087
64,0,3,158.82334467147504
65,0,3,166.55704081659982
66,0,3,173.99196145152044
67,0,3,182.07395691637305
68,0,3,189.5290136057155
69,0,4,197.8107369617245
70,0,4,198.1837981862143
71,0,4,199.28284580526204
72,0,4,200.38035147419615
73,0,4,201.50416099800574
74,0,4,202.62488662158847
75,0,4,203.79821995492176
76,0,4,204.8539115648992
77,0,4,205.95961481917377
78,0,4,207.26869614539805
79,0,4,208.2268820864411
80,0,4,209.30270975084017
81,0,4,210.30733560118043
82,0,4,211.4296031748765
83,0,4,212.48683673496717
84,0,4,213.86277021947205
85,0,4,214.6880158732892
86,0,4,215.71586167827778
87,0,4,217.71894557850462
69,1,4,217.89762832433016
70,1,4,218.0238888891622
71,1,4,219.12293650820973
72,1,4,220.2204421771441
73,1,4,221.27459183700802
74,1,4,222.4185374152393
75,1,4,223.5454308392756
76,1,4,224.60112244925284
77,1,4,225.7512358279377
78,1,4,227.0855668936973
79,1,4,227.9973129254433
80,1,4,229.09636054449095
81,1,4,230.12420634947964
82,1,4,231.24647392317573
83,1,4,232.326927437915
84,1,4,233.7163385558975
85,1,4,234.55132653088555
86,1,4,235.64883219981976
87,1,4,236.81599773269957
88,0,4,237.65345805015988
89,0,4,237.9800793653526
90,0,4,239.10234693904889
91,0,4,240.2462925172801
92,0,4,241.51096371909415
93,0,4,242.51867346966108
94,0,4,243.5960430841735
95,0,4,244.79105442204195
96,0,4,246.00774376444565
97,0,4,247.06035147419615
98,0,4,248.34824263065872
99,0,4,249.44420634947966
100,0,4,250.58969387782426
101,0,4,251.7336394560556
102,0,4,252.81100907056805
103,0,4,254.09427437669052
104,0,4,255.23821995492182
105,0,4,256.3140476193209
106,0,4,257.4161791385953
107,0,4,258.519852607983
108,0,4,259.61735827691734
109,0,4,260.71486394585145
110,0,4,261.8139115648992
88,1,4,262.7906916102507
89,1,4,263.1637528347405
90,1,4,264.3556802723822
91,1,4,265.6157256238561
92,1,4,266.7178571431305
93,1,4,267.81844671229146
94,1,4,269.0119161000466
95,1,4,270.16048752861803
96,1,4,271.261077097779
97,1,4,272.42978458077226
98,1,4,273.71767573723474
99,1,4,274.9529591839468
100,1,4,276.07522675764295
101,1,4,277.2191723358743
102,1,4,278.34298185968373
103,1,4,279.7423469390488
104,1,4,280.83985260798306
105,1,4,281.9156802723821
106,1,4,283.0642517009537
107,1,4,284.2143650796384
108,1,4,285.28865079392403
109,1,4,286.4558163268039
110,1,4,292.394047619322
