bar,repeat,movement,onset
1,0,1,1.7084742066825171
2,0,1,6.292056973122425
3,0,1,11.061399376750543
4,0,1,15.477816610310636
5,0,1,20.275004818927414
6,0,1,24.459222506002245
7,0,1,29.121716837068004
8,0,1,33.48235175770292
9,0,1,36.40334949012923
10,0,1,39.78412046518593
11,0,1,44.78412046518593
12,0,2,52.08906377584353
13,0,2,55.42031094137639
14,0,2,56.82275992096824
15,0,2,58.24842885520861
16,0,2,59.700401644324245
17,0,2,61.40625198446031
18,0,2,62.80870096405214
19,0,2,64.7931907599705
20,0,2,66.12597987561676
21,0,2,67.5284288552086
22,0,2,68.91074178037867
23,0,2,70.66303202981177
24,0,2,72.32090051053743
25,0,2,73.79455130418819
26,0,2,75.35953996631972
27,0,2,77.251149943644
28,0,2,78.81768055588887
29,0,2,80.08235175770294
30,0,2,81.49405243797504
31,0,2,82.95065107743083
32,0,2,84.56207964885941
33,0,2,86.47690958083219
34,0,2,88.8561386057755
35,0,2,90.25858758536735
36,0,2,91.59137670101357
37,0,2,93.13622930872333
38,0,2,94.91173951280497
39,0,2,96.29251048786165
40,0,2,97.90393905929024
41,0,2,99.42248781212471
42,0,2,100.94103656495916
43,0,2,102.57568509103625
44,0,2,104.21187556722677
45,0,2,105.8248460887687
46,0,2,107.29849688241954
47,0,2,108.84180754001585
48,0,2,110.54765788015193
49,0,2,112.08942658763489
50,0,2,114.05069642890477
51,0,2,115.56924518173923
52,0,2,116.99491411597957
53,0,2,118.44688690509525
54,0,2,120.36171683706803
55,0,2,121.83536763071882
56,0,2,123.14647874182994
57,0,2,124.51173951280497
58,0,2,125.87700028378002
59,0,2,127.32588917266894
60,0,3,133.93160345838305
61,0,3,141.401716837068
62,0,3,149.29486876450565
63,0,3,156.90938123616098
64,0,3,164.48053769874605
65,0,3,172.86439257402947
66,0,3,181.5996306692676
67,0,3,190.2621250003333
68,0,3,199.52833815226077
69,0,4,211.5484742066825
70,0,4,212.43237443343992
71,0,4,213.43854223389337
72,0,4,214.5128279481792
73,0,4,215.59019756269157
74,0,4,216.6644832769773
75,0,4,217.63078259670516
76,0,4,218.77740844704533
77,0,4,219.69532227924486
78,0,4,220.82067375316785
79,0,4,221.82529960350794
80,0,4,222.85468735861005
81,0,4,223.78965334500447
82,0,4,224.8124197849138
83,0,4,225.69051502300908
84,0,4,226.67521473146388
85,0,4,227.54339484160312
86,0,4,228.52480073729478
87,0,4,229.59908645158046
69,1,4,230.59908645158046
70,1,4,230.90248781212466
71,1,4,231.95509552187528
72,1,4,233.00616128151245
73,1,4,234.03709098672795
74,1,4,235.11137670101357
75,1,4,236.0989503971587
76,1,4,237.34040164432434
77,1,4,238.2583154765238
78,1,4,239.33722704114965
79,1,4,240.29541298219277
80,1,4,241.32480073729477
81,1,4,242.37586649693196
82,1,4,243.49813407062808
83,1,4,244.4624878121247
84,1,4,245.43789709320805
85,1,4,246.52434722255558
86,1,4,247.55219302754412
87,1,4,248.76579846972115
88,0,4,249.76579846972115
89,0,4,250.06919983026535
90,0,4,251.21468735860998
91,0,4,252.3052089005601
92,0,4,253.29822477357595
93,0,4,254.53813407062805
94,0,4,255.6851635490862
95,0,4,256.64797534046943
96,0,4,257.8414447282245
97,0,4,259.03337216586624
98,0,4,260.8553222792449
99,0,4,262.04416581665987
100,0,4,263.1896533450045
101,0,4,264.1246193313991
102,0,4,265.3180887191541
103,0,4,266.3459345241429
104,0,4,267.3737803291315
105,0,4,268.44960799353055
106,0,4,269.4124197849138
107,0,4,270.4696533450045
108,0,4,271.5671590139387
109,0,4,272.9200841840068
110,0,4,273.99591184840585
88,1,4,274.92625198446024
89,1,4,275.206433390356
90,1,4,276.3519209187006
91,1,4,277.70484608876865
92,1,4,278.5515581069093
93,1,4,279.81468735861
94,1,4,281.0313767010135
95,1,4,282.0870683109908
96,1,4,283.2108778348004
97,1,4,284.35636536314513
98,1,4,286.1783154765237
99,1,4,287.8315581069092
100,1,4,288.8841658166598
101,1,4,290.0048914402426
102,1,4,291.2215807826462
103,1,4,292.2029866783378
104,1,4,293.39337216586625
105,1,4,294.4459798756168
106,1,4,295.4784515309455
107,1,4,296.5589050456847
108,1,4,297.5635308960248
109,1,4,299.33441524976644
110,1,4,304.450515023009
