bar,repeat,movement,onset
1,0,1,1.6972999576496406
2,0,1,6.280882724089549
3,0,1,11.050225127717667
4,0,1,15.46664236127776
5,0,1,20.263830569894537
6,0,1,24.448048256969372
7,0,1,29.110542588035127
8,0,1,33.471177508670046
9,0,1,36.39217524109635
10,0,1,39.77294621615305
11,0,1,44.77294621615305
12,0,2,52.07788952681065
13,0,2,55.40913669234352
14,0,2,56.81158567193536
15,0,2,58.23725460617573
16,0,2,59.68922739529137
17,0,2,61.395077735427435
18,0,2,62.797526715019266
19,0,2,64.78201651093762
20,0,2,66.11480562658387
21,0,2,67.51725460617571
22,0,2,68.89956753134578
23,0,2,70.65185778077888
24,0,2,72.30972626150454
25,0,2,73.7833770551553
26,0,2,75.34836571728682
27,0,2,77.2399756946111
28,0,2,78.80650630685598
29,0,2,80.07117750867005
30,0,2,81.48287818894215
31,0,2,82.93947682839794
32,0,2,84.55090539982652
33,0,2,86.4657353317993
34,0,2,88.84496435674261
35,0,2,90.24741333633446
36,0,2,91.58020245198068
37,0,2,93.12505505969044
38,0,2,94.90056526377208
39,0,2,96.28133623882876
40,0,2,97.89276481025735
41,0,2,99.41131356309182
42,0,2,100.92986231592627
43,0,2,102.56451084200336
44,0,2,104.20070131819388
45,0,2,105.8136718397358
46,0,2,107.28732263338665
47,0,2,108.83063329098296
48,0,2,110.53648363111904
49,0,2,112.078252338602
50,0,2,114.03952217987188
51,0,2,115.55807093270634
52,0,2,116.98373986694668
53,0,2,118.43571265606236
54,0,2,120.35054258803514
55,0,2,121.82419338168593
56,0,2,123.13530449279705
57,0,2,124.50056526377207
58,0,2,125.86582603474713
59,0,2,127.31471492363605
60,0,3,133.92042920935017
61,0,3,141.39054258803512
62,0,3,149.28369451547277
63,0,3,156.8982069871281
64,0,3,164.46936344971317
65,0,3,172.8532183249966
66,0,3,181.58845642023473
67,0,3,190.2509507513004
68,0,3,199.5171639032279
69,0,4,211.5372999576496
70,0,4,212.42120018440704
71,0,4,213.4273679848605
72,0,4,214.5016536991463
73,0,4,215.5790233136587
74,0,4,216.65330902794443
75,0,4,217.61960834767228
76,0,4,218.76623419801246
77,0,4,219.684148030212
78,0,4,220.80949950413495
79,0,4,221.81412535447504
80,0,4,222.84351310957715
81,0,4,223.7784790959716
82,0,4,224.80124553588092
83,0,4,225.6793407739762
84,0,4,226.66404048243098
85,0,4,227.53222059257024
86,0,4,228.51362648826188
87,0,4,229.58791220254756
69,1,4,230.58791220254756
70,1,4,230.89131356309176
71,1,4,231.94392127284237
72,1,4,232.99498703247954
73,1,4,234.02591673769504
74,1,4,235.10020245198066
75,1,4,236.08777614812578
76,1,4,237.32922739529144
77,1,4,238.2471412274909
78,1,4,239.32605279211677
79,1,4,240.28423873315987
80,1,4,241.3136264882619
81,1,4,242.3646922478991
82,1,4,243.4869598215952
83,1,4,244.4513135630918
84,1,4,245.42672284417515
85,1,4,246.51317297352267
86,1,4,247.54101877851124
87,1,4,248.75462422068824
88,0,4,249.75462422068824
89,0,4,250.05802558123244
90,0,4,251.2035131095771
91,0,4,252.2940346515272
92,0,4,253.28705052454308
93,0,4,254.52695982159517
94,0,4,255.67398930005334
95,0,4,256.63680109143655
96,0,4,257.8302704791916
97,0,4,259.02219791683336
98,0,4,260.84414803021195
99,0,4,262.032991567627
100,0,4,263.1784790959716
101,0,4,264.11344508236624
102,0,4,265.3069144701213
103,0,4,266.33476027511
104,0,4,267.3626060800986
105,0,4,268.43843374449773
106,0,4,269.40124553588095
107,0,4,270.4584790959716
108,0,4,271.5559847649058
109,0,4,272.9089099349739
110,0,4,273.984737599373
88,1,4,274.91507773542736
89,1,4,275.1952591413231
90,1,4,276.3407466696678
91,1,4,277.69367183973577
92,1,4,278.5403838578764
93,1,4,279.8035131095771
94,1,4,281.02020245198065
95,1,4,282.07589406195797
96,1,4,283.1997035857675
97,1,4,284.34519111411225
98,1,4,286.16714122749084
99,1,4,287.8203838578764
100,1,4,288.87299156762697
101,1,4,289.9937171912097
102,1,4,291.2104065336133
103,1,4,292.19181242930495
104,1,4,293.3821979168334
105,1,4,294.4348056265839
106,1,4,295.46727728191263
107,1,4,296.5477307966519
108,1,4,297.552356646992
109,1,4,299.32324100073356
110,1,4,304.4393407739762
