bar,repeat,movement,onset
1,0,1,0.3164729311723718
2,0,1,6.618332341603211
3,0,2,13.424209892623617
4,0,2,16.8272212304921
5,0,2,19.848808532079406
6,0,2,23.35008744364403
7,0,2,26.588581774709777
8,0,2,29.795928713485285
9,0,2,33.257153203281206
10,0,2,36.67193778378008
11,0,2,40.20282213752158
12,0,2,43.57116680872339
13,0,2,46.869851615979634
14,0,2,50.07411465452838
15,0,2,53.46567928037871
16,0,2,56.90368381552611
17,0,2,60.11103075430161
18,0,3,65.31011135623936
19,0,3,70.51810558423361
20,0,3,76.9406906182472
21,0,3,82.2905318880885
22,0,4,88.50074050486855
23,0,4,91.96844572028802
24,0,4,95.19901261371206
25,0,4,98.70667701280506
26,0,4,102.26078132119505
27,0,4,105.2576067180205
28,0,4,108.83801488128579
29,0,4,111.99892191076421
30,0,4,115.36726658196606
31,0,4,118.61951147992522
32,0,4,122.05751601507262
33,0,5,126.27883120781637
34,0,5,126.55026537052255
35,0,5,127.21842304455109
36,0,5,128.04037315792974
37,0,5,128.86232327130847
38,0,5,129.7291713438708
39,0,5,130.61769742096828
40,0,5,131.53252735294114
41,0,5,132.42105343003863
42,0,5,133.2430035434173
43,0,5,134.13307157062818
44,0,5,135.02313959783902
45,0,5,135.8667677157529
46,0,5,136.68871782913155
47,0,5,137.58032780645578
48,0,5,138.60663166133108
49,0,5,139.65615547085494
50,0,5,140.58957950713602
51,0,5,141.4115296205148
52,0,5,142.25669968854197
53,0,5,143.0786498019206
54,0,5,143.9781034246396
55,0,5,144.86032780645579
33,1,5,145.72409197879142
34,1,5,145.91762539215676
35,1,5,146.6869037701746
36,1,5,147.5552937928503
37,1,5,148.37724390622907
38,1,5,149.42985161597957
39,1,5,150.22549787448304
40,1,5,151.11710785180725
41,1,5,152.05207383820186
42,1,5,152.89724390622902
43,1,5,153.76409197879138
44,1,5,154.67737996065082
45,1,5,155.56744798786164
46,1,5,156.43583801053745
47,1,5,157.3274479878617
48,1,5,158.37697179738555
49,1,5,159.42304889489117
50,1,5,160.42957950713608
51,1,5,161.25152962051467
52,1,5,162.16635955248756
53,1,5,163.01152962051475
54,1,5,163.92481760237422
55,1,5,164.83964753434697
56,0,5,165.74985161597962
57,0,5,166.00124663974256
58,0,5,166.68944345271433
59,0,5,167.58105343003857
60,0,5,168.359218354545
61,0,5,169.31629152527668
62,0,5,170.18313959783896
63,0,5,171.16608744364402
64,0,5,172.12581533480048
65,0,5,173.01588336201138
66,0,5,174.00169368614104
67,0,5,174.8424593257302
68,0,5,175.73252735294105
69,0,5,176.64877132061363
70,0,5,177.9290806409229
71,0,5,178.86250467720413
72,0,5,179.74948880418825
73,0,5,180.68753869080956
74,0,5,181.50948880418818
75,0,5,186.09152962051476
