bar,repeat,movement,onset
1,0,1,0.3023726613979405
2,0,1,6.604232071828779
3,0,2,13.410109622849188
4,0,2,16.81312096071767
5,0,2,19.83470826230497
6,0,2,23.335987173869594
7,0,2,26.574481504935342
8,0,2,29.781828443710854
9,0,2,33.243052933506775
10,0,2,36.65783751400565
11,0,2,40.188721867747155
12,0,2,43.557066538948966
13,0,2,46.85575134620521
14,0,2,50.06001438475395
15,0,2,53.451579010604284
16,0,2,56.889583545751684
17,0,2,60.096930484527185
18,0,3,65.29601108646493
19,0,3,70.50400531445918
20,0,3,76.92659034847277
21,0,3,82.27643161831406
22,0,4,88.48664023509411
23,0,4,91.95434545051359
24,0,4,95.18491234393763
25,0,4,98.69257674303063
26,0,4,102.24668105142062
27,0,4,105.24350644824607
28,0,4,108.82391461151136
29,0,4,111.9848216409898
30,0,4,115.35316631219163
31,0,4,118.60541121015079
32,0,4,122.04341574529819
33,0,5,126.26473093804195
34,0,5,126.53616510074812
35,0,5,127.20432277477667
36,0,5,128.02627288815532
37,0,5,128.84822300153402
38,0,5,129.7150710740964
39,0,5,130.60359715119387
40,0,5,131.5184270831667
41,0,5,132.40695316026418
42,0,5,133.22890327364286
43,0,5,134.11897130085373
44,0,5,135.00903932806457
45,0,5,135.85266744597848
46,0,5,136.6746175593571
47,0,5,137.56622753668134
48,0,5,138.59253139155663
49,0,5,139.64205520108052
50,0,5,140.57547923736158
51,0,5,141.39742935074037
52,0,5,142.24259941876753
53,0,5,143.06454953214617
54,0,5,143.96400315486517
55,0,5,144.84622753668134
33,1,5,145.709991709017
34,1,5,145.90352512238232
35,1,5,146.67280350040016
36,1,5,147.54119352307586
37,1,5,148.36314363645462
38,1,5,149.41575134620513
39,1,5,150.2113976047086
40,1,5,151.10300758203283
41,1,5,152.03797356842745
42,1,5,152.8831436364546
43,1,5,153.74999170901694
44,1,5,154.66327969087638
45,1,5,155.5533477180872
46,1,5,156.421737740763
47,1,5,157.31334771808727
48,1,5,158.3628715276111
49,1,5,159.40894862511672
50,1,5,160.41547923736164
51,1,5,161.23742935074026
52,1,5,162.15225928271312
53,1,5,162.9974293507403
54,1,5,163.91071733259977
55,1,5,164.82554726457252
56,0,5,165.73575134620518
57,0,5,165.98714636996814
58,0,5,166.67534318293988
59,0,5,167.56695316026412
60,0,5,168.34511808477055
61,0,5,169.30219125550224
62,0,5,170.1690393280645
63,0,5,171.15198717386957
64,0,5,172.11171506502603
65,0,5,173.00178309223693
66,0,5,173.98759341636662
67,0,5,174.82835905595576
68,0,5,175.7184270831666
69,0,5,176.6346710508392
70,0,5,177.91498037114846
71,0,5,178.84840440742968
72,0,5,179.7353885344138
73,0,5,180.67343842103512
74,0,5,181.49538853441373
75,0,5,186.07742935074035
