bar,repeat,movement,onset
1,0,1,0.37693764172337824
2,0,1,6.585917233560113
3,0,2,13.633282312925195
4,0,2,16.67870634920637
5,0,2,19.839613378684835
6,0,2,23.13150210165369
7,0,2,26.5793866213152
8,0,2,29.786733560090713
9,0,2,33.22473809523811
10,0,2,36.63952267573698
11,0,2,40.193626984127015
12,0,2,43.58519160997734
13,0,2,46.83743650793654
14,0,2,49.99525963718823
15,0,2,53.410044217687094
16,0,2,56.87126870748301
17,0,2,60.101835600907044
18,0,3,65.15906916099775
19,0,3,70.62501020408166
20,0,3,76.9082755102041
21,0,3,82.21167687074835
22,0,4,88.53766326530616
23,0,4,91.93603061224492
24,0,4,95.16659750566896
25,0,4,98.69748185941049
26,0,4,102.22836621315197
27,0,4,105.2379091180332
28,0,4,108.80559977324269
29,0,4,111.98972675736964
30,0,4,115.31163151927441
31,0,4,118.58709637188213
32,0,4,122.04832086167805
33,0,5,126.1767562358277
34,0,5,126.49426126600876
35,0,5,127.20922789115652
36,0,5,128.00795804988664
37,0,5,128.80668820861686
38,0,5,129.69675623582773
39,0,5,130.60850226757373
40,0,5,131.4768922902495
41,0,5,132.411858276644
42,0,5,133.16414852607713
43,0,5,134.1470963718821
44,0,5,134.99072448979587
45,0,5,135.8575725623583
46,0,5,136.67952267573696
47,0,5,137.52469274376412
48,0,5,138.57421655328795
49,0,5,139.60052040816328
50,0,5,140.5803843537414
51,0,5,141.3791145124717
52,0,5,142.22428458049885
53,0,5,143.0462346938775
54,0,5,143.93630272108842
55,0,5,144.7586060985798
33,1,5,145.71489682539683
34,1,5,145.95326662376664
35,1,5,146.67770861678
36,1,5,147.47643877551016
37,1,5,148.32160884353743
38,1,5,149.32777664399086
39,1,5,150.21630272108843
40,1,5,151.0614727891156
41,1,5,152.01965873015877
42,1,5,152.86482879818593
43,1,5,153.7316768707483
44,1,5,154.69140476190472
45,1,5,155.53503287981852
46,1,5,156.42664285714284
47,1,5,157.29503287981856
48,1,5,158.34455668934243
49,1,5,159.37086054421763
50,1,5,160.44360430839
51,1,5,161.2423344671201
52,1,5,162.13394444444447
53,1,5,162.9791145124716
54,1,5,163.8924024943311
55,1,5,164.7607925170068
56,0,5,165.76387641723352
57,0,5,165.8543025443944
58,0,5,166.68024829931974
59,0,5,167.5486383219954
60,0,5,168.324148526077
61,0,5,169.28387641723356
62,0,5,170.17394444444434
63,0,5,171.13640813262242
64,0,5,172.0934002267573
65,0,5,172.98346825396825
66,0,5,173.8750782312925
67,0,5,174.78682426303854
68,0,5,175.72333219954646
69,0,5,176.59172222222213
70,0,5,177.641246031746
71,0,5,178.71398979591837
72,0,5,179.71707369614512
73,0,5,180.6319036281179
74,0,5,182.87027097505663
75,0,5,187.87027097505668
