bar,repeat,movement,onset
1,0,1,0.4090350058355434
2,0,1,10.690576955948922
3,0,2,22.070059949146206
4,0,2,25.555670642546367
5,0,2,28.648853599939848
6,0,2,32.33560189925958
7,0,2,35.48150666116434
8,0,2,38.78173341853396
9,0,2,42.544817318760714
10,0,2,46.15272324081946
11,0,2,50.442504393590625
12,0,2,54.023793671206455
13,0,2,57.8525724208015
14,0,2,61.73285520058011
15,0,2,64.95923908746819
16,0,2,68.83842276093758
17,0,2,72.41728897408949
18,0,3,79.16957922352262
19,0,3,87.3442731010737
20,0,3,98.72069033463373
21,0,3,107.57674475640246
22,0,4,119.63341595821652
23,0,4,123.22218693327322
24,0,4,126.35987400810312
25,0,4,129.98363818043876
26,0,4,133.30554294234346
27,0,4,137.104534843866
28,0,4,140.55615518724144
29,0,4,143.78672208066547
30,0,4,147.36404634370405
31,0,4,150.8484907881485
32,0,4,155.14563364529135
33,0,5,165.38091709200333
34,0,5,165.81337114825268
35,0,5,166.52948852057474
36,0,5,167.44431845254758
37,0,5,168.31192079172882
38,0,5,169.2956563210283
39,0,5,170.30028217136842
40,0,5,171.14545223939567
41,0,5,172.21973795368137
42,0,5,173.13456788565412
43,0,5,174.14073568610763
44,0,5,175.1236835319127
45,0,5,176.12985133236614
46,0,5,177.0446812643389
47,0,5,177.86663137771768
48,0,5,178.96259509653845
49,0,5,180.0121189060623
50,0,5,181.17774248882878
51,0,5,182.11579237545004
52,0,5,182.96096244347726
53,0,5,183.78291255685602
54,0,5,184.71942049336386
55,0,5,185.47206511710485
33,1,5,186.4283547337267
34,1,5,186.781629940523
35,1,5,187.55370620764967
36,1,5,188.39887627567686
37,1,5,189.244046343704
38,1,5,190.226994189509
39,1,5,191.18518013055208
40,1,5,192.05357015322784
41,1,5,193.05819600356796
42,1,5,194.1123456634319
43,1,5,195.18817332783104
44,1,5,196.1479012189874
45,1,5,197.17728897408955
46,1,5,198.16177877000788
47,1,5,198.96280673675014
48,1,5,199.94037287431627
49,1,5,200.9898966838401
50,1,5,202.15552026660654
51,1,5,203.11679010787637
52,1,5,203.96196017590358
53,1,5,204.7839102892823
54,1,5,205.67397831649316
55,1,5,206.40304861127765
56,0,5,207.3596926022074
57,0,5,207.70308618821326
58,0,5,208.36894430288766
59,0,5,209.21411437091496
60,0,5,209.98962457499655
61,0,5,210.99579237545007
62,0,5,212.00196017590358
63,0,5,212.93846811241147
64,0,5,213.8053161849739
65,0,5,214.81148398542737
66,0,5,215.65665405345464
67,0,5,216.61483999449766
68,0,5,217.62100779495125
69,0,5,219.4414159582165
70,0,5,219.65343409880606
71,0,5,220.82064498315975
72,0,5,222.1023683391689
73,0,5,222.9939783164931
74,0,5,223.79270847522338
75,0,5,224.72921641173124
56,1,5,225.5465406747698
57,1,5,225.86122699374178
58,1,5,226.55579237545004
59,1,5,227.40096244347728
60,1,5,228.17647264755897
61,1,5,229.20586040266093
62,1,5,230.14236833916897
63,1,5,231.07887627567683
64,1,5,231.9689443028877
65,1,5,233.01243636637975
66,1,5,233.9131619899625
67,1,5,234.87134793100566
68,1,5,235.85429577681055
69,1,5,237.8140236679671
70,1,5,238.0276291101439
71,1,5,239.19325269291036
72,1,5,240.42853613962242
73,1,5,245.52295790832991
74,1,5,251.52295790832983
75,1,5,256.52295790832994
