bar,repeat,movement,onset
1,0,1,0.5912718250634881
2,0,1,7.287870464519271
3,0,2,16.22069586134467
4,0,2,20.167054137988657
5,0,2,23.629820577897956
6,0,2,27.578664115312925
7,0,2,31.344831915766427
8,0,2,34.854038264972786
9,0,2,38.82610175703628
10,0,2,42.798165249099796
11,0,2,47.02564824229706
12,0,2,51.0441516436576
13,0,2,55.08587499966667
14,0,2,59.451135770641756
15,0,2,63.65539880919051
16,0,2,68.18474121281858
17,0,2,72.29766638288663
18,0,3,79.53757567993877
19,0,3,85.83145323095921
20,0,3,94.67689540782993
21,0,3,101.37349404728567
22,0,4,110.11435572529022
23,0,4,113.67526275476865
24,0,4,117.16124914932652
25,0,4,121.66737159830608
26,0,4,125.91807454615193
27,0,4,129.7170438308355
28,0,4,133.308006518941
29,0,4,136.88687273209297
30,0,4,141.11435572529018
31,0,4,144.99353939875962
32,0,4,148.872723072229
33,0,5,156.85567091803398
34,0,5,157.19606886124885
35,0,5,158.00424234660542
36,0,5,159.05839200646938
37,0,5,160.06610175703625
38,0,5,161.21158928538094
39,0,5,162.33231490896367
40,0,5,163.45612443277324
41,0,5,164.55363010170745
42,0,5,165.63099971621992
43,0,5,166.73004733526756
44,0,5,167.66655527177542
45,0,5,168.8120428001202
46,0,5,169.8661924599841
47,0,5,172.03489994297726
48,0,5,172.24850538515412
49,0,5,173.34446910397506
50,0,5,174.6494124146326
51,0,5,175.72678202914514
52,0,5,176.7577117343605
53,0,5,177.6957616209818
54,0,5,178.7251493760839
55,0,5,179.70999313472558
33,1,5,181.24678202914507
34,1,5,181.92170266406578
35,1,5,182.5114532309591
36,1,5,183.54238293617462
37,1,5,184.5500926867415
38,1,5,185.83489994297727
39,1,5,186.9788455212086
40,1,5,188.14909495431513
41,1,5,189.24660062324944
42,1,5,190.44007001100454
43,1,5,191.58555753934922
44,1,5,192.5685053851542
45,1,5,193.76043282279588
46,1,5,194.88424234660536
47,1,5,195.91517205182078
48,1,5,197.40587499966668
49,1,5,198.61793849173011
50,1,5,199.9925416663333
51,1,5,201.1627910994399
52,1,5,202.1705008500068
53,1,5,203.10855073662808
54,1,5,204.1611584463787
55,1,5,205.33140787948525
56,0,5,206.65957114479139
57,0,5,207.07201098639965
58,0,5,207.8778024373084
59,0,5,208.90873214252377
60,0,5,209.89587325537923
61,0,5,211.06192942143537
62,0,5,212.16097704048298
63,0,5,213.19036479558503
64,0,5,214.31263236928115
65,0,5,215.4581198976258
66,0,5,216.53548951213827
67,0,5,217.54011536247847
68,0,5,218.66238293617457
69,0,5,219.7165325960386
70,0,5,220.92859608810198
71,0,5,222.04777976157138
72,0,5,223.32950311758054
73,0,5,224.4300926867415
74,0,5,225.39136252801129
75,0,5,226.536850056356
56,1,5,227.56315391123124
57,1,5,227.9012340321686
58,1,5,228.8046051583968
59,1,5,229.81231490896369
60,1,5,230.750364795585
61,1,5,231.96551218787533
62,1,5,233.13421967086842
63,1,5,234.16360742597055
64,1,5,235.28587499966667
65,1,5,236.4313625280114
66,1,5,237.4390722785782
67,1,5,238.42047817426982
68,1,5,239.49630583866895
69,1,5,240.52723554388425
70,1,5,241.9947185370816
71,1,5,243.25322193844218
72,1,5,244.76714484093642
73,1,5,245.91417431939456
74,1,5,246.8986641153129
75,1,5,248.8336301017074
