bar,repeat,movement,onset
1,0,1,5.783730158862813
2,0,1,13.548446712150795
3,0,2,19.550913832332203
4,0,2,23.339376417366225
5,0,2,27.150442177003406
6,0,2,31.30151531943867
7,0,2,35.00477324276304
8,0,2,38.839058957048756
9,0,2,43.066541950246034
10,0,2,46.968945578363936
11,0,2,50.94100907042741
12,0,2,54.70409297065417
13,0,2,58.629716553420614
14,0,2,62.57701814072221
15,0,2,66.52586167813718
16,0,2,70.54436507949772
17,0,2,74.28577097518934
18,0,3,78.855385487661
19,0,3,84.1355668935567
20,0,3,89.95443310670862
21,0,3,95.86155328811451
22,0,4,101.6581247166859
23,0,4,105.30726757382875
24,0,4,109.18799319741157
25,0,4,113.20649659877209
26,0,4,117.062460317593
27,0,4,120.89520408176529
28,0,4,124.59171201827323
29,0,4,128.33311791396488
30,0,4,132.3051814060283
31,0,4,136.09148526090362
32,0,4,139.99388888902152
33,0,5,146.21212018153855
34,0,5,146.62156929451706
35,0,5,147.50001133800112
36,0,5,148.55416099786504
37,0,5,149.608310657729
38,0,5,150.8698979593163
39,0,5,151.9674036282505
40,0,5,153.0215532881145
41,0,5,154.1887188209943
42,0,5,155.17320861691275
43,0,5,156.31869614525738
44,0,5,157.37130385500797
45,0,5,158.5167913833526
46,0,5,159.59416099786515
47,0,5,160.69475056702612
48,0,5,161.7674943311985
49,0,5,162.79698385058342
50,0,5,163.86654195024605
51,0,5,164.99035147405556
52,0,5,166.04450113391957
53,0,5,167.0986507937835
54,0,5,168.1744784581826
55,0,5,169.34472789128918
33,1,5,170.51035147405557
34,1,5,170.93279842298438
35,1,5,171.79824263051822
36,1,5,172.82917233573363
37,1,5,173.83688208630045
38,1,5,175.0984693878878
39,1,5,176.24241496611904
40,1,5,177.29656462598305
41,1,5,178.60304988675395
42,1,5,179.54109977337535
43,1,5,180.7098072563685
44,1,5,181.76241496611914
45,1,5,182.97756235840933
46,1,5,183.9852721089762
47,1,5,185.06264172348875
48,1,5,186.13538548766098
49,1,5,187.16168934253633
50,1,5,188.23443310670868
51,1,5,189.33502267586962
52,1,5,190.34273242643653
53,1,5,191.3968820863005
54,1,5,192.5191496599966
55,1,5,193.61973922915766
56,0,5,194.6692630386814
57,0,5,195.17354875296712
58,0,5,196.05003401373807
59,0,5,197.03452380965652
60,0,5,197.99579365092632
61,0,5,199.21094104321665
62,0,5,200.3796485262098
63,0,5,201.31615646271777
64,0,5,202.36631519287644
65,0,5,203.5142517008129
66,0,5,204.6380612246225
67,0,5,205.68912698425964
68,0,5,206.81139455795585
69,0,5,207.79588435387416
70,0,5,209.10930175335426
71,0,5,210.19679138335263
72,0,5,211.22309523822796
73,0,5,212.20758503414632
74,0,5,213.28495464865878
75,0,5,214.31434240376078
56,1,5,215.57284580512137
57,1,5,216.09445294797843
58,1,5,216.953616780178
59,1,5,217.96132653074494
60,1,5,218.9225963720148
61,1,5,220.06808390035943
62,1,5,221.12069161011001
63,1,5,222.17329931986058
64,1,5,223.2491269842597
65,1,5,224.37139455795577
66,1,5,225.54164399106233
67,1,5,226.61592970534812
68,1,5,227.80785714298983
69,1,5,228.62980725636854
70,1,5,230.02763038562017
71,1,5,231.03071428584695
72,1,5,232.14989795931638
73,1,5,233.1343877552347
74,1,5,239.08794784593766
75,1,5,244.08794784593763
